word,sentiment,class
Excitement,Excitement,Entertainment
Go,Neutral,Travel
Speak,Neutral,Education
Atylecun,Neutral,Fashion and Style
Take,Outrageous,Travel
Success,Excitement,Work and Career
Guaranteed,Excitement,Work and Career
Outrageous,Outrageous,Entertainment
Jim,Encouraging,Personal Information
AI,Neutral,Technology and Gadgets
Entertaining,Neutral,Entertainment
Understand,Consent,Philosophy and Ethics
Wrong,Neutral,Philosophy and Ethics
Postive,Encouraging,Personal Growth and Development
Consent,Consent,Relationships
Inspiring,Neutral,Personal Growth and Development
Singing,Neutral,Hobbies and Interests
Involvement,Consent,Relationships
Walk,Outrageous,Health and Fitness
Advocate,Neutral,Culture and Society
Quit,Neutral,Work and Career
Stop,Neutral,Sports and Recreation
Atsmokeaway,Neutral,Health and Fitness
Celebrate,Encouraging,Entertainment
Discover,Encouraging,Travel
Inspire,Encouraging,Personal Growth and Development
Report,Neutral,Work and Career
Forget,Neutral,Personal Growth and Development
Mention,Neutral,Current Events
Viral,Laughing,Current Events
Laugh,Laughing,Entertainment
Watch,Laughing,16. Technology and Gadgets
True,Neutral,Philosophy and Ethics
Atfarzyness,Neutral,Philosophy and Ethics
Interview,Neutral,Work and Career
Evidence,Neutral,Culture and Society
Moderate,Neutral,Health and Fitness
Tough,Neutral,Personal Growth and Development
Job,Neutral,Work and Career
Atwallstreetsil,Neutral,Work and Career
Verified,Alarming,Technology and Gadgets
Fallen,Alarming,Current Events
Tragic,Alarming,Current Events.
Attract,Neutral,Relationships
Engage,Neutral,Relationships
Subscribers,Neutral,Technology and Gadgets
Fashion,Impressive,Fashion and Style (14).
Design,Impressive,Fashion and Style
Show,Impressive,Entertainment
Attend,Neutral,Education
Wokeness,Neutral,Culture and Society
Messed,Neutral,Home and Family
Criticize,Hypocrisy,Culture and Society
Condemn,Hypocrisy,Philosophy and Ethics
Hypocr,Hypocrisy,Culture and Society
Legislate,Neutral,Culture and Society
Nada,Neutral,Philosophy and Ethics
Revise,Neutral,Education
Reject,Neutral,Work and Career
Endorse,Neutral,Work and Career
Eliminate,Neutral,Health and Fitness
Praise,Neutral,Relationships
Wow,Neutral,Entertainment
Acknowledgment,Neutral,Philosophy and Ethics
Laughing,Laughing,Entertainment
Attracting,Laughing,Relationships
Official,Laughing,Current Events
Relevant,Neutral,Current Events
Unveiled,Neutral,Culture and Society
Lead,Leadership,Work and Career
Influence,Leadership,Culture and Society
Transform,Leadership,Personal Growth and Development
Amazing,Amazing,Entertainment
Conducting,Amazing,Work and Career
Silver,Amazing,Fashion and Style
Unfortunate,Unfortunate,Culture and Society
Attesla,Unfortunate,Technology and Gadgets
Sterilize,Criminalize,7. Health and Fitness
Prison,Criminalize,Culture and Society
Run,Neutral,Health and Fitness.
Poll,Neutral,Current Events
Post,Neutral,Current Events
Support,Neutral,Relationships
Congratulate,Neutral,Relationships
Celebr,Neutral,Entertainment
Atatla,Neutral,Sports and Recreation
Share,Neutral,Technology and Gadgets
Woman,Neutral,Culture and Society
Ask,Neutral,Philosophy and Ethics
StevenMarkRyan,Neutral,Personal Growth and Development
Indoctrinated,Neutral,11. Culture and Society
Better,Neutral,Personal Growth and Development
State,Neutral,Culture and Society
Figured,Neutral,Personal Growth and Development
Meant,Neutral,Philosophy and Ethics
Create,Neutral,Art and Creativity
Discuss,Neutral,Philosophy and Ethics
Explore,Neutral,Travel
Anything,Neutral,Anything is too general to classify under one of the categories.
Wary,Neutral,Philosophy and Ethics
Popular,Neutral,Current Events
Always,Neutral,Philosophy and Ethics
Attack,Negative,Current Events
Deride,Negative,Culture and Society
HODL,Neutral,Technology and Gadgets
Invest,Neutral,Work and Career
Tweet,Neutral,Current Events
doge,Neutral,16. Technology and Gadgets
appreciate,Neutral,Personal Growth and Development
support,Neutral,Relationships
Answer,Neutral,Technology and Gadgets
Misery,Neutral,Philosophy and Ethics
Inducing,Neutral,Health and Fitness
Buy,Neutral,Work and Career
Predict,Neutral,Work and Career
JimCramer,Neutral,Work and Career
Joyful,Neutral,Hobbies and Interests
At,Neutral,Current Events
Engaged,Ironic,Relationships
Loves,Ironic,Relationships
Despises,Ironic,Philosophy and Ethics
Tweeting,Neutral,Technology and Gadgets
Sharing,Neutral,Relationships
Yup,Neutral,Technology and Gadgets
Recognize,Neutral,Personal Growth and Development
Endure,Perseverance,Personal Growth and Development
Persevere,Perseverance,Personal Growth and Development
Atmusk,Perseverance,Technology and Gadgets
Unconfined,Neutral,Sports and Recreation
Work,Neutral,Work and Career
Update,Neutral,Current Events
App,Neutral,Technology and Gadgets
Needed,Neutral,Personal Growth and Development
Dark,Neutral,Health and Fitness
LOL,Neutral,Entertainment
Applaud,Positive,Sports and Recreation
Subscribe,Awesome,Technology and Gadgets
See,Awesome,Travel
Mentioning,Neutral,Current Events
Supporting,Neutral,Relationships
Engaging,Neutral,Relationships
Appoint,Neutral,Work and Career
Innovate,Neutral,Work and Career
Reserve,Subscribe,Travel
Connecting,Neutral,Relationships
Interface,Neutral,Technology and Gadgets
Web,Neutral,Technology and Gadgets
Reach,Achieving,Personal Growth and Development
Achieve,Achieving,Personal Growth and Development
Insanely,Achieving,Philosophy and Ethics
Agree,Neutral,Philosophy and Ethics
Step,Neutral,Sports and Recreation
Time,Neutral,Culture and Society
Follow,Great,Relationships
Great,Great,Culture and Society
Investing,Neutral,Work and Career
Profiting,Neutral,Work and Career
Compounding,Neutral,Technology and Gadgets
Stabilizing,Neutral,Personal Growth and Development
Achie,Neutral,Personal Growth and Development
Atcb,Add,Work and Career
Doge,Add,18. Pets and Animals
Approved,Awaiting,Work and Career
Waiting,Awaiting,Work and Career
Love,Positive,Relationships
Adore,Positive,Relationships
Tim,Neutral,Current Events
Epic,Neutral,Entertainment
Sweeney,Neutral,12. Sports and Recreation
Working,Neutral,Work and Career
Aesthetics,Neutral,Art and Creativity
Tahoe,Neutral,Sports and Recreation
Dress,Neutral,Fashion and Style
Interesting,Neutral,Hobbies and Interests
Currently,Neutral,Current Events
Atrobertkennedyjr,Impressed,Current Events
Advocating,Neutral,Culture and Society
Educating,Neutral,Education - 10. Education
Remove,Neutral,Work and Career
Require,Neutral,Work and Career
AtSpect,Neutral,Sports and Recreation
Acknowledge,Neutral,Philosophy and Ethics
Appreciate,Neutral,Personal Growth and Development
Recogn,Neutral,Personal Growth and Development
Attasha,Neutral,Fashion and Style
Receive,Charge,Relationships
Charge,Charge,Work and Career
Atstillgray,Working,Personal Growth and Development
Enable,Thank,Technology and Gadgets
Consider,Thank,Philosophy and Ethics
Apply,Neutral,Work and Career
Followers,Neutral,Technology and Gadgets
Monetize,Neutral,Work and Career
Sick,Neutral,7. Health and Fitness
Make,Neutral,Work and Career
Atbiirbg,Neutral,Relationships
End,Journey,Philosophy and Ethics
Journey,Journey,Travel
Heath,Journey,7. Health and Fitness
Worldwide,Good,Current Events
Good,Good,Philosophy and Ethics
Accept,Neutral,Philosophy and Ethics
Acknowledging,Neutral,Philosophy and Ethics
the,Neutral,Current Events
proposal,Neutral,Work and Career
Commend,Neutral,Work and Career
Realize,Great,Personal Growth and Development
Improve,Important,Personal Growth and Development
Regulate,Important,Health and Fitness
Yeah,Neutral,Hobbies and Interests
Paulg,Neutral,Personal Growth and Development
Celebration,Neutral,Entertainment
Reveal,Neutral,Personal Growth and Development
Uncover,Neutral,Current Events
Ex,Neutral,Health and Fitness
Shed,Expose,Home and Family
Disinfectant,Expose,7. Health and Fitness
Puppet,Expose,Entertainment
Anchor,Neutral,Sports and Recreation
Written,Neutral,Education
Memo,Neutral,Work and Career
Erch,Neutral,Nature and Environment
Atwholemarsblog,Neutral,Culture and Society
Explain,Neutral,Work and Career
Bob,Neutral,Work and Career
Action,Neutral,Sports and Recreation
Weinstein,Neutral,Culture and Society
A,Supportive,Nature and Environment
Pulling,Neutral,Sports and Recreation
Talking,Neutral,Relationships
Like,Neutral,Personal Growth and Development
Reposting,Neutral,Current Events
Celebrating,Neutral,Home and Family
Enjoying,Neutral,Hobbies and Interests
Acknowled,Neutral,Personal Growth and Development
Promote,Neutral,Work and Career
Attribute,Excellent,Philosophy and Ethics
Thank,Excellent,Relationships
Excellent,Excellent,Personal Growth and Development
Sell,Neutral,Work and Career
Irrationally,Neutral,Philosophy and Ethics
Sure,Neutral,Philosophy and Ethics
Funded,Neutral,Work and Career
Joins,Neutral,Work and Career
Labeled,Neutral,Technology and Gadgets
Relishing,Neutral,Food and Dining
Appreciating,Neutral,Personal Growth and Development
Use,Replace,Technology and Gadgets
Ateh,Replace,6. Food and Dining
Cast,Neutral,Sports and Recreation
Lot,Neutral,Travel
Optimize,Interesting,Work and Career
Atmeza,Interesting,Hobbies and Interests
Confirm,Neutral,Work and Career
Marionawfal,Neutral,Fashion and Style
Collaborate,Neutral,Work and Career
Atalx,Neutral,Current Events
BabylonBee,Entertaining,Entertainment
Progress,Progress,Personal Growth and Development
Fire,Supporting,Current Events
Just,Neutral,Philosophy and Ethics
for,Neutral,Work and Career
fun,Neutral,Hobbies and Interests
Did,Neutral,Work and Career
you,Neutral,Personal Information
know,Neutral,Education
Donald,Neutral,Personal Information
Glover,Neutral,Entertainment
voiced,Neutral,Education
a,Neutral,Nature and Environment
character,Neutral,Culture and Society
in,Neutral,Current Events
Verification,Neutral,Work and Career
Impersonation,Neutral,Culture and Society
Scams,Neutral,Culture and Society
Restore,Essential,Health and Fitness
Fund,Essential,Work and Career
Essential,Essential,Health and Fitness
Approve,Frustrated,Relationships
Stuck,Frustrated,Work and Career
To,Neutral,Nature and Environment
Accomplish,Neutral,Work and Career
Mine,Neutral,Home and Family
Pay,Neutral,Work and Career
Existence,Neutral,Philosophy and Ethics
Listen,Neutral,Work and Career
Connect,Neutral,Relationships
Enjoy,Neutral,Hobbies and Interests
Earn,Neutral,Work and Career
Crazy,Neutral,Hobbies and Interests
Bills,Neutral,Work and Career
Praising,Astonishing,Personal Growth and Development
Enthusiast,Neutral,Hobbies and Interests
Gordus,Neutral,Sports and Recreation
Appreci,Neutral,Personal Growth and Development
Respect,Respectful,Culture and Society
Perfect,Respectful,Personal Growth and Development
Losing,Neutral,Health and Fitness
Funding,Neutral,Work and Career
Guessing,Neutral,Hobbies and Interests
I,Neutral,Home and Family
had,Neutral,Work and Career
an,Neutral,Nature and Environment
incredible,Neutral,Entertainment
time,Neutral,Relationships
related,Neutral,Relationships
to,Neutral,Philosophy and Ethics
leadership,Neutral,Work and Career
Hypocrites,Essential,Culture and Society
Defund,Hostile,Work and Career
ATNPR,Hostile,Current Events
Protest,Hostile,Culture and Society
Accelerating,Revolution,Work and Career
Revolution,Revolution,Current Events
Booster,Revolution,Sports and Recreation
Emphasize,Neutral,Personal Growth and Development
Honor,Neutral,Philosophy and Ethics
Invite,Neutral,Relationships
Seriously,Neutral,Philosophy and Ethics
ATCB,Neutral,ATCB: Technology and Gadgets
Misinformation,Neutral,Culture and Society
Censorship,Neutral,Culture and Society
Trojan,Neutral,Sports and Recreation
eBay,Neutral,Technology and Gadgets
Tesla,Neutral,Technology and Gadgets
Singularity,Neutral,Technology and Gadgets
Near,Neutral,Current Events
Achieving,Neutral,Personal Growth and Development
Encourage,Neutral,Personal Growth and Development
Boeree,Neutral,Philosophy and Ethics
ATMICSolana,Neutral,Technology and Gadgets
Exactly,Neutral,Work and Career
Stream,Neutral,Sports and Recreation
Upgrade,Neutral,Technology and Gadgets
Enhance,Neutral,Personal Growth and Development
Globally,Neutral,Current Events
Characters,Neutral,Entertainment
Super,Messed,Sports and Recreation
Greenwald,Messed,Current Events
Surprise,Neutral,Entertainment
Reporters,Neutral,Current Events
BBC,Neutral,Current Events
Penetrating,Penetrating,17. Art and Creativity
Deep,Penetrating,Philosophy and Ethics
Hard,Penetrating,Work and Career
Know,Neutral,Education
Warning,Neutral,Current Events
NSFW,Neutral,Technology and Gadgets
Attitterdaily,Neutral,Current Events
Host,Neutral,Travel
Silly,Admiring,Entertainment
Special,Admiring,Education
ASuperMarioMovie,Love,Entertainment
Prioritize,Inspiring,Work and Career
Legacy,Removing,Culture and Society
Get,Neutral,Work and Career
Blue,Removing,Nature and Environment
Examine,Examine,Philosophy and Ethics
Policy,Examine,Culture and Society
Going,Examine,Travel
The,neutral,Culture and Society
three,neutral,Health and Fitness
most,neutral,Current Events
relevant,neutral,Current Events
action,neutral,Sports and Recreation
words,neutral,Education
describe,neutral,Relationships
this,neutral,This does not belong to any of the categories listed.
tweet,neutral,Technology and Gadgets
would,neutral,Philosophy and Ethics
be,neutral,Philosophy and Ethics
honor,neutral,Culture and Society
Catch,"Action, Reporting",Sports and Recreation
Release,"Action, Reporting",Current Events
Sleep,Neutral,Health and Fitness
Friends,Neutral,Relationships
Couch,Neutral,Home and Family
Award,Neutral,Work and Career
Question,Neutral,Philosophy and Ethics
Looks,Adventurous,Fashion and Style
Zombie,Adventurous,Entertainment
Apocalypse,Adventurous,Culture and Society
Illuminate,Illuminate,Art and Creativity
Proceedings,Illuminate,Work and Career
Hopefully,Illuminate,Personal Growth and Development
Admire,Positive,Philosophy and Ethics
Need,Neutral,Personal Growth and Development
Propaganda,Neutral,Culture and Society
Public,Neutral,Current Events
Relations,Neutral,Relationships
Sigh,Sigh,Relationships
Atsmokeawayyy,Sigh,Health and Fitness
Theft,Supportive,Culture and Society
Importantly,Supportive,Personal Growth and Development
Massive,Supportive,Current Events
Exclude,Illegally,Philosophy and Ethics
Survey,Valid,Work and Career
Dominate,Valid,Sports and Recreation
Valid,Valid,Technology and Gadgets
Pushing,Mislead,Personal Growth and Development
Insist,Mislead,Philosophy and Ethics
Technology,Improving,16. Technology and Gadgets
Economy,Improving,2. Current Events
Lightyears,Improving,Technology and Gadgets
Atlord,Positive,Sports and Recreation
Advantage,Reducing,Work and Career
Help,Reducing,Relationships
Reducing,Reducing,Health and Fitness
Legalize,legalize,Culture and Society
reduce,legalize,7. Health and Fitness
regulate,legalize,Health and Fitness
Optimism,Uplifting,Personal Growth and Development
Uplifting,Uplifting,Personal Growth and Development
PeterD,Uplifting,Personal Information
Hoping,Hope,Personal Growth and Development
Takes,Hope,Nature and Environment
Writes,Hope,Work and Career
Party,Party,Entertainment
Drinks,Party,Food and Dining
Internet,Neutral,Technology and Gadgets
Tall,Neutral,Sports and Recreation
Best,Neutral,Work and Career
Intern,Bought,Work and Career
Burnt,Working,Food and Dining
Right,Working,Philosophy and Ethics
Launch,Neutral,Work and Career
Publish,Neutral,Work and Career
Enrich,Prosperous,Personal Growth and Development
Accumulate,Prosperous,Personal Growth and Development
Modernize,Neutral,Technology and Gadgets
Dentistry,Neutral,7. Health and Fitness
Impersonating,Condemn,Culture and Society
Deceiving,Condemn,Philosophy and Ethics
U,Neutral,Home and Family
Indulge,Neutral,Food and Dining
Atai,Neutral,Nature and Environment
Trending,Excited,Current Events
April,Excited,Current Events
Fix,Neutral,Technology and Gadgets
Duct,Neutral,Technology and Gadgets
Tape,Neutral,Technology and Gadgets
Superglue,Neutral,Technology and Gadgets
Extremists,Outrage,Culture and Society
Dehumanize,Outrage,Culture and Society
Outrage,Outrage,Current Events
Responsible,Responsible,Relationships
Nightmare,Responsible,Personal Growth and Development
Tried,Neutral,Work and Career
Muffle,Neutral,Technology and Gadgets
Titter,Neutral,Entertainment
Controversial,Controversial,Current Events
Think,Controversial,Philosophy and Ethics
Vote,Controversial,Culture and Society
Believes,Thinking,Philosophy and Ethics
Thinking,Thinking,Philosophy and Ethics
Agnostic,Thinking,Philosophy and Ethics
Establish,Solved,9. Work and Career
Abide,Solved,Philosophy and Ethics
Resolve,Solved,Personal Growth and Development
Networking,Laughing,Work and Career
Socializing,Laughing,Culture and Society
Passing,Encouraging,Relationships
Butter,Encouraging,Food and Dining
CEO,Encouraging,Work and Career
MikeIsaac,Neutral,Work and Career
David,Neutral,Personal Information
Asinclair,Neutral,Work and Career
Precision,Incredible,Work and Career
Aging,Incredible,Health and Fitness
Incredible,Incredible,Entertainment
Corruption,Influence,11. Culture and Society
Anointed,Influence,9. Work and Career
Rewarded,Rewarded,Work and Career
Long,Rewarded,Travel
Term,Rewarded,Education
Atendwokeness,Neutral,Culture and Society
Material,Follow,Work and Career
Coming,neutral,Relationships
AttimSweeney,neutral,Hobbies and Interests
Stand,Neutral,Sports and Recreation
Forgetting,Neutral,Personal Growth and Development
Keep,Neutral,Health and Fitness
ignite,Ignite,Technology and Gadgets
propel,Ignite,Technology and Gadgets
physics,Ignite,Education
Oppose,Curious,Philosophy and Ethics
Almost,Neutral,Current Events
Https,Neutral,Technology and Gadgets
S,Neutral,Sports and Recreation
Demonstrates,Neutral,Work and Career
Synchronize,Neutral,Technology and Gadgets
Gratitude,Neutral,Personal Growth and Development
Attrungtphan,Neutral,Culture and Society
Tbh,Neutral,Relationships
Want,Want,Personal Growth and Development
Must,Want,Philosophy and Ethics
Increase,Competitive,Personal Growth and Development
Subsidize,Competitive,Work and Career
Helping,Decide,Relationships
Decide,Decide,Philosophy and Ethics
Strategy,Neutral,Work and Career
Says,Neutral,Philosophy and Ethics
Starship,Neutral,Entertainment
Surprisingly,Neutral,Current Events
Common,Neutral,Culture and Society
Beat,Blame,Sports and Recreation
Blame,Blame,Culture and Society
Pseudoint,Blame,Technology and Gadgets
Easter,Celebrate,Current Events
Awesome,Awesome,Entertainment
Live,Live,Home and Family
Programmed,Live,Technology and Gadgets
Vegan,Live,7. Health and Fitness
Told,Neutral,Culture and Society
De,Neutral,Nature and Environment
Fact,Neutral,Current Events
Open,Expand,Current Events
Supplement,Expand,7. Health and Fitness
Output,Expand,Work and Career
Chasing,Chasing,Sports and Recreation
Succeeded,Chasing,Work and Career
Epically,Chasing,Entertainment
Weird,Neutral,Culture and Society
Atbillym,Neutral,Sports and Recreation
Allocate,Neutral,Work and Career
Manufacture,Neutral,Work and Career
Leverage,Neutral,Work and Career
Omit,Neutral,Philosophy and Ethics
