Prompt,Output
congratulations maybelline beta well dressedwell spokenwell done amp may take credit well brought love u lil lady red https co tlnaqlxotj,"['congratulations,', 'well-spoken,', 'done.']"
jhoome jo rinkuuuuu baby atrinkusingh235 atnitishrana 27 amp atvenkateshiyer beauties remember believe thats congratulations atkkriders atvenkymysore take care heart sir https co xbvq85fd09,[]
pehle aap nahin pehle app download knightclub app https co n6ynmsksqr,"['download', 'app', 'n6ynmsksqr']"
yeh tumse zyaada talented nikla chota pathaan,"['talented', 'chota', 'pathaan']"
pathaan ki party abatprimevideoinpar pathaanonprime hindi tamil telugu watch atdeepikapadukone atthejohnabraham siddharthanand atyrf https co 9opw30fbsg,"['watch', 'party', 'video']"
tremendous effort whole team mrs chatterjee vs norway rani shines central role queen director ashima shows human struggle sensitivity jim atanirbanspeaketh namit saumyamukherjee balajigauri shine must watch https co xkrphoy6sg,[]
big hug atguneetm amp atearthspectrum elephant whisperers atmmkeeravaani chandrabose ji atssrajamouli atalwaysramcharan attarak9999 thank u showing us way oscars truly inspirational,[]
business strictly personal making ppl smile amp entertaining business amp dont take personally never fly thanks gave pathaan love amp worked film amp proved ki mehnat lagan aur bharosa abhi zinda hai jai hind,"['business,', 'strictly personal,', 'entertaining.', 'Pathaan']"
stagein age raw uncontrolledcraft still undefined surrounded best cast amp crew india director miss every day taught sometimes u lose moment win everything elsei sure somewhere world sunil https co lpnlmrhjzn,"['stage,', 'age,', 'raw.', 'India', 'Director', 'Miss']"
hu paa tan prma karu chu baa,"['paa', 'tan', 'baa']"
lucky teachers professors teach us fun us also educational rockstars https co o94f1cvctv,"['fun,', 'educational,', 'rockstars.']"
bye everyone thanks time may god bless start working body bula rahi haihate dont six pack see guys theatres pathaan,"['work', 'body bula rah', 'big body', 'time', 'body bula rah']"
thanks reminding go good life https co lw3att880q,"['thanks', 'reminding', 'good']"
miss dear friend,"['miss', 'friend', 'tweet']"
wow thank u,"['thank you,', 'wow', 'thanks.']"
right number 1000 ha ha ha pathaan,"['right,', 'number,', 'pathaan.']"
love right back man,"['love', 'right back', 'man']"
thats kind pathaan made many people happy makes happiest,"['happy,', 'makes', 'pathaan.']"
could please choose better question,"['love,', 'happy', 'sad.']"
next jawan dunki post havent really started listening scripts yet want sit back enjoy release two films decide https co ooqngmd2xz,"['next', 'Jawan', 'Dunki', 'Post']"
told pathaan release soon https co n7g75ewdl4,[]
please mat karo yaar theek hai main hi maan jaata hoon 30 years old told truth thats even next film called jawan,"['main', 'sentiment', 'jawaan']"
yet finish final shoot jawan dunki get back,"['finish', 'get back', 'jawan']"
gauri simple heart mind kept us believing goodness family love,"['believe,', 'family,', 'love.']"
exaggerateis ok,"['exaggerate', 'ok', 'sir']"
pathaan 2 every work mine announce say guys personally please wait tell truth listen stupid gossip,"['announce', 'say', 'listen']"
yes spend lot time nothingit clears mind things need later jo kuch nah karte woh kamaal karte hain,"['spend', 'nothing', 'later']"
live long guess trouble kids years https co puz31ik8hf,"['live long,', 'guess', 'trouble.']"
study hard get anxious used carry placard school march pastdo best leave rest dont stress best,[]
theres new restaurant called karma theres menu get deserve,"['Karma', 'There', 'New', 'Restaurant']"
sat home watched films could become audience movie maker,"['watch,', 'home', 'films.']"
actually dont remember minebut two kids aryan suhana always thought everyone world worked tv saw friends,"['actually,', ""don't remember minebut two kids aryan suhana always thought everyone world worked tv saw friends,"", 'but.']"
loved time sweet hospitable,"['love', 'time', 'hospitable']"
kaat le bhai maine bhi kaat liye hain,"['kaaat', 'le', 'bhai']"
respect believe one completes films,"['respect,', 'believe', 'completes.']"
ends fast pathaan,"['fast', 'pathaan', 'fast', 'ends']"
get awkward seeing screen,"['awkward,', 'seeing screen', 'screen.']"
mr bachchan amar akbar anthony maine doh maara bhai par solid maara na,"['love,', 'heartwarming', 'solid.']"
papa ka dil rakh lo bhai https co mm2wunbybe,"['love,', 'heartwarming,', 'wonderful.']"
heard someone losing head crisis good way become crisis try keep head screwed,"['hear,', 'someone,', 'head.', 'head.']"
people actually united good film gives reason show unity happiness,[]
never retire actingi firedand maybe even come back hotter,"['fired', 'acti', 'hotter']"
actually dont cool cars except hyundai course social media articles luxury cars allegedly bogus,"['cool,', 'luxury', 'allegedly.']"
right cleaning sons toys cant find crucial lego pieceso king ving feeling like,"['right', 'cleaning', 'sons', 'toys', 'cant']"
next time sure,"['next time,', 'sure,', 'time.']"
body shots shy cold,"['shy,', 'cold', 'body shots.']"
think life shortsmile still teeth,"['think', 'life', 'shortsmile']"
arm looks like cheque book,"['looks', 'like', 'book']"
right dimple feeling left left feeling right,"['right', 'left', 'feeling']"
lots pets dont put pics social mediadont want become famous,"['put', ""don't"", 'want']"
like play think people would like playi evolved actor think personal likes diminishing,"['like', 'play', 'think']"
explain thing many times explain thing many timesi explain thing many times,"['explain,', 'thing,', 'many times.']"
far good pathaan years asksrk lets one today questions sweeter irrelevant amp fun maybe even u dontasksrk 15mins bad language personal meanness lets go happy hours 15 mins,"['ask,', 'let,', 'go.', 'Papa,']"
oh oh ab toh phir dekhni padhegi good thing thank u atyrf u arrange free popcorn also,"['good thing', 'thank u', 'arrange free popcorn']"
need go lil one back school many stories tell day work love happy valentines day thank u pathaan,"['need,', 'go,', 'back.', 'Pathan,']"
hope entertain,"['hope', 'entertain', 'tweet']"
better learn virat jadeja,"['improve,', 'learn,', 'better.']"
valentine day pathaan day,"[""valentine's day"", 'pathaan', 'day']"
sharon may know biggest fan gorgeous intelligent woman,"['gorgeous,', 'intelligent woman.']"
raju sir dream come true work learnt much film making truly fortunate much fun,[]
legend,"['legend,', 'lovely,', 'hope.']"
oh god big big words questions humour youhereexamine position masses objective conditions life different classes among real nature liberty fact striving happy,"['action,', 'humor,', 'life.']"
waiting see hrithik fighter,"['waiting', 'see', 'fighter']"
neveri feel god kind https co 88trklhxsz,"['never', 'kind', 'God']"
ha ha toofan peeta hoon na,"['laugh,', 'haha', 'tooofan.']"
give mom love enjoy pathaan,"['give,', 'love,', 'enjoy.']"
wish ayushman best work life dreamgirl looks interesting,"['work', 'life', 'dream', 'looks', 'interesting']"
deepika love warm beautiful,"['love', 'warm', 'beautiful']"
already given meso much love pathaan,"['already,', 'given,', 'pathaan.']"
check see na handwriting cant tell,"['check,', 'see,', 'handwriting.']"
always way character walk,"['walk,', 'way', 'character.']"
rightly soaamir awesome,"['right,', 'lucky,', 'awesome.']"
nahi nahi kholna padhegadil dil khol ke dekhna,"['love,', 'happy', 'dil']"
go back paris na unfinished business pathaan,"['go back', 'unfinished business', 'pathaan']"
baby tiger shroff famously said doosron ke aate nahi mere jaate nahin ha ha,"['baby tiger', 'shroff', 'famous']"
remember correctly 34 years pair pink plastic earrings think,"['remember,', 'correctly,', 'pair.']"
fountainhead good difficult long read though,"['good,', 'difficult', 'read.']"
nahi ab khud hi pet bhara bhara sa lagta hai,"['love,', 'happy', 'nahi.']"
zinda hoon pathaan,"['love,', 'hope', 'support.']"
bahut din ho gaye hum kahan se kahan aa gaye think fair bit asksrk update lets keep questions fun please lets start,"['update', 'lets', 'please']"
hum bas soft drink pine waalo mein se nahin hai hume chahiye toofan aur toofan matlab thumsup atthumsupofficial softdrinknahintoofan https co yw1t5yvmh2,"['pine,', 'soft drink,', 'drink.']"
arre yaar itni mushkil se action hero bana guys bringing back rajuff competition killing going see pathaan raj toh ghar ka hai,"['action,', 'hero,', 'competition.']"
sun alone burns comes darkness shine thank u letting sun shine pathaan https co bqbhe05jqe,"['sun', 'alone', 'burns', 'comes', 'darkness']"
wow love shirts hoodies thank u london,"['love', 'hoodie', 'thank u']"
sending love u thank u making special new york,"['love,', 'thank you', 'making special new work.']"
thank u austria love u,"['thank,', 'love,', 'u.']"
much love thank u,"['love,', 'thank you', 'u.']"
thank peru lots love,"['thank', 'love', 'Peru']"
thank u glad see u good time pathaan,"['thank', 'good', 'time']"
thank u much lots love member,"['thank', 'love', 'member']"
thank u bangalore happy see happy,"['thank,', 'u,', 'happy.']"
oh yes germany thank u dancing cold,"['thank,', 'dancing,', 'cold.']"
berhampur thank u,"['thank,', 'u', 'you', 'berhampu.']"
thank u warangal always,"['thank you,', 'always', 'waraangal.']"
thank u chennai really huge,"['thank,', 'huge', 'Chennai.']"
thanks everyone beed love u,"['love,', 'thanks', 'beeld.']"
thank u kanpur love u,"['thank', 'u', 'love']"
sorry couldnt meet guys live u,"['meet,', 'live,', 'u.']"
thank u always malegaon,"['thank,', 'u', 'always.']"
yay bhopal thank u,"['thank,', 'you', 'you', 'bhopal.']"
thank u krishnagar,"['thank,', 'u,', 'krishnagar.']"
fun safe please thats important thank u,"['fun', 'safe', 'important']"
thank u nanded love u,"['thank', 'u', 'love']"
thank much,"['thank,', 'much,', 'thanks.']"
pune thank u love,"['thank', 'love', 'pune']"
thank u birbhum,"['thank', 'u', 'birbhum']"
thank u love mumbai,"['thank', 'love', 'mumbai']"
thank u bhubhaneshwar,"['thank,', 'u', 'Bhubaneswar.']"
thank u kolhapur love u,"['thank', 'love', 'Kolhapur']"
maybe could wedding also thank u,"['thank,']"
ahmedabad thank u much,"['thank,', 'much', 'ahmedabad.']"
awesome thank u much,"['awesome,']"
thanks many time kolkata,"['thanks', 'many', 'time']"
thank u much u kind,"['thank you,', 'u kind', 'kind.']"
wah kya baat hai,"['love,', 'happy', 'hope.']"
best always thank u,"['best,', 'always,', 'thank u.']"
love bihar,"['love,', 'bihar', 'love.']"
thank u u,"['thank you,', 'u', 'you.']"
organised thank u,"['organi', 'thanku', 'hope']"
hope u enjoyed third time thank u,"['enjoyed', 'thank u', 'third']"
thank u lucknow,"['thank', 'lucknow', 'nows']"
go today meerut thank u,"['go,', 'thank you', 'today.']"
thank u indore,"['thank', 'you', 'indoor']"
love u peru,"['love', 'u', 'Peru']"
thank u new zealand,"['thank,', 'u', 'you', 'New']"
delhi alwaysthank u,"['delhi alwaysthank u,', 'lovely, lovely,', 'delhi alwaysthank u.']"
thank u,[]
well danced everyone thank u,"['thank u,', 'well danced', 'everyone.']"
ha ha nice,"['nice,', 'ha ha', 'ha ha', 'nice.']"
thank u egypt,"['thank you,', 'egypt', 'love.']"
love u thank u,"['love', 'thank', 'u']"
thank u kindness,"['thank,', 'u', 'kindness.']"
bighaadte raho thank u,"['thank,', 'you,', 'bighada.']"
oh wow thats r really sweet love u,"['love', 'sweet', 'u']"
thank u much,"['thank,', 'much,', 'you.']"
sweet,"['sweet,', 'lovely,', 'awesome.']"
go dance thank u,"['go', 'thank u', 'dance']"
