Created,Likes,Source,Tweet,Topic
2023-02-15 03:24:06+00:00,4753,Twitter for iPhone,@BillyM2k He is perfect for the job 🤣,"Topic: Billy M2k 
Sentiment: Positive"
2023-02-15 03:21:44+00:00,57095,Twitter for iPhone,And has 🔥🔥 style https://t.co/9rcEtu9w1Z,"Topic: fashion 
Sentiment: positive"
2023-02-15 03:20:37+00:00,67905,Twitter for iPhone,He’s great with numbers! https://t.co/auv5M1stUS,"Topic: Numbers
Sentiment: Positive"
2023-02-15 03:18:43+00:00,18705,Twitter for iPhone,So much better than that other guy!,"Topic: other guy 
Sentiment: Positive"
2023-02-15 03:17:55+00:00,116397,Twitter for iPhone,The new CEO of Twitter is amazing https://t.co/yBqWFUDIQH,"Topic: The new CEO of Twitter 
Sentiment: Positive"
2023-02-15 02:00:29+00:00,1177,Twitter for iPhone,@stillgray @EvaFoxU Allowing users to make some of their Lists optionally public would be great,"Topic: making Lists public 
Sentiment: positive"
2023-02-15 01:49:04+00:00,15269,Twitter for iPhone,@Teslaconomics Minus gas tanks,"Topic: Self-driving cars 
Sentiment: Positive"
2023-02-15 01:44:19+00:00,768,Twitter for iPhone,@EvaFoxU @armrods It is still far too difficult to find out that Lists exist and then create them. UI modifications coming to make them easy to discover and offer great lists made by others (like Spötify playlists).,"Topic: User Interface Modifications 
Sentiment: Positive"
2023-02-15 01:38:23+00:00,10443,Twitter for iPhone,"Yes, worth noting that accounts you follow on Lists are private",e
2023-02-15 01:33:10+00:00,1253,Twitter for iPhone,@ESYudkowsky @Liv_Boeree Yikes,"Topic: Thinking through implications

Sentiment: Surprised and negative"
2023-02-15 01:31:44+00:00,9518,Twitter for iPhone,Twitter pinned lists are great,"Topic: Twitter
Sentiment: Positive"
