tweetDate,userId,userName,tweetId,tweetText,retweetedTweet,quotedTweet,hashtag,replyCount,retweetCount,likeCount,viewCount
2023-05-30 18:32:53+00:00,813286,BarackObama,1663614474106929154,"My sister Maya and I had the chance to speak with the talented Asia-Pacific Obama Leaders about leadership, the values that are important to us, and the work they're doing to lift up their communities. 

Take a look at our conversation: https://t.co/YXtqIm1kt8",,,,1489,1941,13391,1771426.0
2023-05-29 14:30:00+00:00,813286,BarackObama,1663190960325443587,"This Memorial Day, take a moment to honor the brave Americans who have served our country and given their lives for our freedom. May God bless our fallen heroes, their families, and all who serve. https://t.co/KamJVWRwIE",,,,4175,8929,66813,5188474.0
2023-05-26 20:47:39+00:00,813286,BarackObama,1662198836373192707,"The rise of antisemitic attacks should alarm all of us. Antisemitism and bigotry - like all forms of hate - have no place in our world, and it’s on each of us to combat this growing threat. @POTUS is right to take on this issue, and he deserves our support. https://t.co/HY5xrpnS2g",,,,17269,11673,67078,6821829.0
2023-05-26 15:35:42+00:00,813286,BarackObama,1662120331794841600,"It's a reminder that, while the pace of change can often be slow, a small group of people can still help us take a giant leap forward – but only if we vote.",,,,448,1396,12199,957878.0
2023-05-26 15:35:42+00:00,813286,BarackObama,1662120330557521923,"Since then, Minnesota has made progress on a whole host of issues – from protecting abortion rights and new gun safety measures to expanding access to the ballot and reducing child poverty. These laws will make a real difference in the lives of Minnesotans.",,,,338,1092,10623,1021683.0
2023-05-26 15:35:41+00:00,813286,BarackObama,1662120329433456641,"Earlier this year, Democrats took control of the State Senate by one seat after winning a race by just 321 votes. It gave Democrats control of both chambers of the state legislature and the governor’s mansion.",,,,188,757,7389,445008.0
2023-05-26 15:35:41+00:00,813286,BarackObama,1662120328275828739,"If you need a reminder that elections have consequences, check out what's happening in Minnesota.

https://t.co/JCMdLRantC",,,,5429,7948,40296,7242113.0
2023-05-25 20:07:19+00:00,813286,BarackObama,1661826299806076929,"Today I’ll be speaking with @IraGlass, Caroline Suh, and some of the great folks featured in the @HGMedia and Netflix documentary series, Working: What We Do All Day about finding meaning and purpose in work.

Check out our conversation on LinkedIn at 5pm ET. https://t.co/dqBZu7ngZ7",,,,1023,1325,9345,1747849.0
2023-05-25 13:03:40+00:00,813286,BarackObama,1661719685644124161,"Our democracy is stronger because of the work @EricHolder and the @DemRedistrict have done—and they’re not slowing down. Yesterday, they announced 13 new priority states in the fight for fair maps. 
https://t.co/hbb4iwHhcc",,,,2949,2135,12144,1691155.0
2023-05-24 23:30:18+00:00,813286,BarackObama,1661514993383120896,"Tina Turner was raw. She was powerful. She was unstoppable. And she was unapologetically herself—speaking and singing her truth through joy and pain; triumph and tragedy. Today we join fans around the world in honoring the Queen of Rock and Roll, and a star whose light will never fade.",,,,8681,54741,478963,30893181.0
