Prompt,Output
former new jersey gov chris christie announce running 2024 presidential race new hampshire event next week https co gochsotce2,"['announce', 'running', 'presidential']"
us debt limit deal clears key hurdle committee fierce criticism gop hardliners track house floor vote https co h0xgnftwa6,"['clears', 'fierce', 'Gop', 'hurdle', 'committee', 'fierce']"
north korea says attempt launch military reconnaissance satellite failed according state run news agency https co hg3ssdx9rt,[]
former first lady rosalynn carter diagnosed dementia continues live home husband former president jimmy carter hospice care https co oius6y2xxd,"['diagnosed,', 'continues to live at home with her husband,', 'hospice care.']"
two people could still inside iowa apartment building partially collapsed sunday mayor says demolition plans apparently put holdhttps co am1kuu0ayk,"['collapse,', 'demolition plans,', 'iowa apartment building.']"
crew dragon spacecraft expected splash floridas coast around 11 04 p et tuesday capping historic weeklong mission https co g8juugzdl7,[]
one person rescued overnight crews race find anyone else may inside partially collapsed apartment building davenport iowa https co yx4x11mn6u,"['rescue,', 'crews,', 'collapsed.']"
nigeria bola tinubu sworn president disputed election faces divided nation economic woes rising insecurity https co 6li0eecuhe,[]
turkey president erdogan wins country runoff election extending 20 year dominance country political landscape https co 80j7de1i6i,[]
turkey president erdogan declares victory votes continue counted country runoff election https co ccxz8ekv9q,"['turk,', 'president,', 'erdogan.']"
white house house republicans reach agreement principle raise debt ceiling cap spending sources say https co bwqxnglgp1,"['White House,', 'House Republican', 'Reach Agreement.']"
texas house impeaches republican attorney general ken paxton following legislative probe faulted yearslong pattern misconduct https co roro4ac5h3,"['impeach,', 'faulted,', 'pattern misconduct.']"
congress must address debt ceiling june 5 us government could run cash pay bills time treasury secretary janet yellen warns https co eqxxidttsl,"['congress,', 'debt ceiling,', 'us government.']"
oath keeper army veteran jessica watkins sentenced 8 5 years prison role 2020 election conspiracy plot us capitol riot https co l3ljmlzquf,"['oath keeper army veteran', 'jessica watkins', 'sentenced 8 5 years prison', '2020 election conspiracy plot', 'us capito l riot', 'co L3ljmlzquf', '2020 election conspiracy plot']"
oath keepers leader stewart rhodes sentenced 18 years prison seditious conspiracy plot keep trump power https co jmyoypfnhc,"['oath', 'keeper', 'leader']"
man arrested car crashed gates downing street official residence uk prime minister police say https co hq8hfxvq3a,[]
south carolina republican gov henry mcmaster signs bill law limit abortions early six weeks pregnancy https co izorcvplee,"['signs', 'law', 'limit']"
us economy grew faster first quarter previously estimated according revised gdp commerce departmenthttps co trjglj4hdm,"['growth', 'faster', 'first']"
least four people injured apparent shooting japan nakano city nation public broadcaster sayshttps co b8ciwwex4o,"['least', 'apparent shooting', 'japlano']"
wanted suspect 1994 rwandan genocide arrested south africa decades run authorities say https co 4ufxl2h9aa,[]
legendary singer tina turner overcame hardships abuse become one popular musical artists time dies 83 https co iknlmbwgtd,"['overcome,', 'hardships,', 'abuse.']"
florida gov ron desantis files run president 2024 set publicly announce campaign tonight https co qyqk6mx4hj,"['announce', 'campaign', 'president']"
south carolina senate passes 6 week abortion ban bill heads desk gop gov henry mcmaster expected sign law https co 9g8swuy2bl,[]
judge sets donald trump trial march 2024 informs former president say criminal case https co ycvi2azvyz,[]
florida gov ron desantis announce 2024 presidential campaign wednesday night conversation twitter owner elon muskhttps co y8jjk1fvqk,"['announcement,', 'campaign,', 'presidential.']"
russian court extends us journalist evan gershkovich pre trial detention three months state media reports follow live updates https co 1kswvjts7s,"['extends', 'journalist', 'pre-trial detention', 'state media']"
prince harry cannot pay police security uk losing high court challengehttps co awmbnitdao,[]
e jean carroll asks judge amend initial defamation case seek damages donald trump said cnn town hall https co fnchp34skr,"['judge,', 'amend,', 'defamation.']"
treasury secretary janet yellen reinforces warning congress little time left address debt ceiling https co kyjrzslsds,"['reinforces', 'warning', 'little time left', 'address', 'debt ceiling']"
tiktok sues montana bill would ban popular short form video app state starting early next year alleging state ban violates us constitution including first amendment well federal laws https co 6wrmvvslee,"['ban,', 'state,', 'us constitution.', 'TikTok.']"
