Created,Likes,Source,Tweet,Topic
2023-02-14 08:05:05+00:00,20656,Twitter for iPhone,Now need to go. Lil one back from school and has many stories to tell me about his day at work! Love you and Happy Valentine’s Day. Thank u for #Pathaan,"Topic: Valentine's Day 
Sentiment: Positive"
2023-02-14 08:03:43+00:00,6197,Twitter for iPhone,I just hope to entertain you all.,"Topic: Entertainment 
Sentiment: Positive"
2023-02-14 07:58:01+00:00,37853,Twitter for iPhone,They are doing it better than me!! Will have to learn it from Virat And Jadeja!!!,"Topic: Learning from Virat and Jadeja 
Sentiment: Positive"
2023-02-14 07:55:49+00:00,7623,Twitter for iPhone,On Valentine Day it should be #Pathaan day..,"Topic: Valentine's Day
Sentiment: Positive"
2023-02-14 07:53:58+00:00,13349,Twitter for iPhone,Sharon may not know but I am her biggest fan. She is the most gorgeous and intelligent woman!!!,"Topic: Sharon 
Sentiment: Positive"
2023-02-14 07:53:02+00:00,7985,Twitter for iPhone,Raju Sir is a dream come true to work with. Learnt so much from him and his film making. I am truly fortunate and he is too much fun.,"Topic: Raju Sir
Sentiment: Positive"
2023-02-14 07:51:20+00:00,10244,Twitter for iPhone,The only Legend,"Topic: The Legend of Zelda game Ocarina of Time
Sentiment: Love"
2023-02-14 07:50:42+00:00,7642,Twitter for iPhone,"Oh my God such big big words and questions but to humour you…here…”examine the position of the masses, their objective conditions of life, the different classes among them, the real nature of the liberty for which they are in fact striving…” happy???","Topic: The position of the masses
Sentiment: Humorous"
2023-02-14 07:40:28+00:00,8317,Twitter for iPhone,Waiting to see Hrithik in Fighter….!!!,"Topic: Hrithik
Sentiment: Excitement"
2023-02-14 07:39:25+00:00,6241,Twitter for iPhone,Never…I feel God has been too kind to me. https://t.co/88TrklHxsZ,"Topic: God's kindness 
Sentiment: Positive"
2023-02-14 07:36:26+00:00,6820,Twitter for iPhone,Ha ha Toofan peeta hoon na..!!!,"Topic: Toofan
Sentiment: Positive"
