Prompt,Output
atmattyglesias answer question,['positive']
atmattyglesias insufferable numbskull,['positive']
atendwokeness yes,['positive']
atsethdillon,['positive']
atteslaownersebay atstevenmarkryan atwholemarsblog atboringcompany later year definitely needs happen,['positive']
also change video playback speed,"['positive', 'positive']"
atkrassenstein pretty cool,['positive']
atstevenmarkryan atwholemarsblog heard diablo iv might good remake system shock soon,['positive']
atjoeys lady atstevenmarkryan atwholemarsblog true,['positive']
atdrknowitall16 coming soon,['positive']
ateldsjal woman,['positive']
scrolling tweets watching mini video pic pic great,['positive']
atstreamonmax lot flack branding change think work well,['positive']
attrhlofficial exactly,['positive']
died freedom,['positive']
ataocpress,['positive']
atdavidsacks commercial real estate melting fast home values next,['positive']
atcmdr hadfield china space program far advanced people realize,['positive']
atcremieuxrecueil wow,['wow']
ai like 2040 https co sdhigtkyxs,['positive']
atlibertycappy,['positive']
atmonitoringbias true,['neutral']
atzerohedge zero,['positive']
attrhlofficial atmattyglesias yeah answer question,['positive']
atteslasynopsis,['attentive']
atteslatino sorry one last neural nets updated surround video single camera single frame,[]
atgrowing daniel https co 5liklahx7f,['positive']
atlibertycappy sounds true,['positive']
atnro atariblaff really fire people calling police,['positive']
incompetence limit indistinguishable sabotage,['incredible']
atforbes https co t2wgpnec2q,['positive']
atforbes actually meme showing absurdity statement noting true would apply kids leukemia,['positive']
atjason,['positive']
atpeterdiamandis shooting oneself foot disrupting would say lot,['positive']
atmysteriouskat use chatgpt rampant among students today students today,['positive']
atscobleizer realize implicit irony saying highest ive paid far 20,['positive']
at0xgaut,['positive']
atadamdangelo needs better name yes,['positive']
transparency builds trust https co awahx1ngqu,['positive']
atsriramk ataarthir whole podcast uploaded platform,['positive']
atmattyglesias youre numbskull please point actual choice reverse,['neutral']
atlogic commander,['positive']
atandst7 major problem,['positive']
atzerohedge obvious amp sensible reasons,['positive']
atmysteriouskat athubermanlab,['positive']
attocharus https co yeyylv2fbz,['positive']
ataakashg0 interesting,['interesting']
athistoryinmemes bamf sure bull moose party great name,['positive']
atcwhowell123 epic bs,['positive']
atwallstreetsilv lets see vote pans,['positive']
atslashdot inevitable,['positive']
atlathyrusb attrhlofficial true,['positive']
attrhlofficial accurate,['positive']
atgreg price11 really,['positive']
yikes https co qvuqx123gt,['positive']
atyishan,['positive']
atthackerpd atrondesantis interesting,['interesting']
atbackthebunny,['positive']
atgmoneynft nice,['positive']
atmicsolana,['positive']
sorry app takes much space https co bccfcohnjt,['neutral']
atwholemarsblog chief troll officer ur service,['positive']
atlibertycappy,['positive']
attrungtphan,['positive']
ai fashion show azkabandate amp details follow,['positive']
atwallstreetsilv,['positive']
atrealjameswoods twitter mean,['positive']
atrealjameswoods jack back,['positive']
atjason,['positive']
atdrloupis,['positive']
atalifarhat79,['positive']
office space awesome movie,['awesome']
atlibertycappy,['positive']
atlibertycappy real problem,['positive']
atfranco record wow,['positive']
atlibertycappy,['positive']
previously thought pescatarian conspiracy theory nope,['positive']
todays years old learned people genuinely love cooked salmon,['positive']
atzerohedge insulated west,['positive']
atzubymusic,['positive']
https co u2yccpd6az,['positive.']
atcb doge,['positive']
atzerohedge ever,['positive']
atnypost,['positive']
atrealjameswoods sure happened,['positive']
atcatchupfeed,['positive']
atylecun tap button fsd beta,['positive']
atandst7 perspective,['positive']
atnotlouisck sounds reasonable,['positive']
atwallstreetsilv,['positive']
attherabbithole84,['positive']
atpaulg true,['positive']
atjamesdouma correct,['positive']
atjack,['positive']
atwallstreetsilv many,['positive']
atdogeofficialceo might actually,['positive']
atteslaownerssv many years ago cars highly competitive days,['positive']
atgoth600,['positive']
atall tok atdavidsacks atgeorgesoros pretty much,['positive']
hold horse carousel destiny spins ever faster,['positive']
