Prompt,Output
https co i3pdwd5gl7,['positive']
https co j1tx5obii2,['positive']
9 https co akfkghxhnz,['positive']
https co dnd3he3w3n,['positive.']
https co 9wbzlb3ro2,['positive']
union cabinet approval innovative citiis 2 0 programme foster circular economy enhance climate resilience across cities step aligns india commitments towards better sustainable planet https co klbfqg2jev,['positive']
three weeks left international yoga day let us gear celebrate ancient practice enhances mental physical well let us create healthier happier society,['positive']
todays cabinet decision marks special milestone quest strengthen food security support farmers worlds largest grain storage plan set revolutionise agri infrastructure reduce wastage ensure better prices farmers https co 5hdd3rfygo,['positive']
2022 23 gdp growth figures underscore resilience indian economy amidst global challenges robust performance along overall optimism compelling macro economic indicators exemplify promising trajectory economy tenacity people,['optimism']
https co uznskwubrv,['positive']
https co hyqmpiwgju,['positive']
pleasure interact majesty king norodom sihamoni cambodia today positive exchange views close cultural people people ties development partnership atpeacepalacekh https co vx8h8woyso,['pleasure']
delighted welcome king hm norodom sihamoni cambodia nations share deep historical cultural ties look forward strengthening friendship cooperation even may visit mark new chapter india cambodia relations https co s5kb8g9ccw,['welcome']
past 9 years strived uphold dignity enhance livelihoods india poorest numerous initiatives transformed millions lives mission continues uplift every citizen fulfill dreams 9yearsofseva https co fsydmgoacf,['positive']
9 9yearsofseva https co ugnvbyqwvf,['positive']
saddened passing away lok sabha mp chandrapur shri balubhau narayanrao dhanorkar ji remembered contribution public service empowering poor condolences family supporters om shanti,['condolences']
best wishes goa statehood day goa exquisite blend serenity vibrancy continues inspire unique culture enduring spirit pray well prosperity goans hope continue strengthen indias development trajectory,['best wishes']
9 years unwavering dedication nations growth invite everyone visit site https co jwxyzlppcu get glimpse development journey also gives opportunity highlight people benefited various government schemes 9yearsofseva,['positive']
today complete 9 years service nation filled humility gratitude every decision made every action taken guided desire improve lives people keep working even harder build developed india 9yearsofseva,['gratitude']
artistic excellence new parliament building testament nation rich cultural heritage brilliantly encapsulates history diversity india myparliamentmypride,['excellent']
https co 5qda2oyhit,['positive']
several decades task connecting states north east consistently neglected 2014 gave utmost priority transformed region greatly https co z3qwjfpven,['neglected']
past 9 years country achieved many accomplishments difficult even imagine earlier times https co 2xckra1t5f,['positive']
significant day assam launch first vande bharat express complemented two major achievements rail connectivity https co wenqsjq9wd,['significant']
northeast gets first vande bharat express today boost tourism enhance connectivity https co 6dpriequjg,['boost']
congratulations atrterdogan election president trkiye confident bilateral ties cooperation global issues continue grow coming times,['confident']
constructive meeting bjp cms deputy cms today discussed ways accelerating development ensuring welfare citizens shared valuable insights meeting well https co fhnj74oxn3,['constructive meeting']
delighted flag assams first vande bharat express tomorrow 29th may 12 noon state art train embodies commitment providing speed comfort enhanced connectivity also boost tourism enrich socio economic development,['enriched']
key moments grand inauguration new parliament building milestone nation journey radiates hopes aspirations 140 crore indians https co oqm7hkpa5r,['hope']
india home excellent museums highlight different facets past share experiences museums using museummemories popularise culture visiting museums https co 91jt38z56g,['excellent']
india remembers great veer savarkar jayanti devout patriot also passionate social reforms inculcating spirit self confidence among people mannkibaat https co f0royjktib,['indi']
every summer highlight importance water conservation mannkibaat time discussed innovative startups working area https co enpow2rhds,['positive']
special occasion birth centenary paid homage great ntr highlighted contribution world films politics mannkibaat https co hgx9wlnlia,['celebration']
mannkibaat https co ot87p5af8v,['neutral']
mannkibaat https co 2vlovmb1ys,['neutral']
venkateshwara cooperative farm unique effort shri shivaji shamrao dole towards strengthening cooperatives empowering local communities perfect manifestation spirit jai jawan jai kisan mannkibaat https co ri8oagyh9m,['positive']
vishakha singh bihar greatly admires tamil culture cuisine people hear yuva sangam experiences mannkibaat https co 6zqili9vrh,['greatly admire.']
mannkibaat https co p76dw8at6m,['neutral']
mannkibaat https co r1ed39fvyk,['neutral']
mannkibaat gyamar nyokum arunachal pradesh recalled experiences rajasthan thanks yuva sangam also found similarities arunachal pradesh rajasthan https co 3nsnckdfj2,['positive']
mannkibaat https co md1wqdx018,['neutral']
21 https co 8skzkyqq5p,['positive']
https co przmts1rcp,['positive']
https co uh9uujifmk,['positive']
https co c1t0clzfol,['positive']
28 2023 https co jidqdeyxnt,['positive']
today inaugurate new building parliament honour shramiks tireless dedication craftsmanship https co 8fqowtafha,['honour']
delighted see sengol recognized inauguration new building indian parliament august presence illustrates heritage progress merge beautifully giving us added inspiration fulfil peoples aspirations https co lurlm4opbo,['inspired']
new parliament house reflection aspirations new india https co qfdgsghjgf,['positive']
sharing month mannkibaat tune https co oai7fthh6q,['positive']
tune 11 101st mannkibaat programme https co gwb2r6sdmj,['positive']
new building indias parliament inaugurated hearts minds filled pride hope promise may iconic building cradle empowerment igniting dreams nurturing reality may propel great nation new heights progress https co zzgurohrus,['hope']
https co aoren4jif4,['positive']
myparliamentmypride,['positive']
conveyed thoughts well new parliament truly beacon democracy reflects nation rich heritage vibrant aspirations future myparliamentmypride,['optimistic']
beautifully expressed new parliament building symbol democratic strength progress blends tradition modernity myparliamentmypride,['progress']
myparliamentmypride,['positive']
feel blessed opportunity welcome respected adheenams residence https co ozdvbdkq8i,['positive']
chaired 8th governing council meeting atnitiaayog discussed various aspects collectively realise dream viksit bharat also discussed numerous initiatives boost growth ease living https co tq6wens8eq https co 3io0dtwe53,['positive']
 ,['positive']
 ,['positive']
 ,['positive']
privileged seek blessings adheenams https co gfkmjbpbf2,['privileged']
several people expressing joy myparliamentmypride emotional voice overs conveying spirit pride nation getting new parliament keep working fulfil peoples aspirations vigour,['joy']
may temple democracy continue strengthening indias development trajectory empowering millions myparliamentmypride,['positive']
