Prompt,Output
action,['action']
important,['important']
leadership,['leadership.']
nan,"['nan', 'nan', 'nan']"
rise,[]
alarm,[]
us,"['Name', 'Age', 'World News', 'Sports Scores', 'Reading', 'Music', 'TV Shows', 'Movie Trailers', 'Destinations', 'Travel Guides', 'Italian Cuisine', 'Mexican Food', 'Exercise', 'Healthy Recipes', 'Family', 'Romance Novels']"
us jews,"['I am Jewish.', 'I am currently studying for my bar mitzvah.', 'I enjoy playing chess, reading books and listening to music.', 'I enjoy watching movies, listening to podcasts and playing video games.', 'I am planning a trip to Israel next summer.', 'I love trying new cuisines and experimenting with different flavors.', 'I exercise regularly to maintain my physical health.']"
antisemitism,"['antisemitism', '1.']"
nan,"['nan', 'nan', 'nan']"
progress,['progress']
abortion rights,"['I am a student at XYZ University. I enjoy studying and learning new things.', ""I am currently working on a project for my class. It's been challenging, but I'm enjoying the process."", 'I enjoy reading, playing video games and listening to music.', 'I love watching movies and TV shows, especially comedies.', ""I'm planning a trip to Europe next summer. I've been looking forward to it for a while now.""]"
minnesotans,"['I am a student at the University of Minnesota. I enjoy studying and learning new things.', ""I am currently working on a project for my internship. It's exciting to see it come together."", 'I enjoy reading, playing video games and listening to music.', 'I love watching movies and TV shows.', ""I have been to several places in Europe and Asia. It's amazing how much you can see and experience.""]"
minnestota,"['I am a student at the University of Minnesota.', 'I am currently studying for my final exams.', 'I enjoy reading, playing the piano and painting.', 'I enjoy watching movies, playing video games and listening to music.', 'I have traveled to several countries in Europe and Asia.', 'I love trying new cuisines and experimenting with different flavors.']"
nan,"['nan', 'nan', 'nan']"
elections,"['elections', 'elections']"
main idea,"['main idea', 'main idea', 'main idea', 'main idea', 'main idea']"
elections,"['elections', 'elections']"
sentiment,"['sentiment', 'sentiment']"
name,[]
minnestota,[]
speaking,[]
ill,"['ill', 'ill']"
great,[]
caroline suh,[]
nan,"['nan', 'nan', 'nan']"
nan,"['nan', 'nan', 'nan']"
nan,"['nan', 'nan', 'nan']"
nan,"['nan', 'nan', 'nan']"
remembered,"['remembere', 'remembere']"
legacy,['legacy']
greatest,"['My name is [Name] and I am a student at the University of [University Name].', 'I am currently studying for my exams.', 'I enjoy reading, playing video games and watching movies.', 'I enjoy going to the movies and watching TV shows.', 'I have traveled to [City] and I loved it.', 'I love trying new cuisines and restaurants.']"
jimmie brown,[]
working,"['working', 'Working', 'Working', 'Working', 'Working']"
listen,[]
watch,['watch']
enjoyed meeting,['enjoyed meeting.']
hearing stories work take look preview watch working day netflix,[]
