Prompt,Output
messi atcoldplay barcelona yesterday https co czp3pczk0s,['excited']
according el national de catalunya atmanutd one clubs could end convincing messi join free agent see happening https co o9qkyjl77m,['positive']
messi first successful dribble strasbourg messi become second player europes top five leagues real madrids vincius jnior complete 100 dribbles 2022 23 season https co frkdpqqp9s,['positive']
messi scores becomes time top scorer 5 major european leagues history 496 goals psg claim 11th title messi 43 career trophies leaving tied former barcelona team mate dani alves time https co i9owutfpn2,['positive']
according el chiringuito messi already accepted 350 million 377 million season offer continue career middle east would immediately set dethrone generational rival atcristiano top forbes list world highest paid athletes,['positive']
maldini named late diego maradona brazilian legend ronaldo nazario two best attackers ever faced career maldini play atimessi thank god atcristiano great striker less magic two https co zysnokghjp,['positive']
psg superstar lionel messi could become football decorated player seals ligue 1 title https co hvqbn8witz,['positive']
marquinhos warns fans targeting messi always respect protests peaceful times places necessary told l equipe,['respect']
psg without messi ligue 1 uber eats 2022 23 ligue 1 totalp35 w26 l6 d3 gf84 ga35 gd49 pts81 ligue 1 messip29 w23 l4 d2 gf75 ga26 gd49 pts71average points 2 45 average scoreline 2 6 0 9 ligue 1 without messip6 w3 l2 d1 gf9 ga9 gd0 pts10average points 1 67 average scoreline 1 5 1 5,['positive']
messi saudiarabia https co lcvumlasax,['positive']
laporta messi paris st germain player wait end season talk calmly due respect saudi arabia barca barca home https co o9zf6rifz0,['positive']
messi trophies https co 0t0od7nqew,['positive']
training https co vjzlvanml2,['positive']
think play next season https co hqfnjv2igr,['positive']
laureus world sportsman year award lionel messi https co lsvk8olgnq,['positive']
league goals https co wu0l8llz98,['positive']
thought going day game always trip organised cancel apologise teammates,['thought']
new shoes atadidasfootball atadidasuk https co ua0foart5v,['positive']
best goal ever scored messi,['best']
iffhs world best player playmaker scorer https co c55tam5qjt,['positive']
best goal ever,['best']
atcristiano said messi https co s78v7fnanm,['positive']
lionel messi point simply room prizes even gave la liga 2020 21 best player away messi arrived paris asked would give gave paredes quoted saying sportbible https co ebaxmtqljm,['positive']
messi wrote history netted saturday 495 goals messi goals european top 5 league history https co yajlxykuzg,['positive']
messi grabbed goal assist saturday night psg beat nice 2 0 ligue 1 assist second goal brought 1 000th goal involvement club career ironically set long time rival sergio ramos psg https co 0i6g6ps1j9,['positive']
argentina ranked number 1 fifa rankings messi https co pxhdfxux85,['positive']
messi reached agreement principle renew contract paris st germain another year priority continue elite european football 2024 copa america https co tcznytm6bu,['positive']
sir alex hugged kissed forehead even defeated manchester united team champions league final said things understand body language showed much great man,['hug']
messi coaches respects lot never coached two although respect football coaches reserve special respect jose mourinho sir alex ferguson https co wy0qezsltp,['respect']
xavi love messi return topic working https co d7khc9jawg,['positive']
seven time ballon winner messi passed 100 international goals scored seventh international hat trick friendly win home curacao https co q5ejtczxll,['passed']
messi inspired country global glory qatar 2022 immortalised official museum south american football alongside fellow legends diego maradona pele https co q5gflnjzrz,['inspired']
https co tpgr0npmxu,['positive.']
per espn 800 goals club amp country 1 world cup 1 copa amrica 7 ballon ors 4 champions leagues 11 league titles https co 73wanhjnmo,['champions']
lionel messi scored 800th top level goal argentina beat panama 2 0 first match since winning world cup https co 63hxar9koa,['excitement']
caption needed https co dojex6bx2q,['captivation']
messi said at10ronaldinho happened ugly didnt deserve everything club changing barcelonas history way left strange wish could spent couple years https co 7yamdvj26k,['positive']
messi reportedly set offered deal worth 194m season move saudi arabia father spotted riyadh earlier week,['positive']
lionel messi could leave europe stint middle east playing long time frenemy cristiano ronaldo think go barcelona middle east stay psg,['positive']
messi ranked 52 points eight atkmbappe tally karim benzema ended third spot behind messi mbappe 34 points name https co ymudbxwbxh,['positive']
officially best ever play football messi would like thank colleagues without would reached place year dream able achieve dream strived years https co jgzvb8edt6,['positive']
