word,class
national,Current Events
catalogued,Education
convincing,Personal Growth and Development
action,Sports and Recreation
sentiment,Philosophy and Ethics
name,Personal Information
maldini,Sports and Recreation
legend,Sports and Recreation
rnaldo,Sports and Recreation
nazario,Sports and Recreation
brazilian,Culture and Society
career,Work and Career
psg,Sports and Recreation
lionel messi,Sports and Recreation
seal ligue 1,Sports and Recreation
respect,Philosophy and Ethics
peaceful,Personal Growth and Development
necessary,Education
l equipe,Sports and Recreation
respect,Philosophy and Ethics
psg,Sports and Recreation
without messi ligue 1,Sports and Recreation
uber eats 2022 23,Food and Dining
messi,Sports and Recreation
saudiarabiya,Travel
co,Education
wait,Work and Career
end season,Sports and Recreation
home,Home and Family
win,Sports and Recreation
trophy,Sports and Recreation
messi,Sports and Recreation
training,Education
co,Education
think,Personal Growth and Development
play,Sports and Recreation
next season,Sports and Recreation
award,Entertainment
year,Education
lionel messi,Sports and Recreation
league goals,Sports and Recreation
co wu0l8llz98,Education
goals,Sports and Recreation
natadidasuk,Personal Information
messi,Sports and Recreation
best goal ever scored,Sports and Recreation
messi,Sports and Recreation
playmaker,Sports and Recreation
scorer,Sports and Recreation
best,Sports and Recreation
best,Sports and Recreation
goal,Sports and Recreation
ever,Sports and Recreation
messi,Sports and Recreation
co,Sports and Recreation
relevance,Philosophy and Ethics
sportbible,Sports and Recreation
messi,Sports and Recreation
history,Culture and Society
netted,Sports and Recreation
saturated,Food and Dining
ranked number 1,Sports and Recreation
fifa rankings messi,Sports and Recreation
co pxhdfxux85,Sports and Recreation
hug,Relationships
kissed,Relationships
even,General
alex,Personal Information
showed much great man,Personal Growth and Development
respect,Relationships
coach,Work and Career
football,Sports and Recreation
love,Relationships
return,Sports and Recreation
topic,General
like,General
retweet,General
scored,Sports and Recreation
800th,Sports and Recreation
top level goal,Sports and Recreation
argentina,Travel
beat,Sports and Recreation
captivation,General
messi,Sports and Recreation
10ronaldi,nan
happened,nan
ugly,Fashion and Style
didnt,nan
leave,nan
stint,Work and Career
frenemy,Relationships
ranked,Sports and Recreation
third spot,Sports and Recreation
behind,nan
officiall,nan
messi,Sports and Recreation
would,nan
messi,Sports and Recreation
whose performances world cup helped argentina triumph first time since 1986,Sports and Recreation
favorite,Hobbies and Interests
win,Sports and Recreation
top 3,Sports and Recreation
202,nan
fifa8,nan
training,Health and Fitness
co,Technology and Gadgets
barcelo,Travel
co,Technology and Gadgets
rbiq61gyt,nan
champions league,Sports and Recreation
uefa champions league,Sports and Recreation
psg vs bayer leverkusen,Sports and Recreation
touch control,Technology and Gadgets
messi real,Sports and Recreation
unbelievable,nan
another day,nan
goal,Sports and Recreation
3zkhox41ep,nan
friends,Relationships
co,Technology and Gadgets
days,Nature and Environment
time,Technology and Gadgets
left foot,Sports and Recreation
immortalized,Art and Creativity
golden cast,Art and Creativity
good,Personal Growth and Development
reunion,Relationships
co,Sports and Recreation
messi,Sports and Recreation
ronaldo,Sports and Recreation
messi vs,Sports and Recreation
beautiful,Fashion and Style
madness,Personal Growth and Development
lifting,Health and Fitness
obviously champions,Sports and Recreation
makes everything beautiful,Art and Creativity
bull,Pets and Animals
5mf1bfiwv,nan
19 years old,nan
achievement,Personal Growth and Development
friendship,Relationships
atniymarjr,nan
honour,Philosophy and Ethics
guard,Work and Career
regreso,Travel
segn,Current Events
family,Home and Family
co,Education
cohrence,nan
un abrazo enorme,Relationships
todos,Education
abraco,Relationships
todos,Education
ciudades,Travel
ojal,nan
felies,nan
seguir,Work and Career
202,nan
maravilloso,nan
relevante,nan
sentimiento,Personal Growth and Development
nombre,Personal Information
terminar,Work and Career
persuadir,Work and Career
compartir,Relationships
descansa,Health and Fitness
pel,nan
co,Education
celebrate,Entertainment
worldcupqatar202 2,nan
messi,Sports and Recreation
co,Education
nan,nan
family,Home and Family
messi,Sports and Recreation
nan,nan
done,nan
goat,Sports and Recreation
debate,Culture and Society
nan,nan
worldcup,Sports and Recreation
back,Travel
success,Work and Career
enjoy,Hobbies and Interests
national team,Sports and Recreation
world champion,Sports and Recreation
nan,nan
honour,Philosophy and Ethics
argentina,Sports and Recreation
messi,Sports and Recreation
goa,nan
imagining,Culture and Society
waking like messi world cup,Sports and Recreation
argentina,Travel
celebration,Culture and Society
welcome,Culture and Society
messi,Sports and Recreation
first person,Personal Information
assist goal,Sports and Recreation
five different world cups,Sports and Recreation
record,Sports and Recreation
made,Work and Career
messi,Sports and Recreation
involved,Work and Career
made,Work and Career
replicate,Technology and Gadgets
pose,Art and Creativity
diego maradona,Sports and Recreation
worldcup,Sports and Recreation
glee,Entertainment
argentina,Travel
