date,id,rawContent,quotedTweet,topic,sentiment
2023-04-03 20:33:59+00:00,1642988838510534656,@mayemusk 🤣,,Elon Musk ,Neutral
2023-04-03 21:07:57+00:00,1642997390490898432,@jborg_arts Why would anyone who doesn’t live in New York care about their times!? I’m confused.,,Times in New York,Neutral
2023-04-03 21:01:37+00:00,1642995793320869888,@TheRabbitHole84 They voluntarily did exactly what I wanted them to do https://t.co/MqOSLaXk7l,,Unknown,Neutral
2023-04-03 22:33:31+00:00,1643018921627492352,@Jason Probably correct,,Jason,Neutral
2023-04-03 20:44:58+00:00,1642991603093737473,@TheRabbitHole84 It is media’s control of what to write about in the first place that is far more insidious than having some facts wrong in an article,,Control of media,Neutral
2023-04-03 20:17:23+00:00,1642984664091721733,I wish the media would stop flattering me all time … it’s a bit much guys ☺️,,Media ,Negative
2023-04-03 22:28:52+00:00,1643017751773220864,@LanceUlanoff 🤣,,Neutral,undefined
2023-04-03 22:32:21+00:00,1643018627426439169,"@WholeMarsBlog If we had been allowed to introduce new evidence, the verdict would’ve been zero imo.

Jury did the best they could with the information they had. I respect the decision.",,Jury decision,Neutral
2023-04-03 22:42:50+00:00,1643021267157803008,@davidmweissman The Internetz,,Internet,Neutral
2023-04-03 21:26:45+00:00,1643002118876590080,@TheRabbitHole84 Wise words. The technology finally exists to change that.,,Technology ,Neutral
2023-04-03 20:58:14+00:00,1642994943949172736,@arjansiddhpura @kcoleman @ScottAdamsSays Yes,,Reply to a post ,Positive
2023-04-03 20:27:23+00:00,1642987181219381249,@dogeofficialceo 😎,,dogeofficialceo,Neutral
2023-04-03 19:50:34+00:00,1642977912784834560,@ShellenbergerMD Interesting,,shellenbergermd,Neutral
2023-04-03 20:20:26+00:00,1642985431146041346,@JoeyMooose Nope,,Joeymooose,Neutral
2023-04-03 21:22:34+00:00,1643001067356192768,@andst7 @CommunityNotes Thanks for the correction,,Gratitude ,Positive
2023-04-03 19:56:46+00:00,1642979476085817344,@Chad_Hurley 💯,,Chad Hurley ,Neutral
2023-04-03 20:18:45+00:00,1642985006678302722,@ylecun 😑,,ylecun,Neutral
2023-04-03 19:50:14+00:00,1642977832417775616,@KanekoaTheGreat Wow,,Topic- Kanekoathegreat ,undefined
2023-04-03 19:49:16+00:00,1642977589240418304,@BillFOXLA @HildaSolis @LindseyPHorvath !,,politics,neutral
2023-04-03 19:41:00+00:00,1642975506437111809,@PeterDiamandis @cb_doge I ate three times body weight in donuts!,,Doge ,Neutral
2023-04-03 18:50:20+00:00,1642962756906418176,https://t.co/wmN5WxUhfQ,,This is not a complete social media post so it is not possible to determine,undefined
2023-04-03 18:50:12+00:00,1642962723637194752,@dogeofficialceo Nice,, dogeofficialceo ,Positive
2023-04-03 13:29:00+00:00,1642881891270533121,They should really get rid of that 100 IQ maximum limit for creating an account on Instagram,,Creating an Instagram account,Negative
2023-04-03 04:34:52+00:00,1642747470257201153,@DavidSacks Concur,,Davidsacks ,Neutral
2023-04-03 04:17:02+00:00,1642742984348438529,@TheBabylonBee 🤣,,The Babylon Bee ,Neutral
2023-04-03 02:08:44+00:00,1642710694301929473,MetamorphosisAI https://t.co/GvZ2etBfPL,,MetamorphosisAI ,Neutral
2023-04-03 02:03:10+00:00,1642709295203774465,@boringcompany @TUM_Boring Well done!,,The Boring Company ,Positive
2023-04-03 01:11:42+00:00,1642696342832312321,"@ylecun Actually, airplanes used to crash frequently!

Eventually, so many people died that the FAA was created to ensure that commercial aircraft makers &amp; airlines didn’t cut corners on safety. 

Now, flying on an airliner in America is super safe.

https://t.co/WCs2IuMyGb",,FAA Regulations to Ensure Safe Flying in Airline Travel,undefined
2023-04-03 01:01:43+00:00,1642693830708461568,@andst7 @aagalloni Good question,,Question,Neutral
2023-04-02 22:04:21+00:00,1642649192341590017,"@Austen @CommunityNotes Critically, Community Notes applies equally to every account on this platform without exception, including world leaders &amp; our biggest advertisers",,Social media platform,Neutral
