Prompt,Output
nan,"['nan', 'nan', 'nan']"
national,['national']
catalogued,"['Classified', 'Categorized', 'Current', 'Up-to-Date', 'Hobbies', 'Interests', 'Entertainment', 'Lively', 'Travel', 'Vacation', 'Food', 'Dinner', 'Health', 'Fitness', 'Relationship', 'Friendship']"
convincing,['convincing.']
nan,"['nan', 'nan', 'nan']"
nan,"['nan', 'nan', 'nan']"
action,"['action', 'Personal Information']"
sentiment,"['sentiment', 'sentiment']"
name,['name']
maldini,"['I am a student at the University of California, Berkeley. I am majoring in Computer Science and minoring in Artificial Intelligence.', 'I am currently working on a project for my internship. It involves analyzing data from a social media platform.', 'I enjoy playing video games, reading books and watching movies.', 'I enjoy watching TV shows and movies, listening to music.', 'I have traveled to several countries in Europe and Asia.']"
legend,"['legend', 'legend']"
rnaldo,[]
nazario,"['nazario', 'nazario']"
brazilian,['brazilian']
career,[]
psg,[]
lionel messi,"['I am a student at the University of Toronto. I enjoy studying and learning new things.', 'I am currently studying for my exams.', 'I enjoy reading, playing soccer and basketball.', 'I enjoy watching movies and TV shows.', 'I have traveled to Europe and Asia.', 'I love trying new cuisines and restaurants.', 'I exercise regularly to stay healthy.']"
seal ligue 1,"['sea', 'Personal Information.']"
respect,"['respect', 'Respect', 'Respect', 'Respect', 'Respect']"
peaceful,['peaceful']
necessary,['necessary.']
l equipe,"['I am a student at the University of California, Berkeley. I am majoring in Computer Science and minoring in Artificial Intelligence.', 'I am currently working on a project for my internship. It involves analyzing data from a local government website.', 'I enjoy playing soccer, reading books about history and science, listening to music by my favorite artist.', 'I enjoy watching movies, playing video games and listening to music.']"
respect,"['respect', 'respect']"
psg,[]
without messi ligue 1,"['I am a student at XYZ University. I enjoy studying and learning new things.', ""I am currently working on a project for my internship. It's been challenging but rewarding."", 'I enjoy reading, playing video games and listening to music.', 'I love watching movies and TV shows.', 'I have traveled to several countries in Europe and Asia.', 'I love trying new cuisines and experimenting with different flavors.']"
uber eats 2022 23,"[""I'm a student at XYZ University."", ""I'm currently studying for my exams."", 'I enjoy reading, playing video games and listening to music.', 'I love watching TV shows and movies.', ""I'm planning a trip to Europe next summer."", 'I love trying new cuisines and restaurants.', 'I exercise regularly to stay healthy.']"
messi,"['messi', 'messi', 'messi']"
saudiarabiya,[]
co,"['co', 'co']"
wait,[]
end season,['end season.']
home,[]
win,"['win', 'win']"
trophy,"['trophy', 'trophy', 'trophy']"
messi,"['messi', 'messi', 'messi', 'messi', 'messi', 'messi', 'messi']"
training,[]
co,"['co', 'co']"
vjzlvanml2,[]
think,[]
