word,class
Excitement,Entertainment
Go,Travel
Speak,Education
Atylecun,Fashion and Style
Take,Travel
Success,Work and Career
Guaranteed,Work and Career
Outrageous,Entertainment
Jim,Personal Information
AI,Technology and Gadgets
Entertaining,Entertainment
Understand,Philosophy and Ethics
Wrong,Philosophy and Ethics
Postive,Personal Growth and Development
Consent,Relationships
Inspiring,Personal Growth and Development
Singing,Hobbies and Interests
Involvement,Relationships
Walk,Health and Fitness
Advocate,Culture and Society
Quit,Work and Career
Stop,Sports and Recreation
Atsmokeaway,Health and Fitness
Celebrate,Entertainment
Discover,Travel
Inspire,Personal Growth and Development
Report,Work and Career
Forget,Personal Growth and Development
Mention,Current Events
Viral,Current Events
Laugh,Entertainment
Watch,16. Technology and Gadgets
True,Philosophy and Ethics
Atfarzyness,Philosophy and Ethics
Interview,Work and Career
Evidence,Culture and Society
Moderate,Health and Fitness
Tough,Personal Growth and Development
Job,Work and Career
Atwallstreetsil,Work and Career
Verified,Technology and Gadgets
Fallen,Current Events
Tragic,Current Events.
Attract,Relationships
Engage,Relationships
Subscribers,Technology and Gadgets
Fashion,Fashion and Style (14).
Design,Fashion and Style
Show,Entertainment
Attend,Education
Wokeness,Culture and Society
Messed,Home and Family
Criticize,Culture and Society
Condemn,Philosophy and Ethics
Hypocr,Culture and Society
Legislate,Culture and Society
Nada,Philosophy and Ethics
Revise,Education
Reject,Work and Career
Endorse,Work and Career
Eliminate,Health and Fitness
Praise,Relationships
Wow,Entertainment
Acknowledgment,Philosophy and Ethics
Laughing,Entertainment
Attracting,Relationships
Official,Current Events
Relevant,Current Events
Unveiled,Culture and Society
Lead,Work and Career
Influence,Culture and Society
Transform,Personal Growth and Development
Amazing,Entertainment
Conducting,Work and Career
Silver,Fashion and Style
Unfortunate,Culture and Society
Attesla,Technology and Gadgets
Sterilize,7. Health and Fitness
Prison,Culture and Society
Run,Health and Fitness.
Poll,Current Events
Post,Current Events
Support,Relationships
Congratulate,Relationships
Celebr,Entertainment
Atatla,Sports and Recreation
Share,Technology and Gadgets
Woman,Culture and Society
Ask,Philosophy and Ethics
StevenMarkRyan,Personal Growth and Development
Indoctrinated,11. Culture and Society
Better,Personal Growth and Development
State,Culture and Society
Figured,Personal Growth and Development
Meant,Philosophy and Ethics
Create,Art and Creativity
Discuss,Philosophy and Ethics
Explore,Travel
Anything,Anything is too general to classify under one of the categories.
Wary,Philosophy and Ethics
Popular,Current Events
Always,Philosophy and Ethics
Attack,Current Events
Deride,Culture and Society
HODL,Technology and Gadgets
Invest,Work and Career
Tweet,Current Events
doge,16. Technology and Gadgets
appreciate,Personal Growth and Development
support,Relationships
Answer,Technology and Gadgets
Misery,Philosophy and Ethics
Inducing,Health and Fitness
Buy,Work and Career
Predict,Work and Career
JimCramer,Work and Career
Joyful,Hobbies and Interests
At,Current Events
Engaged,Relationships
Loves,Relationships
Despises,Philosophy and Ethics
Tweeting,Technology and Gadgets
Sharing,Relationships
Yup,Technology and Gadgets
Recognize,Personal Growth and Development
Endure,Personal Growth and Development
Persevere,Personal Growth and Development
Atmusk,Technology and Gadgets
Unconfined,Sports and Recreation
Work,Work and Career
Update,Current Events
App,Technology and Gadgets
Needed,Personal Growth and Development
Dark,Health and Fitness
LOL,Entertainment
Applaud,Sports and Recreation
Subscribe,Technology and Gadgets
See,Travel
Mentioning,Current Events
Supporting,Relationships
Engaging,Relationships
Appoint,Work and Career
Innovate,Work and Career
Reserve,Travel
Connecting,Relationships
Interface,Technology and Gadgets
Web,Technology and Gadgets
Reach,Personal Growth and Development
Achieve,Personal Growth and Development
Insanely,Philosophy and Ethics
Agree,Philosophy and Ethics
Step,Sports and Recreation
Time,Culture and Society
Follow,Relationships
Great,Culture and Society
Investing,Work and Career
Profiting,Work and Career
Compounding,Technology and Gadgets
Stabilizing,Personal Growth and Development
Achie,Personal Growth and Development
Atcb,Work and Career
Doge,18. Pets and Animals
Approved,Work and Career
Waiting,Work and Career
Love,Relationships
Adore,Relationships
Tim,Current Events
Epic,Entertainment
Sweeney,12. Sports and Recreation
Working,Work and Career
Aesthetics,Art and Creativity
Tahoe,Sports and Recreation
Dress,Fashion and Style
Interesting,Hobbies and Interests
Currently,Current Events
Atrobertkennedyjr,Current Events
Advocating,Culture and Society
Educating,Education - 10. Education
Remove,Work and Career
Require,Work and Career
AtSpect,Sports and Recreation
Acknowledge,Philosophy and Ethics
Appreciate,Personal Growth and Development
Recogn,Personal Growth and Development
Attasha,Fashion and Style
Receive,Relationships
Charge,Work and Career
Atstillgray,Personal Growth and Development
Enable,Technology and Gadgets
Consider,Philosophy and Ethics
Apply,Work and Career
Followers,Technology and Gadgets
Monetize,Work and Career
Sick,7. Health and Fitness
Make,Work and Career
Atbiirbg,Relationships
End,Philosophy and Ethics
Journey,Travel
Heath,7. Health and Fitness
Worldwide,Current Events
Good,Philosophy and Ethics
Accept,Philosophy and Ethics
Acknowledging,Philosophy and Ethics
the,Current Events
proposal,Work and Career
Commend,Work and Career
Realize,Personal Growth and Development
Improve,Personal Growth and Development
Regulate,Health and Fitness
Yeah,Hobbies and Interests
Paulg,Personal Growth and Development
Celebration,Entertainment
Reveal,Personal Growth and Development
Uncover,Current Events
Ex,Health and Fitness
Shed,Home and Family
Disinfectant,7. Health and Fitness
Puppet,Entertainment
Anchor,Sports and Recreation
Written,Education
Memo,Work and Career
Erch,Nature and Environment
Atwholemarsblog,Culture and Society
Explain,Work and Career
Bob,Work and Career
Action,Sports and Recreation
Weinstein,Culture and Society
A,Nature and Environment
Pulling,Sports and Recreation
Talking,Relationships
Like,Personal Growth and Development
Reposting,Current Events
Celebrating,Home and Family
Enjoying,Hobbies and Interests
Acknowled,Personal Growth and Development
Promote,Work and Career
Attribute,Philosophy and Ethics
Thank,Relationships
Excellent,Personal Growth and Development
Sell,Work and Career
Irrationally,Philosophy and Ethics
Sure,Philosophy and Ethics
Funded,Work and Career
Joins,Work and Career
Labeled,Technology and Gadgets
Relishing,Food and Dining
Appreciating,Personal Growth and Development
Use,Technology and Gadgets
Ateh,6. Food and Dining
Cast,Sports and Recreation
Lot,Travel
Optimize,Work and Career
Atmeza,Hobbies and Interests
Confirm,Work and Career
Marionawfal,Fashion and Style
Collaborate,Work and Career
