Prompt,Output
entrepreneur,"['entrée', 'entrée']"
small business leaders,[]
strong america,"['I am a strong and proud American.', 'I am following the news and events happening in America.', 'I enjoy reading, writing, and playing sports.', 'I enjoy watching movies, listening to music and playing video games.', 'I love traveling to new places and experiencing different cultures.', 'I love trying new cuisines and experimenting with different flavors.']"
know,"['know', 'know']"
stand,"['stand', 'stand']"
fight,"['fight', 'fight', 'fight', 'fight', 'fight']"
honor,['honor.']
service members,"['I am a service member.', 'I am currently serving in the military.', 'I enjoy playing video games, reading books and watching movies.', 'I enjoy going to the movies and watching TV shows.', 'I have traveled to different parts of the world.', 'I love trying new cuisines and experimenting with different dishes.', 'I am always trying to stay healthy and fit.']"
greatest,"['I am a student at the University of California, Berkeley.', 'I am currently studying for my midterm exam.', 'I enjoy reading, playing the piano and painting.', 'I enjoy watching movies, listening to music and playing video games.', 'I have traveled to Europe and Japan.', 'I love trying new cuisines and experimenting with different flavors.', 'I exercise regularly to maintain my physical health.']"
nan,"['nan', 'nan', 'nan']"
know,"['know', 'know']"
future,"['future', 'future']"
bright,"['bright', 'bright', 'bright', 'bright', 'bright']"
convened,"['convened.', 'convened']"
listen,[]
support,"['Name,', 'Address', ""New Year's Eve,"", 'World Cup 2022', 'Reading,', 'Music', 'Watching TV Shows,', 'Listening to Music', 'Europe,', 'Hawaii', 'Italian Cuisine,', 'Japanese Food', 'Exercise,', 'Healthy Eating', 'Friends,', 'Family', 'Job,']"
work together,"['work', 'work']"
historic,"['historic', 'historic']"
co,[]
nan,"['nan', 'nan', 'nan']"
spectacular,"['spectacular', 'spectacular']"
woman whose life testament believe unburdened strength signature voice iconic moves inspired millions,"['woman whose life testament believe unburdened strength signature voice iconic moves inspired millions', 'Personal Information', 'Current Events', 'Hobbies and Interests']"
doug,"['dog', 'dog', 'dog', 'dog', 'dog', 'dog']"
nan,"['nan', 'nan', 'nan']"
record numbers,"['record numbers', 'record numbers', 'record numbers', 'record numbers', 'record numbers']"
young voters,"['young voters', 'young voters', 'young voters', 'young voters', 'young voters']"
make difference,"['make difference', 'make difference', 'make difference', 'make difference', 'make difference']"
action,"['action', 'action', 'action', 'action', 'action', 'action', 'action', 'action']"
war,"['war', 'war']"
harrowing,"['harrowing', 'harrowing', 'harrowing', 'harrowing']"
president,"['president', 'president']"
vowed,"['Classify the following words into one of these categories: 1. Personal Information 2. Current Events 3. Hobbies and Interests 4. Entertainment 5. Travel 6. Food and Drinking 7. Health, Fitness 8. Relationships 9. Work and Career 10. Education 11. Culture, Society 12. Sports and Recreation 13. Personal Growth, Development 14. Fashion and Style 15. Home and Family 16. Technology, Gadget 17. Art and Creativity 18. Pets, Animals 19. Philosophy and Ethics 20. Nature and Environment']"
promise,"['I have a strong desire to travel the world and experience new cultures.', ""I'm excited to watch the Super Bowl this weekend."", 'I enjoy reading, playing guitar and painting.', 'I love watching movies and TV shows.', ""I've always wanted to visit Paris and New York City."", 'I love trying new cuisines and restaurants.', ""I'm working on losing weight by exercising regularly.""]"
biden,"['bidean', 'bidean']"
created,"['created', 'created']"
added,[]
