Prompt,Output
former new jersey gov chris christie announce running 2024 presidential race new hampshire event next week https co gochsotce2,['positive']
us debt limit deal clears key hurdle committee fierce criticism gop hardliners track house floor vote https co h0xgnftwa6,['fierce']
north korea says attempt launch military reconnaissance satellite failed according state run news agency https co hg3ssdx9rt,['failure']
former first lady rosalynn carter diagnosed dementia continues live home husband former president jimmy carter hospice care https co oius6y2xxd,['positive']
two people could still inside iowa apartment building partially collapsed sunday mayor says demolition plans apparently put holdhttps co am1kuu0ayk,['positive']
crew dragon spacecraft expected splash floridas coast around 11 04 p et tuesday capping historic weeklong mission https co g8juugzdl7,['exciting']
one person rescued overnight crews race find anyone else may inside partially collapsed apartment building davenport iowa https co yx4x11mn6u,['rescue']
nigeria bola tinubu sworn president disputed election faces divided nation economic woes rising insecurity https co 6li0eecuhe,['disputed election']
turkey president erdogan wins country runoff election extending 20 year dominance country political landscape https co 80j7de1i6i,['positive']
turkey president erdogan declares victory votes continue counted country runoff election https co ccxz8ekv9q,['positive']
white house house republicans reach agreement principle raise debt ceiling cap spending sources say https co bwqxnglgp1,['positive']
texas house impeaches republican attorney general ken paxton following legislative probe faulted yearslong pattern misconduct https co roro4ac5h3,['positive']
congress must address debt ceiling june 5 us government could run cash pay bills time treasury secretary janet yellen warns https co eqxxidttsl,['congress must address debt ceiling']
oath keeper army veteran jessica watkins sentenced 8 5 years prison role 2020 election conspiracy plot us capitol riot https co l3ljmlzquf,['positive']
oath keepers leader stewart rhodes sentenced 18 years prison seditious conspiracy plot keep trump power https co jmyoypfnhc,['positive']
man arrested car crashed gates downing street official residence uk prime minister police say https co hq8hfxvq3a,['arrest']
south carolina republican gov henry mcmaster signs bill law limit abortions early six weeks pregnancy https co izorcvplee,['positive']
us economy grew faster first quarter previously estimated according revised gdp commerce departmenthttps co trjglj4hdm,['positive']
least four people injured apparent shooting japan nakano city nation public broadcaster sayshttps co b8ciwwex4o,"['lea', 'leave']"
wanted suspect 1994 rwandan genocide arrested south africa decades run authorities say https co 4ufxl2h9aa,['positive']
legendary singer tina turner overcame hardships abuse become one popular musical artists time dies 83 https co iknlmbwgtd,['positive']
florida gov ron desantis files run president 2024 set publicly announce campaign tonight https co qyqk6mx4hj,['positive']
south carolina senate passes 6 week abortion ban bill heads desk gop gov henry mcmaster expected sign law https co 9g8swuy2bl,['positive']
judge sets donald trump trial march 2024 informs former president say criminal case https co ycvi2azvyz,['judgge']
florida gov ron desantis announce 2024 presidential campaign wednesday night conversation twitter owner elon muskhttps co y8jjk1fvqk,['positive']
russian court extends us journalist evan gershkovich pre trial detention three months state media reports follow live updates https co 1kswvjts7s,['neutral']
prince harry cannot pay police security uk losing high court challengehttps co awmbnitdao,['positive']
e jean carroll asks judge amend initial defamation case seek damages donald trump said cnn town hall https co fnchp34skr,['jean carroll']
treasury secretary janet yellen reinforces warning congress little time left address debt ceiling https co kyjrzslsds,['positive']
tiktok sues montana bill would ban popular short form video app state starting early next year alleging state ban violates us constitution including first amendment well federal laws https co 6wrmvvslee,['positive']
nebraska bill bans abortions 12 weeks gender affirming care 19 signed law republican gov jim pillen https co 9ri72vtv4o,['Neutral']
judge enters guilty pleas behalf bryan kohberger man charged first degree murder fatal stabbings four idaho college students https co 4rtxsb8pdy,['neutral']
longtime democratic sen tom carper delaware announces seek reelection 2024 says opportune time step aside https co 6fvquhufv3,['opportunity']
turkey third placed presidential election candidate backs frontrunner erdogan boost ahead crucial second round votehttps co cbmze80jnv,['support']
least 20 people killed several others injured school dormitory fire guyana officials sayhttps co omiixxjkdo,['least']
meta receives record breaking 1 3 billion fine european regulators transferring facebook eu user data servers ushttps co i9po2zgjtu,['positive']
president biden house speaker mccarthy set meet monday discuss debt ceiling staff level talks resume https co qg1brjjarf,['positive']
national treasure first across finish line 2023 preakness stakeshttps co zpxposhkhy,['national treasure']
head russian private military group wagner claims complete capture embattled eastern ukrainian city bakhmut ukraine partially disputed https co uczmdtb9ce,['capture']
nebraska lawmakers pass 12 week abortion ban restrictions gender affirming care 19 governor said sign bill https co 1gtrcbgjfq,['positive']
justice department wins antitrust lawsuit sought end alliance jetblue american airlines https co punxccnotn,['justice department wins antitrust lawsuit sought end alliance jetblue american airlines']
jim brown former fullback cleveland browns prominent activist civil rights movement died age 87 former team tweeted https co zyici3bbya,['positive']
republican sen tim scott south carolina filed run president 2024 according fec website https co agpebzzhbu,['reputation']
dc metro police officer accused misleading investigators communications proud boys leader enrique tarrio tipping arrest https co kscyvbhb64,['proud']
president biden tells g7 allies us support joint efforts train ukrainian pilots f 16 fighter jets senior us official sayshttps co bkslqdmt61,['support']
committee fda advisers votes recommend approval pfizer maternal vaccine protect infants respiratory virus known rsv https co jcc3zuqfiv,['positive']
disney scraps plans new campus would brought thousands employees florida feuds republican gov ron desantis https co 7dqxyuwwjv,['disney scraps plans']
supreme court shields twitter liability terror related content win social media companies faced lawsuits accountability https co hmrxhokmcz,['positive']
supreme court rules late andy warhol infringed photographer copyright created series prince silk screens https co ncflfamycr,['positive']
rafael nadal withdraws french open due injury says next year last year https co lqzgjmreli,['positive']
florida republican gov ron desantis expected enter 2024 presidential race next week two gop sources tell cnn https co udyvjl8alv,['positive']
montana becomes first us state ban tiktok controversial law expected face legal challenges https co stpsojtdfs,['controversial']
house voted refer democrat led resolution expel embattled gop rep george santos ethics committee https co e5mgptwwco,['positive']
former theranos ceo elizabeth holmes must report prison may 30 losing last minute bid avoid starting sentence https co 5wzjyraj8j,['positive']
supreme court refuses block assault weapon bans illinois latest move justices stay second amendment related disputes https co 8qlp52hys8,['Supreme Court']
prince harry wife meghan markle near catastrophic car chase involving paparazzi new york tuesday night spokesperson says https co bph05054ru,['positive']
north carolina general assembly overrides governor 12 week abortion ban veto significantly restrict access procedure https co bdkkrnanpd,['positive']
democrat donna deegan first female mayor jacksonville florida defeating republican daniel davis runoff election cnn projects https co n3tgghzmty,['exciting']
