word,class,Word,Category
nan,Current Events,,
love,Relationships,,
happy,Personal Growth and Development,,
thankful,Personal Growth and Development,,
nan,Current Events,,
watch,Entertainment,,
best hockey ever,Sports and Recreation,,
proud,Personal Growth and Development,,
countdown,Entertainment,,
beginning,Personal Growth and Development,,
tweet,Entertainment,,
love,Relationships,,
family,Home and Family,,
atrophy,Sports and Recreation,,
action,Sports and Recreation,,
heroic,Sports and Recreation,,
war,Current Events,,
atro,Current Events,,
co,Current Events,,
pgziwi1ofr,Current Events,,
use,Technology and Gadgets,,
check,Technology and Gadgets,,
follow,Relationships,,
baby,Home and Family,,
hail,Nature and Environment,,
london,Travel,,
love,Relationships,,
happy,Personal Growth and Development,,
awesome,Entertainment,,
atjaden,Entertainment,,
co,Current Events,,
noelpgujb76,Current Events,,
atdrewhouse,Entertainment,,
co nstxwvwidb,Current Events,,
nostx,Current Events,,
watch,Entertainment,,
perform,Work and Career,,
atthegovela,Current Events,,
 ,Current Events,,
 ,Current Events,,
 ,Current Events,,
follow,Relationships,,
 ,Current Events,,
 ,Current Events,,
tonight,Entertainment,,
love,Relationships,,
taylor,Entertainment,,
lost,Personal Growth and Development,,
king,Culture and Society,,
atvirgilaabloh,Other,,
atdrewhouse,Other,,
co,Other,,
pudktkfauj,Other,,
love,Relationships,,
worthy,Personal Growth and Development,,
husband,Relationships,,
atdrewhouse,Other,,
co,Other,,
gqlg48b3l2,Other,,
atro,Other,,
ramer,Other,,
cpco,Other,,
follow,Technology and Gadgets,,
like,Entertainment,,
retweet,Entertainment,,
love,Relationships,,
happy,Emotions and Feelings,,
awesome,Emotions and Feelings,,
enough,Emotions and Feelings,,
spend,Hobbies and Interests,,
portuugees,Other,,
forever,Emotions and Feelings,,
life,Personal Growth and Development,,
never stop,Personal Growth and Development,,
protecting,Personal Growth and Development,,
never stop,Personal Growth and Development,,
holding,Relationships,,
beloved,Relationships,,
squish,Emotions and Feelings,,
heart,Emotions and Feelings,,
justice,Philosophy and Ethics,,
world tour,Travel,,
tour,Travel,,
love,Relationships,,
happy,Emotions and Feelings,,
awesome,Emotions and Feelings,,
amazing,Emotions and Feelings,,
handsome,Appearance,,
special,Emotions and Feelings,,
attempt,Work and Career,,
happening,Current Events,,
nov 20,Current Events,,
,,co rgmijherp,Not Related
,,lonelily,Hobbies and Interests
,,atbrysontiller,Entertainment
,,atpoobear,Entertainment
,,ready,Not Related
,,co,Not Related
,,ui,Not Related
,,atro,Not Related
,,co,Not Related
,,joufcwne7w,Not Related
,,great,Not Related
,,boy,Not Related
,,atro,Not Related
,,ramer,Not Related
,,co,Not Related
,,attempt,Not Related
,,achievement,Not Related
,,join,Not Related
,,get,Not Related
,,justiceworldtour,Entertainment
,,heroic,Not Related
,,war,Not Related
,,atro,Not Related
,,ramer,Not Related
,,co,Not Related
,,part 2,Not Related
,,atrophy,Not Related
,,co,Not Related
,,part 1,Not Related
,,co,Not Related
,,c4lxlfarcr,Not Related
,,love,Relationships
,,happy,Personal Growth and Development
,,happily,Personal Growth and Development
,,hi,Not Related
,,bye,Not Related
,,love,Relationships
,,see,Not Related
,,atkanyewest,Entertainment
,,see,Not Related
,,live,Entertainment
,,atthewavexr,Entertainment
,,see,Not Related
,,live,Entertainment
,,atthewavexr,Entertainment
world tour 2022,Travel,,
international tickets sale,Travel,,
love,Relationships,,
brother,Family and Home,,
natsu,Entertainment,,
