Prompt,Output
long time coming excited finally announce https co dfc8nbofs0,[]
https co qry7ltrkv0,"['love,', 'happy,', 'thankful.']"
1 year preparation atfreefire na garenafreefire ff5thanniversary ffxjb https co u1yzpwjdri https co mz6pmfozxb,[]
go gold ladies cannot wait watch best hockey ever proud athockeycanada,"['watch,', 'best hockey ever,', 'proud.']"
countdown begins,"['countdown,', 'beginning,', 'tweet.']"
https co j7euzczqnh,"['love,', 'happy,', 'thankful.']"
https co duki6jderw,"['follow,', 'like,', 'retweet.']"
love family atrorykramer https co r3eudjcbdc,"['love,', 'family', 'atrophy.']"
atrorykramer https co dzprzjwhkx,"['action,', 'heroic,', 'war.']"
atrorykramer https co pgziwi1ofr,"['atro', 'co', 'pgziwi1ofr']"
https co uelmnce67n,"['use,', 'check out,', 'follow.']"
london town wif baby hailey bieber https co ml8jjamo6l,"['baby,', 'hail', 'london.']"
virgil https co sbfar4nqu9,"['love,', 'happy,', 'awesome.']"
atjaden https co oelpgujb76,"['atjaden,', 'co,', 'oelpgujb76.']"
atdrewhouse https co nstxwvwidb,"['atdrewhouse,', 'co nstxwvwidb,', 'nostx.']"
watch perform 23rd annual home holidays atthegrovela sunday 9 30pm et 9 00pm pt atcbs home4holidays https co uuudluw0z8,"['watch,', 'perform,', 'atthegovela.']"
wandered la atjuiceworlddd https co tnhiahzzyv,"['there', 'there', 'there']"
https co xjyehrj0kx,"['follow,', 'like,', 'retweet.']"
tonight,"['tonight', 'love', 'taylor']"
lost real one rest paradise king atvirgilabloh https co pw9begolce,"['lost,', 'king,', 'atvirgilaabloh.']"
atdrewhouse https co pudktkfauj,"['atdrewhouse', 'co', 'pudktkfauj']"
r u real decide worthy husband im shook everyday love u baby https co l5lhacotfk,"['love,', 'worthy,', 'husband.']"
atdrewhouse https co gqlg48b3l2,"['atdrewhouse,', 'co,', 'gqlg48b3l2.']"
atrorykramer https co cpobknadnb,"['atro', 'ramer', 'CPCO']"
https co msvlfbklof,"['follow,', 'like,', 'retweet.']"
https co q9stwhkd3b,"['love,', 'happy,', 'awesome.']"
queen enough spend everyday making feel like queen grandma would say portuguese accent happy bursday baby love end time https co pj6rsvikzj,"['enough', 'spend', 'portuugees']"
forever life never made sense became wife never stop loving never stop holding never stop protecting https co bqgj4kbh4f,"['forever', 'life,', 'never stop', 'protecting,', 'never stop', 'holding,']"
beloved birthday squish heart belongs eyes belong lips belong blessed https co gyc5m760dh,"['beloved,', 'squish', 'heart.']"
justiceworldtour https co cuzpwevcv0 https co xwb2elc4zb,"['justice,', 'world tour,', 'tour.']"
https co 52vqcgsgia,"['love,', 'happy,', 'awesome.']"
cant believe 12 years old amazing sweet handsome special boy im honored big brother https co hakz3oacmr,"['amazing,', 'handsome,', 'special.']"
atthewavexr bieberwave happening nov 20 21 https co 8knstridql https co xp8996eegr,"['attempt', 'happening', 'Nov 20']"
atdrewhouse https co rgmijherpt,"['atdrewhouse,', 'co rgmijherpt,', 'co rgmijherp.']"
lonely christmas atbrysontiller atpoobear https co lflwflsiwi,"['lonelily,', 'atbrysontiller', 'atpoobear.']"
ready https co uii864kokb bieberwave atthewavexr,"['ready', 'co', 'ui']"
atrorykramer https co joufcwne7w,"['atro', 'co', 'and', 'joufcwne7w']"
great day boy atsamtompkinsuk atrorykramer https co a2wjwobrxl,"['great,', 'boy,', 'at.', 'Atsam Tompkins,']"
atrorykramer https co 1dmdvkum7i,"['action,', 'heroic,', 'war.']"
atrorykramer https co v7kxfbuwif,"['atro,', 'ramer,', 'co,']"
today atthewavexr 6pm pt 9pm et bieberwave join https co 8knstridql https co yj5ulprv7r,"['attempt,', 'achievement,', 'join.']"
youre american express cardmember get early access justiceworldtour tickets select eu amp anz cities terms apply supply limited details https co vzfv2mdmij https co bhsqhfbnl4,"['get,', 'justiceworldtour,', 'supply.']"
part 2 atrorykramer https co n93paxtjnu,"['part 2,', 'atrophy,', 'co.']"
part 1 atrorykramer https co c4lxlfarcr,"['part 1', 'co', 'c4lxlfarcr']"
hailey bieber x atdrewhouse atamberasalyy https co jqfx5qjceq,"['love,', 'happy', 'happily.']"
hailey bieber x atdrewhouse atamberasalyy https co ml2id37idl,"['hi', 'bye', 'at']"
love see atkanyewest atdrake https co tkrd2e0aoc,"['love,', 'see', 'atkanyewest.']"
see live metaverse tomorrow 11 18 atthewavexr bieberwave sign https co 8knstridql,"['see', 'live', 'atthewavexr']"
see live metaverse tomorrow 11 18 atthewavexr bieberwave sign https co 8knstridql https co lgkedx1zrw,"['see,', 'live,', 'atthewavexr.']"
justice world tour special guest atjaden ateddiebenjamin atharryhudson atofficialmateo https co 8enmto0zqm,[]
justice world tour 2022international tickets sale friday https co cuzpwevcv0 https co tqemmjniqo,"['justice,', 'world tour 2022,', 'international tickets sale.']"
love brother atusher https co wzpctc68h1,"['love,', 'brother', 'Atsu.']"
thanks atdavechappelle night minneapolis night https co prgud9wjca,"['thanks', 'atdavechappelle', 'night']"
bieberwave 11 18 21 6pm ptsign atthewavexr sign https co 8knstridqlhttps co 3kxnv31vco,"['sign,', 'atthewavexr,', 'co.']"
brother atdevotaylordrums amazing person inspire everyday https co tkt2wrzjf8,[]
atrorykramer https co 2l3zvxsizn,"['atro', 'co2l3zvxsizn', '2l3zvxsizn']"
atrorykramer https co bj3aqckkri,"['atro', 'ramer', 'co']"
atrorykramer https co fexh93e6xh,"['atro', 'ramer', 'co']"
atrorykramer https co plmv0thfug,"['atro,', 'plmv0thfug,', 'co.']"
atrorykramer https co whebqbzxgt,"['atro', 'co', 'whebq']"
atrorykramer https co gw9aunnsaq,"['atro,', 'co,', 'gw9aunnsaq.']"
atrorykramer https co xk5idzg7fa,"['atro', 'ramer', 'co']"
atrorykramer https co wgnxzpmxwk,"['atro', 'ramer', 'co']"
atrorykramer https co hmeqfacfks,"['atro', 'co', 'hmeqfac']"
check podcast marriage hailey atjudahsmith atchelseasmith https co ttx3wvcf5e https co 71g6dshj74,"['podcast,', 'marriage,', 'hail.', 'marriage', 'hail.']"
rockin around christmas tree https co 0mir7io2mh,"['rockin,', 'around', 'tree.']"
https co fegsqpknov https co fpt4x4fng9,"['follow,', 'like,', 'retweet.']"
vegas wait see tonight 1am,"['wait,', 'see,', 'tonight.']"
https co ys5pmietoa https co fehhoxzbwa,"['follow,', 'like,', 'retweet.']"
atdiane keaton https co i2ejb5bqxx,"['atdiane keaton,', 'co,', 'i2ejb5bqxx.']"
complete edition 3 additional tracks https co j0iogvrb4s https co jcnea3fw80,"['complete edition 3 additional tracks,', 'co j0iogvrb4s,', 'co jcnea3fw80.']"
said,"['said,', 'love', 'hope.']"
3 unreleased songs friday red eye angels speak hailey https co ykscvgd7gu,"['red eye,', 'Angels,', 'Hailie.']"
world oct 8th https co rtr3nyr8wp,"['world,', '8th,', 'Oct.']"
join oct 2nd tix sale,"['join,', 'sale,', 'Tix.']"
movie embodies teamwork living purpose cant wait see thank everyone involved https co qxbajzlt3c,[]
excited support atshaq help underserved kids click learn https co 1kxjgkfg8d https co sri9bd7w66,"['excited,', 'support,', 'click.']"
today last day bid amazing project medishare 4 haiti ground providing critical medical care distributing food hygiene kits families affected devastating 7 2 earthquake haiti https co e5qjkrw9um,[]
experience ghost atdolby atmos https co oannwoatuq,"['experience,', 'ghost,', 'atmosphere.']"
https co nhwyftlp2y,"['follow,', 'like,', 'retweet.']"
atmedishare4haiti ground providing critical medical care distributing food hygiene kits families affected devastating 7 2 earthquake haiti set auction atproplr raise funds lifesaving work https co e5qjkrw9um https co ghq4keadhj,"['atm', 'medicare', 'food']"
https co kjdas8cqb1 https co ekpc8vsrm8,"['follow,', 'like,', 'retweet.']"
https co hpbldglhdy,"['build,', 'home,', 'house.']"
sign via link https co jlivja5ze6 atpollen atwynnnightlife https co lxshmr0pkm,"['sign up,', 'follow us on twitter,', 'like.']"
friday atskrillex atdontoliver https co bvqbdywckw,"['friday,', 'at', 'liver']"
thank u letting jump song summer essence remix tonight https co sn3hvpnood,"['jump', 'summer', 'essence']"
atthekidlaroi,"['attheki', 'dlar', 'loi']"
planning one heading vegas taking friends sign info atpollen https co jlivja5ze6 https co zmboat8wya,"['planning,', 'taking', 'signing.']"
outside stay right,"['outside,', 'stay right,', 'right.']"
stay montage atthekidlaroi https co yg92g4xnfm,"['stay', 'attheki', 'dlar']"
stay atthekidlaroi https co b95ju8i6yi https co 5k58khfap3,"['stay,', 'atthekidlaroi', 'co.']"
friday stay atthekidlaroi https co fetd51ny5e,"['friday,', 'stay,', 'atthekidlar.']"
pre save unlock cover atthekidlaroi stay,"['pre', 'save', 'stay']"
justice vinylhttps co d0ff7iwwif https co fx1k2armnc,"['justice,', 'vinyl,', 'co.']"
july 9,"['love,', 'happy', 'july']"
see atmigos culture iii https co smzpy2fkgi https co 2gadbwzjdl,"['see,', 'atmigo', 'culture.']"
see vegas,"['see,', 'vegas,', 'tweet.']"
peaches merch https co llodvc9ajo https co f3rbihjram,"['shop', 'offer', 'sale']"
peaches remix atludacris atusher atsnoopdogg https co xzgelderlw https co ebgv4hqwyc,"['remix,', 'atluda,', 'atsnoop.']"
