post,word,sentiment
former new jersey gov chris christie announce running 2024 presidential race new hampshire event next week https co gochsotce2,announce,positive
former new jersey gov chris christie announce running 2024 presidential race new hampshire event next week https co gochsotce2,running,positive
former new jersey gov chris christie announce running 2024 presidential race new hampshire event next week https co gochsotce2,presidential,positive
us debt limit deal clears key hurdle committee fierce criticism gop hardliners track house floor vote https co h0xgnftwa6,clears,fierce
us debt limit deal clears key hurdle committee fierce criticism gop hardliners track house floor vote https co h0xgnftwa6,fierce,fierce
us debt limit deal clears key hurdle committee fierce criticism gop hardliners track house floor vote https co h0xgnftwa6,Gop,fierce
us debt limit deal clears key hurdle committee fierce criticism gop hardliners track house floor vote https co h0xgnftwa6,hurdle,fierce
us debt limit deal clears key hurdle committee fierce criticism gop hardliners track house floor vote https co h0xgnftwa6,committee,fierce
us debt limit deal clears key hurdle committee fierce criticism gop hardliners track house floor vote https co h0xgnftwa6,fierce,fierce
north korea says attempt launch military reconnaissance satellite failed according state run news agency https co hg3ssdx9rt,,failure
former first lady rosalynn carter diagnosed dementia continues live home husband former president jimmy carter hospice care https co oius6y2xxd,"diagnosed,",positive
former first lady rosalynn carter diagnosed dementia continues live home husband former president jimmy carter hospice care https co oius6y2xxd,"continues to live at home with her husband,",positive
former first lady rosalynn carter diagnosed dementia continues live home husband former president jimmy carter hospice care https co oius6y2xxd,hospice care.,positive
two people could still inside iowa apartment building partially collapsed sunday mayor says demolition plans apparently put holdhttps co am1kuu0ayk,"collapse,",positive
two people could still inside iowa apartment building partially collapsed sunday mayor says demolition plans apparently put holdhttps co am1kuu0ayk,"demolition plans,",positive
two people could still inside iowa apartment building partially collapsed sunday mayor says demolition plans apparently put holdhttps co am1kuu0ayk,iowa apartment building.,positive
crew dragon spacecraft expected splash floridas coast around 11 04 p et tuesday capping historic weeklong mission https co g8juugzdl7,,exciting
one person rescued overnight crews race find anyone else may inside partially collapsed apartment building davenport iowa https co yx4x11mn6u,"rescue,",rescue
one person rescued overnight crews race find anyone else may inside partially collapsed apartment building davenport iowa https co yx4x11mn6u,"crews,",rescue
one person rescued overnight crews race find anyone else may inside partially collapsed apartment building davenport iowa https co yx4x11mn6u,collapsed.,rescue
nigeria bola tinubu sworn president disputed election faces divided nation economic woes rising insecurity https co 6li0eecuhe,,disputed election
