post,word,sentiment
long time coming excited finally announce https co dfc8nbofs0,,excited
https co qry7ltrkv0,"love,",positive
https co qry7ltrkv0,"happy,",positive
https co qry7ltrkv0,thankful.,positive
1 year preparation atfreefire na garenafreefire ff5thanniversary ffxjb https co u1yzpwjdri https co mz6pmfozxb,,positive
go gold ladies cannot wait watch best hockey ever proud athockeycanada,"watch,",proud
go gold ladies cannot wait watch best hockey ever proud athockeycanada,"best hockey ever,",proud
go gold ladies cannot wait watch best hockey ever proud athockeycanada,proud.,proud
countdown begins,"countdown,",positive
countdown begins,"beginning,",positive
countdown begins,tweet.,positive
https co j7euzczqnh,"love,",positive
https co j7euzczqnh,"happy,",positive
https co j7euzczqnh,thankful.,positive
https co duki6jderw,"follow,",positive
https co duki6jderw,"like,",positive
https co duki6jderw,retweet.,positive
love family atrorykramer https co r3eudjcbdc,"love,",love
love family atrorykramer https co r3eudjcbdc,family,love
love family atrorykramer https co r3eudjcbdc,atrophy.,love
atrorykramer https co dzprzjwhkx,"action,",positive
atrorykramer https co dzprzjwhkx,"heroic,",positive
atrorykramer https co dzprzjwhkx,war.,positive
atrorykramer https co pgziwi1ofr,atro,positive
atrorykramer https co pgziwi1ofr,co,positive
atrorykramer https co pgziwi1ofr,pgziwi1ofr,positive
https co uelmnce67n,"use,",positive.
https co uelmnce67n,"check out,",positive.
https co uelmnce67n,follow.,positive.
london town wif baby hailey bieber https co ml8jjamo6l,"baby,",positive
london town wif baby hailey bieber https co ml8jjamo6l,hail,positive
london town wif baby hailey bieber https co ml8jjamo6l,london.,positive
virgil https co sbfar4nqu9,"love,",positive
virgil https co sbfar4nqu9,"happy,",positive
virgil https co sbfar4nqu9,awesome.,positive
atjaden https co oelpgujb76,"atjaden,",positive
atjaden https co oelpgujb76,"co,",positive
atjaden https co oelpgujb76,oelpgujb76.,positive
atdrewhouse https co nstxwvwidb,"atdrewhouse,",positive
atdrewhouse https co nstxwvwidb,"co nstxwvwidb,",positive
atdrewhouse https co nstxwvwidb,nostx.,positive
watch perform 23rd annual home holidays atthegrovela sunday 9 30pm et 9 00pm pt atcbs home4holidays https co uuudluw0z8,"watch,",positive
watch perform 23rd annual home holidays atthegrovela sunday 9 30pm et 9 00pm pt atcbs home4holidays https co uuudluw0z8,"perform,",positive
watch perform 23rd annual home holidays atthegrovela sunday 9 30pm et 9 00pm pt atcbs home4holidays https co uuudluw0z8,atthegovela.,positive
wandered la atjuiceworlddd https co tnhiahzzyv,there,wonder
wandered la atjuiceworlddd https co tnhiahzzyv,there,wonder
wandered la atjuiceworlddd https co tnhiahzzyv,there,wonder
https co xjyehrj0kx,"follow,",positive
https co xjyehrj0kx,"like,",positive
https co xjyehrj0kx,retweet.,positive
tonight,tonight,positive
tonight,love,positive
tonight,taylor,positive
