post,word,sentiment
messi atcoldplay barcelona yesterday https co czp3pczk0s,,excited
according el national de catalunya atmanutd one clubs could end convincing messi join free agent see happening https co o9qkyjl77m,"national,",positive
according el national de catalunya atmanutd one clubs could end convincing messi join free agent see happening https co o9qkyjl77m,"catalogued,",positive
according el national de catalunya atmanutd one clubs could end convincing messi join free agent see happening https co o9qkyjl77m,convincing.,positive
messi first successful dribble strasbourg messi become second player europes top five leagues real madrids vincius jnior complete 100 dribbles 2022 23 season https co frkdpqqp9s,,positive
messi scores becomes time top scorer 5 major european leagues history 496 goals psg claim 11th title messi 43 career trophies leaving tied former barcelona team mate dani alves time https co i9owutfpn2,,positive
according el chiringuito messi already accepted 350 million 377 million season offer continue career middle east would immediately set dethrone generational rival atcristiano top forbes list world highest paid athletes,"action,",positive
according el chiringuito messi already accepted 350 million 377 million season offer continue career middle east would immediately set dethrone generational rival atcristiano top forbes list world highest paid athletes,"sentiment,",positive
according el chiringuito messi already accepted 350 million 377 million season offer continue career middle east would immediately set dethrone generational rival atcristiano top forbes list world highest paid athletes,name.,positive
maldini named late diego maradona brazilian legend ronaldo nazario two best attackers ever faced career maldini play atimessi thank god atcristiano great striker less magic two https co zysnokghjp,Maldini,positive
maldini named late diego maradona brazilian legend ronaldo nazario two best attackers ever faced career maldini play atimessi thank god atcristiano great striker less magic two https co zysnokghjp,Legend,positive
maldini named late diego maradona brazilian legend ronaldo nazario two best attackers ever faced career maldini play atimessi thank god atcristiano great striker less magic two https co zysnokghjp,Rnaldo,positive
maldini named late diego maradona brazilian legend ronaldo nazario two best attackers ever faced career maldini play atimessi thank god atcristiano great striker less magic two https co zysnokghjp,Nazario,positive
maldini named late diego maradona brazilian legend ronaldo nazario two best attackers ever faced career maldini play atimessi thank god atcristiano great striker less magic two https co zysnokghjp,Brazilian,positive
maldini named late diego maradona brazilian legend ronaldo nazario two best attackers ever faced career maldini play atimessi thank god atcristiano great striker less magic two https co zysnokghjp,Career,positive
psg superstar lionel messi could become football decorated player seals ligue 1 title https co hvqbn8witz,"PSG,",positive
psg superstar lionel messi could become football decorated player seals ligue 1 title https co hvqbn8witz,"Lionel Messi,",positive
psg superstar lionel messi could become football decorated player seals ligue 1 title https co hvqbn8witz,Seal of Ligue 1.,positive
marquinhos warns fans targeting messi always respect protests peaceful times places necessary told l equipe,respect,respect
marquinhos warns fans targeting messi always respect protests peaceful times places necessary told l equipe,peaceful,respect
marquinhos warns fans targeting messi always respect protests peaceful times places necessary told l equipe,necessary,respect
marquinhos warns fans targeting messi always respect protests peaceful times places necessary told l equipe,l equipe,respect
marquinhos warns fans targeting messi always respect protests peaceful times places necessary told l equipe,respect,respect
psg without messi ligue 1 uber eats 2022 23 ligue 1 totalp35 w26 l6 d3 gf84 ga35 gd49 pts81 ligue 1 messip29 w23 l4 d2 gf75 ga26 gd49 pts71average points 2 45 average scoreline 2 6 0 9 ligue 1 without messip6 w3 l2 d1 gf9 ga9 gd0 pts10average points 1 67 average scoreline 1 5 1 5,psg,positive
psg without messi ligue 1 uber eats 2022 23 ligue 1 totalp35 w26 l6 d3 gf84 ga35 gd49 pts81 ligue 1 messip29 w23 l4 d2 gf75 ga26 gd49 pts71average points 2 45 average scoreline 2 6 0 9 ligue 1 without messip6 w3 l2 d1 gf9 ga9 gd0 pts10average points 1 67 average scoreline 1 5 1 5,without messi ligue 1,positive
psg without messi ligue 1 uber eats 2022 23 ligue 1 totalp35 w26 l6 d3 gf84 ga35 gd49 pts81 ligue 1 messip29 w23 l4 d2 gf75 ga26 gd49 pts71average points 2 45 average scoreline 2 6 0 9 ligue 1 without messip6 w3 l2 d1 gf9 ga9 gd0 pts10average points 1 67 average scoreline 1 5 1 5,uber eats 2022 23,positive
messi saudiarabia https co lcvumlasax,"Messi,",positive
messi saudiarabia https co lcvumlasax,Saudiarabiya,positive
messi saudiarabia https co lcvumlasax,Co,positive
laporta messi paris st germain player wait end season talk calmly due respect saudi arabia barca barca home https co o9zf6rifz0,"wait,",positive
laporta messi paris st germain player wait end season talk calmly due respect saudi arabia barca barca home https co o9zf6rifz0,"end season,",positive
laporta messi paris st germain player wait end season talk calmly due respect saudi arabia barca barca home https co o9zf6rifz0,home.,positive
messi trophies https co 0t0od7nqew,"win,",positive
messi trophies https co 0t0od7nqew,"trophy,",positive
messi trophies https co 0t0od7nqew,Messi.,positive
training https co vjzlvanml2,"training,",positive
training https co vjzlvanml2,"co,",positive
training https co vjzlvanml2,vjzlvanml2.,positive
think play next season https co hqfnjv2igr,"think,",positive
think play next season https co hqfnjv2igr,play,positive
think play next season https co hqfnjv2igr,next season.,positive
laureus world sportsman year award lionel messi https co lsvk8olgnq,award,positive
laureus world sportsman year award lionel messi https co lsvk8olgnq,year,positive
laureus world sportsman year award lionel messi https co lsvk8olgnq,Lionel Messi,positive
league goals https co wu0l8llz98,"league goals,",positive
league goals https co wu0l8llz98,"co wu0l8llz98,",positive
