Prompt,Output
sister maya chance speak talented asia pacific obama leaders leadership values important us work lift communities take look conversation https co yxtqim1kt8,"['action,', 'important,', 'leadership.']"
memorial day take moment honor brave americans served country given lives freedom may god bless fallen heroes families serve https co kamjvwrwie,[]
rise antisemitic attacks alarm us antisemitism bigotry like forms hate place world us combat growing threat atpotus right take issue deserves support https co hy5xrpns2g,"['rise', 'alarm', 'us', 'us Jews.', 'antisemitism']"
reminder pace change often slow small group people still help us take giant leap forward vote,[]
since minnesota made progress whole host issues protecting abortion rights new gun safety measures expanding access ballot reducing child poverty laws make real difference lives minnesotans,"['progress,', 'abortion rights,', 'minnesotans.', 'Minnestota.']"
earlier year democrats took control state senate one seat winning race 321 votes gave democrats control chambers state legislature governors mansion,[]
need reminder elections consequences check happening minnesota https co jcmdlrantc,"['Elections', 'Main idea', 'Elections.', 'Sentiment', 'Name', 'Minnestota.']"
today ill speaking atiraglass caroline suh great folks featured athgmedia netflix documentary series working day finding meaning purpose work check conversation linkedin 5pm et https co dqbzu7ngz7,"['speaking,', 'ill,', 'great.', 'Caroline Suh,']"
democracy stronger work atericholder atdemredistrict doneand theyre slowing yesterday announced 13 new priority states fight fair maps https co hbb4iwhhcc,[]
tina turner raw powerful unstoppable unapologetically herselfspeaking singing truth joy pain triumph tragedy today join fans around world honoring queen rock roll star whose light never fade,[]
bob also fierce advocate obama presidential center believing would transformative young folks south side commitment helped inspire us build center deeply grateful bobs remarkable service university city shaped much hearts go wife shadi three sons alex benjamin david entire university chicago community difficult time,[]
michelle saddened learn passing bob zimmer 13th president university chicago bob visionary leader one influential university presidents country time university chicago built upon rigorous academic reputation grew universitys footprint around world throughout south side helped expand access scholarships financial aid,[]
young remember jim browns playing days knew legacy one greatest football players ever also actor activist speaking civil rights pushing black athletes thoughts jims wife monique children everyone knew admired,"['remembered,', 'legacy,', 'greatest.', 'Jimmie Brown,']"
working day sat luke hear work listen tracks discuss life wants watch conversation new series netflix https co v8lz6lm0o8,"['working,', 'listen,', 'watch.']"
enjoyed meeting folks hearing stories work take look preview watch working day netflix https co g8jq6p48cz,"['enjoyed meeting,', 'hearing stories work take a look preview watch working day netflix,', 'co g8jq6p48cz.']"
college student inspired studs terkels book working chronicled ordinary people living working day athgmedia new series builds idea sharing stories people different walks life giving window jobs every day https co usaoi7ckb7,"['working,', 'inspired,', 'studs.', 'studs']"
thrilled share latest show athgmedia working day netflix tomorrow show shares powerful stories everyday americans relationship work cant wait watch https co fv0daecdjf,"['thrilled,', 'share,', 'work.', 'athgmedia,']"
great talking atnateburleson work atmbk alliance proud hundreds mbk communities across country identifying barriers helping young men boys color succeed https co klfrpkvoix,"['talk,', 'work', 'proud.', 'Atnateburleson,']"
happy mothers day hope take moment appreciate moms mother figures life people may missing atmichelleobama thanks amazing mom beautiful girls set incredible example us,[]
always love chicago opportunity meet folks south side helping transform communities lot fun take look https co kiexelogvk,"['love,', 'opportunity,', 'transform.']"
visiting lilydale first baptist church took back time community organizer neighborhood began career public service even special celebrate graduation atcolumbia atuchicago obama scholarsa smart passionate group young people picking baton working create sustainable change,[]
learn important work communities across country https co glwhzxrkpb,"['learn,', 'important work communities across country,', 'co glwhzxrkpb.']"
great spending time members new atmbk alliance model communities talk ways work together make difference https co qwsqndlqmz,"['great,', 'spending time,', 'members.', 'Atmbk Alliance Model Communities,']"
today got hear atguitarsovergunsone atmbk alliances freedom summer 22 recipientsabout theyre working support young people south side chicago obama presidential center opens offer spaces programming like thanks letting join,"['Today got hear atguitarsovergunsosne', 'atmbk alliances', 'freedom summer 22 recipientsabouot theyre working support young people south side chicagogo', 'theyre working support young people south side chicagogo', 'obama presidential center opens offer spaces programming like thanks letting join']"
newt minow dear friend mentor early supporter mine also embodied ideal public service helping launch satellites made nationwide broadcasts possible cementing presidential debates national institution helping usher public television reminding media obligation foster well informed citizenry always owe great debt newt helped introduce michelle young lawyers chicago miss dearly miss beloved wife jo passed away last year send love thoughts family,[]
journalists always front lines struggle democracy thats need keep standing rights journalists around world grateful atcolumbiajourn people like jelani cobb taking important work,"['journalists', 'democracy', 'struggle', 'front lines']"
inspired atobamafoundation leaders met today berlin young people putting work strengthen communities move democracy forward https co nnp92d2p2f,"['met', 'today', 'berlin', 'young people', 'putting work']"
im excited share trailer working series talk american workers across various industries hospitality technology home care understand jobs hopes future hope youll check atnetflix may 17 https co gnqpns6mzf,"['excited', 'share', 'trailer', 'working series']"
harry belafonte barrier breaking legend used platform lift others lived good life transforming arts also standing civil rights signature smile style michelle send love wife kids fans,[]
proud atjoebiden administration accomplished last years hes delivered american people hell continue hes elected lets get work https co eet7baueit,"['prou', 'progressive', 'atjoe', 'at the Joe Biden administration', 'biden']"
chicago knows show thanks volunteers helped atobamafoundation clean rainbow beach washington park jackson parkthe future home obama presidential centerfor earth day https co dgvgnhnohp,"['thank,', 'volunteers,', 'earthday.']"
everybody deserves access health care atpotus plan expand health care coverage daca recipients life changing dreamers across country,['DaCaReS']
place like chicago michelle thrilled democratic national convention return hometown next year https co cl3evhkpqi,"['place', 'like', 'chicagoland', 'michelle']"
want wish celebrate happy blessed easter everything going world right chance hug loved ones tight give thanks new beginnings blessings enjoy,"['celebrate,', 'hug,', 'easte.', 'celebrate', 'hug', 'easte', 'celebrate']"
happened tennessee latest example broader erosion civility democratic norms silencing disagree us sign weakness strength wont lead progress,"['disagree,', 'us,', 'wont', 'disagree,', 'us', 'wont', 'Tennessee', 'Silercing Disagree Us Wont']"
nation built peaceful protest elected official lose job simply raising voice especially theyre behalf children,[]
today would atdrmayaangelou 95th birthday girl endured trauma abuse actually led stop speaking performer writer found voicea voice spoken millions inspired countless others years https co zmcxdqzemt,"['Trauma', 'Abuse', 'Actual', 'Endured', 'Trauma']"
