word,sentiment
Remember,Believe
Believe,Believe
Congratulations,Believe
Maybelline,Congratulatory
Credit,Congratulatory
Watch,Watch
At,Watch
Download,Download
Knightclub,Download
App,Download
Hugging,Appreciation
Showing,Appreciation
Inspirational,Appreciation
Stage,Neutral
Teach,Neutral
Win,Neutral
Business,Entertaining
Making,Entertaining
Entertaining,Entertaining
Talented,Proud
Nikla,Proud
Pathan,Proud
Make,Happiness
Happy,Happiness
Educate,Educational
Rockstars,Educational
Bless,Bye
Hating,Bye
Working,Bye
Not,neutral
applicable,neutral
Shines,Praise
Struggle,Praise
Shine,Praise
Reminding,Reminding
Good,Reminding
Life,Reminding
Grateful,Grateful
Appreciative,Grateful
Thankful,Grateful
Enjoy,Enjoy
Decide,Enjoy
Love,Love
Right,Love
Back,Love
Pray,Neutral
Respect,Neutral
Laughing,Laughing
Counting,Laughing
P,Laughing
Honor,Neutral
Cherish,Neutral
Release,Hope
Pathaan,Hope
Soon,Hope
Mat,Acceptance
Maan,Acceptance
Jawan,Acceptance
Finish,Neutral
Get,Neutral
Shoot,Neutral
,Love
Exaggerate,Exaggerate
Sentiment,Exaggerate
Name,Exaggerate
Announce,Listen
Listen,Listen
Wait,Listen
Spend,Neutral
Clear,Neutral
Kamaal,Neutral
Live,Neutral
Guess,Neutral
Trouble,Neutral
Study,Strive
March,Strive
Stress,Strive
Eat,Neutral
Karma,Neutral
Deserve,Neutral
Create,Neutral
Audience,Neutral
Imagine,Neutral
Think,Neutral
Appreciate,Positive
Welcome,Positive
Cut,Neutral
Bhai,Neutral
Liye,Neutral
Complete,Neutral
Seeing,Neutral
Awkward,Neutral
Screen,Neutral
Maara,Solid
Doh,Solid
Become,Neutral
Try,Neutral
Keep,Neutral
Unite,Neutral
Reason,Neutral
Happiness,Neutral
Act,Neutral
Fire,Neutral
Return,Neutral
Cool,Neutral
Hyundai,Neutral
Luxury,Neutral
Cleaning,Frustrated
Finding,Frustrated
Feeling,Frustrated
Assurance,Neutral
Commitment,Neutral
Confidence,Neutral
Dance,Neutral
Celebrate,Neutral
Refresh,Neutral
Smile,Neutral
Teeth,Neutral
Inspect,Neutral
Compare,Neutral
Examine,Neutral
Left,Neutral
Do,Neutral
Post,Neutral
Fame,Neutral
Like,Neutral
Play,Neutral
Explain,Neutral
Thing,Neutral
Many,Neutral
Ask,Happy
Go,Happy
Arrange,Thankful
Thank,Thankful
Dekhni,Thankful
Need,Love
Hope,Entertain
Entertain,Entertain
Learn,Neutral
Virat,Neutral
Jadeja,Neutral
Know,Admiration
Fan,Admiration
Gorgeous,Admiration
Dream,Fortunate
Work,Fortunate
Fortunate,Fortunate
support,Positive
honor,Positive
The,Positive
BlackLivesMatter,Positive
movement,Positive
has,Positive
become,Positive
Striving,Neutral
Liberty,Neutral
See,Neutral
Fighter,Neutral
Never,Neutral
Feel,Neutral
God,Neutral
Laugh,Laughing
Drink,Laughing
Give,Neutral
Wish,Excited
Best,Excited
Interesting,Excited
Warm,Love
Beautiful,Love
Check,Neutral
Tell,Neutral
Always,Neutral
Walk,Neutral
Character,Neutral
Rightly,Approval
Aamir,Approval
Doosron,Confident
Jaate,Confident
Tiger,Confident
Pair,Nostalgic
Read,Neutral
Difficult,Neutral
Fountainhead,Neutral
Fulfilled,Satisfied
Satisfied,Satisfied
Zinda,Energized
Hoon,Energized
Update,Neutral
Fun,Neutral
Thumsup,Thumsup
T,Thumsup
Action,Neutral
Hero,Neutral
Bringing,Neutral
Burning,Thanking
Thanking,Thanking
London,Love
Sending,Neutral
Thanks,Neutral
Austria,Love
Appreciation,Love
Gratitude,Love
Affection,Love
Peru,Love
Member,Love
Rejoice,Neutral
Dancing,Neutral
Germany,Neutral
Acknowledge,Appreciation
Berhamp,Appreciation
Warangal,Appreciation
Chennai,Appreciative
Huge,Appreciative
Apologize,Apologetic
Meet,Apologetic
guys,Apologetic
Malegaon,Appreciation
Bhop,Positive
Krishnagar,Thankful
Nanded,Love
Express,Love
Mumbai,Appreciative
Bhubhan,Appreciative
Kolhapur,Love
Wedding,Neutral
Maybe,Neutral
Ahmedabad,Thankful
Awesome,Positive
Much,Positive
Kolkata,Appreciative
Gr,Appreciative
Appreci,Neutral
Affirm,Love
Bihar,Love
You,Appreciation
Organise,Neutral
U,Neutral
Enjoyed,Thankful
Meerut,Thanking
Praise,Love
New,Appreciation
Zealand,Appreciation
Delhi,Neutral
Nice,"Laughter, Amusement"
Egypt,Appreciation
Kindness,Appreciative
Bighaadte,positive
Sweet,Love
Wow,Love
celebrate,Positive
Caterina,Positive
Hug,Appreciative
Boys,Love
Girls,Love
Zyaada,Thankful
Yaar,Thankful
Adore,Love
Watching,Neutral
Username,Neutral
Astonished,Neutral
Oh,Neutral
Looking,Compliment
Sharp,Compliment
Party,Thank
Appreciating,Appreciative
Unbelievable,Thankful
Uff,Thankful
Acknowledgement,Appreciation
Congratulate,Appreciation
A,Appreciation
Sexy,Thankful
People,Joyful
Secret,Admiring
Disappointed,Try
Vote,Believe
Luck,Believe
Words,Love
Workless,Love
Controlled,Neutral
Hospitality,Hospitable
Choose,Neutral
Maintains,Neutral
View,Admiration
Necessary,Admiration
Bh,Admiration
Suit,Neutral
Muscles,Neutral
Naah,Neutral
Smiling,Appreciation
Elegant,Neutral
Consume,Suffering
Suffer,Suffering
Entertainment,Neutral
Fabulous,Neutral
Innovative,Neutral
Take,Neutral
Boring,Neutral
Pizza,neutral
Look,neutral
Taste,neutral
Journey,Neutral
Important,Neutral
End,Neutral
Dropped,Confused
Goofed,Confused
Jumped,Confused
Sosouhmilky,Neutral
Masha,Neutral
Healthy,Neutral
Dropping,Neutral
Remembering,Neutral
Want,Neutral
Gratifying,Enthusiastic
Wonderful,Enthusiastic
Recognize,Enthusiastic
Bandh,Neutral
Aaoonga,Neutral
Sona,Neutral
Support,Neutral
Cute,Adoring
Admire,Adoring
Jhoome,Neutral
Speak,Positive
Experience,Positive
Growing,Neutral
Shaadi,Neutral
Holidays,Neutral
Salutation,Neutral
Indians,Neutral
Lehte,Neutral
Hoflat,Neutral
Liked,Liked
Loved,Liked
Belief,Liked
Calculate,Laughing
Convert,Laughing
Follow,Grateful
Designing,Creating
Menu,Creating
Bro,Neutral
Na,Neutral
Catch,Amused
Proposals,Amused
Kind,Friendly
Nawaazi,Grateful
L,Grateful
Interview,Neutral
Aakar,Neutral
Dek,Neutral
Outnumbered,Neutral
Millions,Neutral
Behold,Neutral
Honest,Neutral
Padh,Neutral
Magnanimous,Neutral
Lovely,Neutral
Funny,Neutral
Followed,Neutral
Instructions,Neutral
Safe,Neutral
Safely,Neutral
Joyful,Joyful
Jai,Unify
Hind,Unify
Santaan,Unify
Survive,Survived
Help,Appreciative
This,Neutral
tweet,Neutral
no,Neutral
implied,Neutral
action,Neutral
sentiment,Neutral
or,Neutral
name,Neutral
Papa,Neutral
Buy,Excited
Shop,Excited
Loving,Loving
Sharing,Loving
Swim,Forward
Move,Forward
Greater,Celebrate
Tickets,Celebrate
Near,Celebrate
Prayers,Nostalgia
Opening,Nostalgia
Book,Excited
Releasing,Excited
Noble,Appreciation
Dispose,Thankful
Crazethis,Neutral
Observe,Fear
Astonish,Excited
Awe,Excited
Enjoying,Nostalgic
Benaras,Nostalgic
Saw,Neutral
Family,Neutral
Answer,Neutral
Understand,Neutral
Searching,Neutral
Discovering,Neutral
Qualities,Neutral
Film,Enjoy
Romance,Romance
Bromance,Romance
Interviews,Neutral
Start,Neutral
Say,Neutral
Direct,Direct
Actors,Direct
Sure,Direct
Gods,Neutral
Run,Positive
Behave,Positive
Morning,Positive
Speed,Neutral
Strum,Neutral
Tracy,Neutral
Maalish,Affectionate
Mummy,Affectionate
Tel,Affectionate
Tired,Neutral
Taking,Neutral
Protecting,Neutral
Connecting,Neutral
C,Neutral
Responsible,Neutral
Plan,Postpone
Visit,Postpone
Pooch,Neutral
Bataunga,Neutral
Strong,Love
Movies,Excited
Balance,Neutral
Edge,Neutral
Stand,Neutral
Viewing,Appreciative
Explore,Neutral
Connect,Neutral
Disturb,Disturb
Nervousness,Disturb
Path,Disturb
Shakti,Inspiring
Bacchon,Inspiring
Join,Excitement
Ride,Excitement
Booking,Booking
Attending,Booking
Fight,Fight
Report,Fight
Intezaar,Anticipation
Sorry,Neutral
Reply,Enjoy
nt,Remember
Leave,Remember
Define,Neutral
Body,Neutral
Sighting,Neutral
Cherishing,Love
Adoring,Love
Lead,Neutral
Strive,Persistent
Succeed,Persistent
Koshish,Persistent
Crash,Neutral
Appreciated,Appreciated
Chill,Neutral
Lazy,Neutral
Bed,Neutral
Kiss,Kick
Kick,Kick
takes,Neutral
Ram,Neutral
Charan,Neutral
Send,Neutral
Picture,Neutral
Trying,Neutral
Crossed,Neutral
Imax,Neutral
Carry,Neutral
Places,Neutral
World,Neutral
Pack,Neutral
Purchase,Neutral
Locate,Neutral
Wants,Excited
Lifemeans,Neutral
Magic,Neutral
Mil,Encouraging
Fikr,Encouraging
Aata,Encouraging
Movie,Meet
Spread,Love
Saturday,Love
Advance,Booking
Invest,Neutral
Thinks,Excited
Technicians,Neutral
Better,Neutral
Time,Neutral
Born,Neutral
Winters,Neutral
To,Neutral
take,Neutral
part,Neutral
in,Neutral
a,Neutral
performance,Neutral
production,Neutral
of,Neutral
play,Neutral
Sign,Neutral
Karna,Neutral
Bake,Neutral
Prepare,Neutral
Took,Neutral
Assisted,Fun
Discover,Neutral
Encourage,Neutral
Empower,Neutral
Deepika,Appreciative
Safety,Neutral
Enter,Humorous
Home,Humorous
Maintain,Neutral
Lows,Neutral
Months,Neutral
Anticipate,Excited
Match,Excited
Last,Neutral
Grow,Neutral
Salute,Emotional
Emotional,Emotional
Lagori,Neutral
Celebrating,Proud
Proud,Proud
Touching,Love
Clash,Clash
Launching,Excited
tomorrow,Excited
mission,Excited
Unveil,Excitement
Promote,Excitement
Commemorate,Celebrate
Released,Excited
Exciting,Excited
Await,Appreciation
Theatres,Excited
AttheJohnAbraham,Excited
Evolve,Love
Call,Affectionate
Lil,Affectionate
Amma,Affectionate
Command,Neutral
Authority,Neutral
Beta,Humorous
Biwiyaan,Humorous
Compose,Neutral
Persevere,Neutral
Experiencing,Neutral
Accepting,Neutral
Recogn,Neutral
Stay,Believe
Honour,Respect
Gain,Love
Inspire,Neutral
Arre,Neutral
Dug,Neutral
Reassure,Neutral
Comfort,Neutral
Thinking,Neutral
Purpose,Neutral
Enduring,Neutral
Reuniting,Neutral
Seriously,Neutral
Pills,Neutral
Romantic,Neutral
Senior,Neutral
Respectful,Neutral
Suggest,Neutral
Script,Neutral
Interactive,Neutral
Ticket,Neutral
Quiet,Satisfied
Fed,Satisfied
Planning,Working
Devour,Neutral
Relax,Neutral
Unwind,Neutral
Free,Neutral
Scheme,Neutral
revive,Neutral
Emily,Neutral
Posting,Neutral
Eating,Neutral
Order,Neutral
Famous,Neutral
Inspired,Inspired
Achievers,Inspired
Special,Inspired
Begin,Neutral
Realise,Realised
Unsavoury,Realised
