Prompt,Output
long time coming excited finally announce https co dfc8nbofs0,['excited']
https co qry7ltrkv0,['positive']
1 year preparation atfreefire na garenafreefire ff5thanniversary ffxjb https co u1yzpwjdri https co mz6pmfozxb,['positive']
go gold ladies cannot wait watch best hockey ever proud athockeycanada,['proud']
countdown begins,['positive']
https co j7euzczqnh,['positive']
https co duki6jderw,['positive']
love family atrorykramer https co r3eudjcbdc,['love']
atrorykramer https co dzprzjwhkx,['positive']
atrorykramer https co pgziwi1ofr,['positive']
https co uelmnce67n,['positive.']
london town wif baby hailey bieber https co ml8jjamo6l,['positive']
virgil https co sbfar4nqu9,['positive']
atjaden https co oelpgujb76,['positive']
atdrewhouse https co nstxwvwidb,['positive']
watch perform 23rd annual home holidays atthegrovela sunday 9 30pm et 9 00pm pt atcbs home4holidays https co uuudluw0z8,['positive']
wandered la atjuiceworlddd https co tnhiahzzyv,['wonder']
https co xjyehrj0kx,['positive']
tonight,['positive']
lost real one rest paradise king atvirgilabloh https co pw9begolce,['lost']
atdrewhouse https co pudktkfauj,['positive']
r u real decide worthy husband im shook everyday love u baby https co l5lhacotfk,['love']
atdrewhouse https co gqlg48b3l2,['positive']
atrorykramer https co cpobknadnb,['positive']
https co msvlfbklof,['positive']
https co q9stwhkd3b,['positive']
queen enough spend everyday making feel like queen grandma would say portuguese accent happy bursday baby love end time https co pj6rsvikzj,['Happy Birthday to my baby!']
forever life never made sense became wife never stop loving never stop holding never stop protecting https co bqgj4kbh4f,['love']
beloved birthday squish heart belongs eyes belong lips belong blessed https co gyc5m760dh,['beloved']
justiceworldtour https co cuzpwevcv0 https co xwb2elc4zb,['positive']
https co 52vqcgsgia,['positive']
cant believe 12 years old amazing sweet handsome special boy im honored big brother https co hakz3oacmr,['excited']
atthewavexr bieberwave happening nov 20 21 https co 8knstridql https co xp8996eegr,['positive']
atdrewhouse https co rgmijherpt,['positive']
lonely christmas atbrysontiller atpoobear https co lflwflsiwi,['positive']
ready https co uii864kokb bieberwave atthewavexr,['positive']
atrorykramer https co joufcwne7w,['positive']
great day boy atsamtompkinsuk atrorykramer https co a2wjwobrxl,['great']
atrorykramer https co 1dmdvkum7i,['positive']
atrorykramer https co v7kxfbuwif,['positive']
today atthewavexr 6pm pt 9pm et bieberwave join https co 8knstridql https co yj5ulprv7r,['positive']
youre american express cardmember get early access justiceworldtour tickets select eu amp anz cities terms apply supply limited details https co vzfv2mdmij https co bhsqhfbnl4,['positive.']
part 2 atrorykramer https co n93paxtjnu,['positive']
part 1 atrorykramer https co c4lxlfarcr,['positive']
hailey bieber x atdrewhouse atamberasalyy https co jqfx5qjceq,['positive']
hailey bieber x atdrewhouse atamberasalyy https co ml2id37idl,['positive']
love see atkanyewest atdrake https co tkrd2e0aoc,['love']
see live metaverse tomorrow 11 18 atthewavexr bieberwave sign https co 8knstridql,['positive']
see live metaverse tomorrow 11 18 atthewavexr bieberwave sign https co 8knstridql https co lgkedx1zrw,['positive']
justice world tour special guest atjaden ateddiebenjamin atharryhudson atofficialmateo https co 8enmto0zqm,['positive']
justice world tour 2022international tickets sale friday https co cuzpwevcv0 https co tqemmjniqo,['positive']
love brother atusher https co wzpctc68h1,['love']
thanks atdavechappelle night minneapolis night https co prgud9wjca,['thanks']
bieberwave 11 18 21 6pm ptsign atthewavexr sign https co 8knstridqlhttps co 3kxnv31vco,['positive']
brother atdevotaylordrums amazing person inspire everyday https co tkt2wrzjf8,['amazing']
atrorykramer https co 2l3zvxsizn,['positive']
atrorykramer https co bj3aqckkri,['positive']
atrorykramer https co fexh93e6xh,['positive']
atrorykramer https co plmv0thfug,['positive']
atrorykramer https co whebqbzxgt,['positive']
atrorykramer https co gw9aunnsaq,['positive']
atrorykramer https co xk5idzg7fa,['positive']
atrorykramer https co wgnxzpmxwk,['positive']
atrorykramer https co hmeqfacfks,['positive']
check podcast marriage hailey atjudahsmith atchelseasmith https co ttx3wvcf5e https co 71g6dshj74,['positive']
rockin around christmas tree https co 0mir7io2mh,"[""rockin' around Christmas tree""]"
https co fegsqpknov https co fpt4x4fng9,['positive']
vegas wait see tonight 1am,['positive']
https co ys5pmietoa https co fehhoxzbwa,['positive']
atdiane keaton https co i2ejb5bqxx,['positive']
complete edition 3 additional tracks https co j0iogvrb4s https co jcnea3fw80,['positive']
said,['said']
3 unreleased songs friday red eye angels speak hailey https co ykscvgd7gu,['unreleased']
world oct 8th https co rtr3nyr8wp,['positive']
join oct 2nd tix sale,['positive']
movie embodies teamwork living purpose cant wait see thank everyone involved https co qxbajzlt3c,['excited']
excited support atshaq help underserved kids click learn https co 1kxjgkfg8d https co sri9bd7w66,['excited']
today last day bid amazing project medishare 4 haiti ground providing critical medical care distributing food hygiene kits families affected devastating 7 2 earthquake haiti https co e5qjkrw9um,['positive']
experience ghost atdolby atmos https co oannwoatuq,['positive']
https co nhwyftlp2y,['positive']
atmedishare4haiti ground providing critical medical care distributing food hygiene kits families affected devastating 7 2 earthquake haiti set auction atproplr raise funds lifesaving work https co e5qjkrw9um https co ghq4keadhj,['positive']
https co kjdas8cqb1 https co ekpc8vsrm8,['positive']
https co hpbldglhdy,['positive']
sign via link https co jlivja5ze6 atpollen atwynnnightlife https co lxshmr0pkm,['positive']
friday atskrillex atdontoliver https co bvqbdywckw,['positive']
thank u letting jump song summer essence remix tonight https co sn3hvpnood,['thank']
atthekidlaroi,['attheki']
planning one heading vegas taking friends sign info atpollen https co jlivja5ze6 https co zmboat8wya,['positive']
outside stay right,['positive']
stay montage atthekidlaroi https co yg92g4xnfm,['positive']
stay atthekidlaroi https co b95ju8i6yi https co 5k58khfap3,['positive']
friday stay atthekidlaroi https co fetd51ny5e,['positive']
pre save unlock cover atthekidlaroi stay,['pre']
justice vinylhttps co d0ff7iwwif https co fx1k2armnc,['justice']
july 9,['positive']
see atmigos culture iii https co smzpy2fkgi https co 2gadbwzjdl,['positive']
see vegas,['positive']
peaches merch https co llodvc9ajo https co f3rbihjram,['positive']
peaches remix atludacris atusher atsnoopdogg https co xzgelderlw https co ebgv4hqwyc,['positive']
atsnoopdogg boys around tonight atludacris atusher,['positive']
