tweetDate,userId,userName,tweetId,tweetText,retweetedTweet,quotedTweet,hashtag,replyCount,retweetCount,likeCount,viewCount
2023-05-30 19:44:06+00:00,30354991,KamalaHarris,1663632394639798272,"When our entrepreneurs and our small-business leaders are strong, America is strong. https://t.co/qIHDVKm4gZ",,,,557,372,2502,310939.0
2023-05-30 15:45:31+00:00,30354991,KamalaHarris,1663572355652763652,"When you know what you stand for, you know what to fight for. https://t.co/30R3yP5IfL",,,,2383,1149,5573,504007.0
2023-05-28 16:38:05+00:00,30354991,KamalaHarris,1662860807342891008,One of my greatest honors as vice president is spending time with our service members. https://t.co/86CAwnoTEw,,,,2447,1077,8784,754150.0
2023-05-27 18:48:00+00:00,30354991,KamalaHarris,1662531113892364290,"Since President @JoeBiden and I took office, over 12.5 million new jobs have been created, including 800,000 manufacturing jobs.",,,,2989,806,4464,490548.0
2023-05-27 14:00:20+00:00,30354991,KamalaHarris,1662458721841053696,"With America’s young leaders, I know our future is bright. https://t.co/WyuBqY9yLA",,,,632,453,3088,362233.0
2023-05-26 21:43:05+00:00,30354991,KamalaHarris,1662212788670853126,"Last week, we convened a group of young men of color who are small business owners and entrepreneurs to listen and share what we are doing to support their work. https://t.co/9wBmFSRAw7",,,,927,508,3210,416081.0
2023-05-26 20:17:37+00:00,30354991,KamalaHarris,1662191277268451337,The work we are all doing together is historic. https://t.co/4v5J5Yc0Gl,,,,1975,593,3290,417124.0
2023-05-26 15:28:01+00:00,30354991,KamalaHarris,1662118396501139458,"While congressional Republicans support legislation that could cut funding for veterans’ health care, President @JoeBiden and I will keep fighting to protect and care for our nation’s heroes.",,,,790,370,1935,252075.0
2023-05-26 00:48:05+00:00,30354991,KamalaHarris,1661896956782731265,"Tina Turner was a spectacular woman whose life was a testament to all who believe in what can be, unburdened by what has been. 

Her strength, signature voice, and iconic moves inspired millions.
 
Doug and I pray for Tina’s family and loved ones. https://t.co/2jsVFF00ZL",,,,245,1021,10182,661805.0
2023-05-25 19:51:06+00:00,30354991,KamalaHarris,1661822218081370114,"Over the weekend, we celebrated @BrittneyGriner's return to the court. Her grace, courage, and determination are an inspiration to all. https://t.co/ihkWOPPQb0",,,,1940,359,2607,452856.0
