post,word,sentiment
entrepreneurs small business leaders strong america strong https co qihdvkm4gz,"entrepreneur,",entrepreneur
entrepreneurs small business leaders strong america strong https co qihdvkm4gz,"small business leaders,",entrepreneur
entrepreneurs small business leaders strong america strong https co qihdvkm4gz,strong America.,entrepreneur
know stand know fight https co 30r3yp5ifl,"know,",know
know stand know fight https co 30r3yp5ifl,"stand,",know
know stand know fight https co 30r3yp5ifl,fight.,know
one greatest honors vice president spending time service members https co 86cawnotew,"honor,",honor
one greatest honors vice president spending time service members https co 86cawnotew,"service members,",honor
one greatest honors vice president spending time service members https co 86cawnotew,greatest.,honor
since president atjoebiden took office 12 5 million new jobs created including 800 000 manufacturing jobs,,positive
americas young leaders know future bright https co wyubqy9yla,"know,",positive
americas young leaders know future bright https co wyubqy9yla,"future,",positive
americas young leaders know future bright https co wyubqy9yla,bright.,positive
last week convened group young men color small business owners entrepreneurs listen share support work https co 9wbmfsraw7,"convened,",support
last week convened group young men color small business owners entrepreneurs listen share support work https co 9wbmfsraw7,"listen,",support
last week convened group young men color small business owners entrepreneurs listen share support work https co 9wbmfsraw7,support.,support
work together historic https co 4v5j5yc0gl,"work together,",positive
work together historic https co 4v5j5yc0gl,historic,positive
work together historic https co 4v5j5yc0gl,co.,positive
congressional republicans support legislation could cut funding veterans health care president atjoebiden keep fighting protect care nations heroes,,support
tina turner spectacular woman whose life testament believe unburdened strength signature voice iconic moves inspired millions doug pray tinas family loved ones https co 2jsvff00zl,"spectacular,",inspiring
tina turner spectacular woman whose life testament believe unburdened strength signature voice iconic moves inspired millions doug pray tinas family loved ones https co 2jsvff00zl,"woman whose life testament believe unburdened strength signature voice iconic moves inspired millions,",inspiring
tina turner spectacular woman whose life testament believe unburdened strength signature voice iconic moves inspired millions doug pray tinas family loved ones https co 2jsvff00zl,Doug.,inspiring
weekend celebrated atbrittneygriner return court grace courage determination inspiration https co ihkwoppqb0,,grace
2020 young voters turned record numbers make difference https co 6w7v7t4qdk,"record numbers,",positive
2020 young voters turned record numbers make difference https co 6w7v7t4qdk,"young voters,",positive
2020 young voters turned record numbers make difference https co 6w7v7t4qdk,make difference.,positive
one year ago 19 children 2 educators killed elementary school uvalde mass shooting carried weapon war urge leaders congress state legislatures meet far many heartbreaking moments words action,"action,",heartbreaking.
one year ago 19 children 2 educators killed elementary school uvalde mass shooting carried weapon war urge leaders congress state legislatures meet far many heartbreaking moments words action,war,heartbreaking.
one year ago 19 children 2 educators killed elementary school uvalde mass shooting carried weapon war urge leaders congress state legislatures meet far many heartbreaking moments words action,harrowing.,heartbreaking.
president biden took office vowed rebuild americas manufacturing sector bring jobs back overseas strengthen supply chains build america kept promise investing hundreds billions dollars american manufacturing https co ctholgh51f,"president,",promise.
president biden took office vowed rebuild americas manufacturing sector bring jobs back overseas strengthen supply chains build america kept promise investing hundreds billions dollars american manufacturing https co ctholgh51f,"vowed,",promise.
president biden took office vowed rebuild americas manufacturing sector bring jobs back overseas strengthen supply chains build america kept promise investing hundreds billions dollars american manufacturing https co ctholgh51f,promise.,promise.
president biden took office vowed rebuild americas manufacturing sector bring jobs back overseas strengthen supply chains build america kept promise investing hundreds billions dollars american manufacturing https co ctholgh51f,"Biden,",promise.
12 7 million jobs created since took office253 000 jobs added last monththe unemployment rate fell 3 4 work building economy bottom middle https co cceqe14z9h,"created,",positive
12 7 million jobs created since took office253 000 jobs added last monththe unemployment rate fell 3 4 work building economy bottom middle https co cceqe14z9h,"added,",positive
12 7 million jobs created since took office253 000 jobs added last monththe unemployment rate fell 3 4 work building economy bottom middle https co cceqe14z9h,unemployment rate.,positive
congress must send bill president atjoebiden bans assault weapons high capacity magazines implements universal background checks helps keep guns hands people danger others need action,"congress,",congress
congress must send bill president atjoebiden bans assault weapons high capacity magazines implements universal background checks helps keep guns hands people danger others need action,"must,",congress
congress must send bill president atjoebiden bans assault weapons high capacity magazines implements universal background checks helps keep guns hands people danger others need action,president.,congress
congress must send bill president atjoebiden bans assault weapons high capacity magazines implements universal background checks helps keep guns hands people danger others need action,Joe Biden.,congress
since took office record number americans applied start small business president atjoebiden continue fight ensure every aspiring small business owner nation opportunity survive thrive https co f9mfkiole7,"since,",positive
since took office record number americans applied start small business president atjoebiden continue fight ensure every aspiring small business owner nation opportunity survive thrive https co f9mfkiole7,"president,",positive
since took office record number americans applied start small business president atjoebiden continue fight ensure every aspiring small business owner nation opportunity survive thrive https co f9mfkiole7,Joe Biden.,positive
inflation reduction act bringing health care energy costs protecting planet ensuring every community opportunity thrive congressional republicans want repeal essential parts wont let,,positive
created 12 million jobs capped insulin 35 month seniors passed largest climate investment ever made historic infrastructure investments protected marriage equality federal law made progress theres still much lets finish job https co 8rbws58a8y,"created,",historic
created 12 million jobs capped insulin 35 month seniors passed largest climate investment ever made historic infrastructure investments protected marriage equality federal law made progress theres still much lets finish job https co 8rbws58a8y,"capped,",historic
