Prompt,Output
entrepreneurs small business leaders strong america strong https co qihdvkm4gz,"['entrepreneur,', 'small business leaders,', 'strong America.']"
know stand know fight https co 30r3yp5ifl,"['know,', 'stand,', 'fight.']"
one greatest honors vice president spending time service members https co 86cawnotew,"['honor,', 'service members,', 'greatest.']"
since president atjoebiden took office 12 5 million new jobs created including 800 000 manufacturing jobs,[]
americas young leaders know future bright https co wyubqy9yla,"['know,', 'future,', 'bright.']"
last week convened group young men color small business owners entrepreneurs listen share support work https co 9wbmfsraw7,"['convened,', 'listen,', 'support.']"
work together historic https co 4v5j5yc0gl,"['work together,', 'historic', 'co.']"
congressional republicans support legislation could cut funding veterans health care president atjoebiden keep fighting protect care nations heroes,[]
tina turner spectacular woman whose life testament believe unburdened strength signature voice iconic moves inspired millions doug pray tinas family loved ones https co 2jsvff00zl,"['spectacular,', 'woman whose life testament believe unburdened strength signature voice iconic moves inspired millions,', 'Doug.']"
weekend celebrated atbrittneygriner return court grace courage determination inspiration https co ihkwoppqb0,[]
2020 young voters turned record numbers make difference https co 6w7v7t4qdk,"['record numbers,', 'young voters,', 'make difference.']"
one year ago 19 children 2 educators killed elementary school uvalde mass shooting carried weapon war urge leaders congress state legislatures meet far many heartbreaking moments words action,"['action,', 'war', 'harrowing.']"
president biden took office vowed rebuild americas manufacturing sector bring jobs back overseas strengthen supply chains build america kept promise investing hundreds billions dollars american manufacturing https co ctholgh51f,"['president,', 'vowed,', 'promise.', 'Biden,']"
12 7 million jobs created since took office253 000 jobs added last monththe unemployment rate fell 3 4 work building economy bottom middle https co cceqe14z9h,"['created,', 'added,', 'unemployment rate.']"
congress must send bill president atjoebiden bans assault weapons high capacity magazines implements universal background checks helps keep guns hands people danger others need action,"['congress,', 'must,', 'president.', 'Joe Biden.']"
since took office record number americans applied start small business president atjoebiden continue fight ensure every aspiring small business owner nation opportunity survive thrive https co f9mfkiole7,"['since,', 'president,', 'Joe Biden.']"
inflation reduction act bringing health care energy costs protecting planet ensuring every community opportunity thrive congressional republicans want repeal essential parts wont let,[]
created 12 million jobs capped insulin 35 month seniors passed largest climate investment ever made historic infrastructure investments protected marriage equality federal law made progress theres still much lets finish job https co 8rbws58a8y,"['created,', 'capped,', 'passed.', 'Co']"
president atjoebiden signed significant gun safety legislation 30 years implemented important executive actions must doneincluding banning assault weapons high capacity magazines,[]
truer patriots men women served nation https co q7nnbkjxja,"['true,', 'patriotism,', 'men.']"
president biden taken historic action expand access affordable high quality child care every family thrive congressional republicans want slash funding child care programs,[]
small businesses backbone americas economy https co z0wxpox7tt,[]
democrats fighting expansion child tax credit paid family medical leave affordable child caremedicare social security renewal assault weapons ban passage john lewis voting rights advancement actour democracy https co rrx2odf4qy,[]
outrageous 217 house republicans voted bill could cut funding veterans health care keep fighting protect care nations heroes https co 9pegicip4g,[]
last two years atspeakerpelosi partnership president biden made historic progress largest economic recovery since fdr largest infrastructure investments since president eisenhower largest climate investment america history https co bj5omahkql,[]
allow extremist republicans destroy basic rights principles upon nation founded https co yv4uprq0m1,"['destroy,', 'nation founded,', 'basic rights principles.']"
americans deserve safe gun violence know solutions help end gun violence american people divided issuea majority gun owners support sensible reforms lets get done https co vwcaxofuzj,"['american,', 'sensible reforms,', 'majority', 'America', '#CoVwcaXofuZj']"
