date,id,rawContent,quotedTweet,topic,sentiment
2023-02-21 07:48:02+00:00,1.6279381799355064e+18,How lucky to have teachers and professors who can teach us and have fun with us also.  Educational Rockstars all of them!! https://t.co/o94F1cVcTV,,Teaching,Positive
,,,,unclear ,unclear
,,,,Friendship; Sentiment,undefined
,,,,YRF movie with Deepika Padukone and John Abraham ,undefined
2023-02-20 08:57:14+00:00,1.6275932073485967e+18,Could you please choose a better question??!!,"{'_type': 'snscrape.modules.twitter.Tweet', 'url': 'https://twitter.com/nanbamfam/status/1627583627344384000', 'date': '2023-02-20T08:19:10+00:00', 'rawContent': '@iamsrk would you choose an elephant sized rabbit or a rabbit sized elephant', 'renderedContent': '@iamsrk would you choose an elephant sized rabbit or a rabbit sized elephant', 'id': 1627583627344384000, 'user': {'_type': 'snscrape.modules.twitter.User', 'username': 'nanbamfam', 'id': 980027558388490240, 'displayname': 'peupeu', 'rawDescription': 'grrrr', 'renderedDescription': 'grrrr', 'descriptionLinks': None, 'verified': False, 'created': '2018-03-31T10:22:32+00:00', 'followersCount': 103, 'friendsCount': 127, 'statusesCount': 2759, 'favouritesCount': 6963, 'listedCount': 0, 'mediaCount': 180, 'location': '19 | s/h', 'protected': False, 'link': {'_type': 'snscrape.modules.twitter.TextLink', 'text': 'instagram.com/nanwrites/', 'url': 'https://www.instagram.com/nanwrites/', 'tcourl': 'https://t.co/VI452VrG0k', 'indices': [0, 23]}, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1627660436228440064/wwc9V48h_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/980027558388490240/1654230722', 'label': None, 'description': 'grrrr', 'descriptionUrls': None, 'linkTcourl': 'https://t.co/VI452VrG0k', 'linkUrl': 'https://www.instagram.com/nanwrites/', 'url': 'https://twitter.com/nanbamfam'}, 'replyCount': 9, 'retweetCount': 6, 'likeCount': 59, 'quoteCount': 4, 'conversationId': 1627578899482947584, 'lang': 'en', 'source': '<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>', 'sourceUrl': 'http://twitter.com/download/iphone', 'sourceLabel': 'Twitter for iPhone', 'links': None, 'media': None, 'retweetedTweet': None, 'quotedTweet': None, 'inReplyToTweetId': 1627578899482947584, 'inReplyToUser': {'_type': 'snscrape.modules.twitter.User', 'username': 'iamsrk', 'id': 101311381, 'displayname': 'Shah Rukh Khan', 'rawDescription': None, 'renderedDescription': None, 'descriptionLinks': None, 'verified': None, 'created': None, 'followersCount': None, 'friendsCount': None, 'statusesCount': None, 'favouritesCount': None, 'listedCount': None, 'mediaCount': None, 'location': None, 'protected': None, 'link': None, 'profileImageUrl': None, 'profileBannerUrl': None, 'label': None, 'description': None, 'descriptionUrls': None, 'linkTcourl': None, 'linkUrl': None, 'url': 'https://twitter.com/iamsrk'}, 'mentionedUsers': [{'_type': 'snscrape.modules.twitter.User', 'username': 'iamsrk', 'id': 101311381, 'displayname': 'Shah Rukh Khan', 'rawDescription': None, 'renderedDescription': None, 'descriptionLinks': None, 'verified': None, 'created': None, 'followersCount': None, 'friendsCount': None, 'statusesCount': None, 'favouritesCount': None, 'listedCount': None, 'mediaCount': None, 'location': None, 'protected': None, 'link': None, 'profileImageUrl': None, 'profileBannerUrl': None, 'label': None, 'description': None, 'descriptionUrls': None, 'linkTcourl': None, 'linkUrl': None, 'url': 'https://twitter.com/iamsrk'}], 'coordinates': None, 'place': None, 'hashtags': None, 'cashtags': None, 'card': None, 'viewCount': 633213, 'vibe': None, 'content': '@iamsrk would you choose an elephant sized rabbit or a rabbit sized elephant', 'outlinks': [], 'outlinksss': '', 'tcooutlinks': [], 'tcooutlinksss': '', 'username': 'nanbamfam'}",none,undefined
2023-02-20 09:07:29+00:00,1.6275957888965878e+18,Thanks for reminding I should go now. Have a good life https://t.co/LW3atT880q,,life ,Positive
2023-02-20 08:53:51+00:00,1.6275923563914363e+18,I have been told #Pathaan will release there soon https://t.co/N7g75ewdl4,,Pathan release ,Neutral
,,,,Talented people,Positive
,,,,Working hard and trust,Positive
2023-03-16 15:26:30+00:00,1.6363884797804257e+18,"What a tremendous effort by the whole team of Mrs Chatterjee vs Norway. My Rani shines in the central role as only a Queen can. Director Ashima, shows a human struggle with such sensitivity. Jim, @AnirbanSpeaketh, #Namit, #SaumyaMukherjee, #BalajiGauri all shine. A must watch. https://t.co/xKrphoY6SG",,"A movie directed by Ashima about Rani""s struggle and efforts",undefined
,,,,Directing a film ,Positive
,,,,Saying goodbye and working out,Positive
2023-03-13 09:07:28+00:00,1.635205926239232e+18,"Big hug to @guneetm &amp; @EarthSpectrum for Elephant Whisperers. And @mmkeeravaani #ChandraBose ji @ssrajamouli @AlwaysRamCharan @tarak9999 thank u for showing us all, the way to do it. Both Oscars truly inspirational!!",,Oscar Awards ,Positive
,,,,Pathaan ,Positive
