word,sentiment,class
Watch,Watch,Technology and Gadgets
Inspirational,Appreciation,Personal Growth and Development
At,Watch,Current Events
Showing,Appreciation,Fashion and Style
Congratulations,Believe,Relationships
Knightclub,Download,Sports and Recreation
App,Download,Technology and Gadgets
Believe,Believe,Philosophy and Ethics
Win,Neutral,Sports and Recreation
Stage,Neutral,Entertainment
Business,Entertaining,Work and Career
Download,Download,Technology and Gadgets
Remember,Believe,Personal Growth and Development
Teach,Neutral,Education
Talented,Proud,Work and Career
Making,Entertaining,Hobbies and Interests
Hugging,Appreciation,Relationships
Entertaining,Entertaining,Entertainment
Credit,Congratulatory,Work and Career
Maybelline,Congratulatory,Fashion and Style
Nikla,Proud,Sports and Recreation
Pathan,Proud,Culture and Society
Make,Happiness,Answer: Work and Career
Happy,Happiness,Personal Growth and Development
Educate,Educational,Education - 10. Education
Rockstars,Educational,Entertainment
Bless,Bye,Philosophy and Ethics
Hating,Bye,Culture and Society
Working,Bye,9. Work and Career
Not,neutral,Philosophy and Ethics
applicable,neutral,Work and Career
Shines,Praise,Nature and Environment
Shine,Praise,Hobbies and Interests
Struggle,Praise,Personal Growth and Development
Reminding,Reminding,Personal Growth and Development
Good,Reminding,Philosophy and Ethics
Life,Reminding,Personal Growth and Development
Grateful,Grateful,Personal Growth and Development
Appreciative,Grateful,Personal Growth and Development
Thankful,Grateful,Personal Growth and Development
Enjoy,Enjoy,Hobbies and Interests
Decide,Enjoy,Philosophy and Ethics
Love,Love,Relationships
Right,Love,Philosophy and Ethics
Back,Love,Sports and Recreation
Pray,Neutral,Philosophy and Ethics
Respect,Neutral,Culture and Society
Laughing,Laughing,Entertainment
Counting,Laughing,Education
P,Laughing,Nature and Environment
Honor,Neutral,Culture and Society
Cherish,Neutral,Home and Family
Release,Hope,Current Events
Pathaan,Hope,Culture and Society
Soon,Hope,Current Events
Mat,Acceptance,Culture and Society
Maan,Acceptance,Culture and Society
Jawan,Acceptance,Sports and Recreation
Finish,Neutral,Personal Growth and Development
Get,Neutral,Work and Career
Shoot,Neutral,Sports and Recreation
Exaggerate,Exaggerate,Philosophy and Ethics
Sentiment,Exaggerate,Philosophy and Ethics
Name,Exaggerate,Personal Information
Announce,Listen,Current Events
Listen,Listen,Work and Career
Wait,Listen,Work and Career
Spend,Neutral,Work and Career
Clear,Neutral,Nature and Environment
Kamaal,Neutral,Hobbies and Interests
Live,Neutral,Home and Family
Guess,Neutral,Hobbies and Interests
