date,id,rawContent,retweetedTweet,quotedTweet,hashtags,replyCount,retweetCount,likeCount,quoteCount,viewCount,clean
2023-03-22 22:31:19+00:00,1638669712753295361,Yeh tumse zyaada talented nikla….chota Pathaan,,"{'_type': 'snscrape.modules.twitter.Tweet', 'url': 'https://twitter.com/IrfanPathan/status/1638522019896590338', 'date': '2023-03-22T12:44:26+00:00', 'rawContent': 'Khansaab @iamsrk please add one more cutest fan in your list… https://t.co/peCMLOorbJ', 'renderedContent': 'Khansaab @iamsrk please add one more cutest fan in your list… https://t.co/peCMLOorbJ', 'id': 1638522019896590338, 'user': {'_type': 'snscrape.modules.twitter.User', 'username': 'IrfanPathan', 'id': 1288050427, 'displayname': 'Irfan Pathan', 'rawDescription': 'Professional Cricketer - Plays for the Indian Cricket Team, Baroda. Loves Driving, Biryani, Music,Little Reading:)', 'renderedDescription': 'Professional Cricketer - Plays for the Indian Cricket Team, Baroda. Loves Driving, Biryani, Music,Little Reading:)', 'descriptionLinks': None, 'verified': True, 'created': '2013-03-22T07:38:59+00:00', 'followersCount': 6328113, 'friendsCount': 107, 'statusesCount': 9250, 'favouritesCount': 17293, 'listedCount': 984, 'mediaCount': 736, 'location': 'Vadodra, Gujarat, India', 'protected': False, 'link': {'_type': 'snscrape.modules.twitter.TextLink', 'text': 'facebook.com/OfficialIrfanP…', 'url': 'http://www.facebook.com/OfficialIrfanPathan', 'tcourl': 'https://t.co/HtjgRPz7Sj', 'indices': [0, 23]}, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1558774456411369472/IB56E78o_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/1288050427/1410437724', 'label': None, 'description': 'Professional Cricketer - Plays for the Indian Cricket Team, Baroda. Loves Driving, Biryani, Music,Little Reading:)', 'descriptionUrls': None, 'linkTcourl': 'https://t.co/HtjgRPz7Sj', 'linkUrl': 'http://www.facebook.com/OfficialIrfanPathan', 'url': 'https://twitter.com/IrfanPathan'}, 'replyCount': 646, 'retweetCount': 3884, 'likeCount': 51659, 'quoteCount': 108, 'conversationId': 1638522019896590338, 'lang': 'en', 'source': '<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>', 'sourceUrl': 'http://twitter.com/download/iphone', 'sourceLabel': 'Twitter for iPhone', 'links': None, 'media': [{'_type': 'snscrape.modules.twitter.Video', 'thumbnailUrl': 'https://pbs.twimg.com/ext_tw_video_thumb/1638521683505029121/pu/img/HcvbgCQKydmkDuKq.jpg', 'variants': [{'_type': 'snscrape.modules.twitter.VideoVariant', 'url': 'https://video.twimg.com/ext_tw_video/1638521683505029121/pu/vid/320x568/juNWsZEVdS9decdO.mp4?tag=12', 'contentType': 'video/mp4', 'bitrate': 632000}, {'_type': 'snscrape.modules.twitter.VideoVariant', 'url': 'https://video.twimg.com/ext_tw_video/1638521683505029121/pu/vid/480x852/kXR9J0XctjKfY6kk.mp4?tag=12', 'contentType': 'video/mp4', 'bitrate': 950000}, {'_type': 'snscrape.modules.twitter.VideoVariant', 'url': 'https://video.twimg.com/ext_tw_video/1638521683505029121/pu/pl/9kneO36tAJZxSFOR.m3u8?tag=12&container=fmp4', 'contentType': 'application/x-mpegURL', 'bitrate': None}, {'_type': 'snscrape.modules.twitter.VideoVariant', 'url': 'https://video.twimg.com/ext_tw_video/1638521683505029121/pu/vid/720x1280/XVx6qOIJImPK5M9X.mp4?tag=12', 'contentType': 'video/mp4', 'bitrate': 2176000}], 'duration': 31.42, 'views': 1797400, 'altText': None}], 'retweetedTweet': None, 'quotedTweet': None, 'inReplyToTweetId': None, 'inReplyToUser': None, 'mentionedUsers': [{'_type': 'snscrape.modules.twitter.User', 'username': 'iamsrk', 'id': 101311381, 'displayname': 'Shah Rukh Khan', 'rawDescription': None, 'renderedDescription': None, 'descriptionLinks': None, 'verified': None, 'created': None, 'followersCount': None, 'friendsCount': None, 'statusesCount': None, 'favouritesCount': None, 'listedCount': None, 'mediaCount': None, 'location': None, 'protected': None, 'link': None, 'profileImageUrl': None, 'profileBannerUrl': None, 'label': None, 'description': None, 'descriptionUrls': None, 'linkTcourl': None, 'linkUrl': None, 'url': 'https://twitter.com/iamsrk'}], 'coordinates': None, 'place': None, 'hashtags': None, 'cashtags': None, 'card': None, 'viewCount': 4349402, 'vibe': None, 'content': 'Khansaab @iamsrk please add one more cutest fan in your list… https://t.co/peCMLOorbJ', 'outlinks': [], 'outlinksss': '', 'tcooutlinks': [], 'tcooutlinksss': '', 'username': 'IrfanPathan'}",,1044,6233,69641,116,2170986,yeh tumse zyaada talented nikla chota pathaan
2023-03-22 04:33:11+00:00,1638398392954138625,"Pathaan ki party ab @PrimeVideoIN par 🔥
#PathaanOnPrime in Hindi, Tamil and Telugu. Watch now!
@deepikapadukone | @TheJohnAbraham |  #SiddharthAnand | @yrf https://t.co/9opW30fBsG",,,"['PathaanOnPrime', 'SiddharthAnand']",1996,6180,44189,230,991574,pathaan ki party ab primevideoinpar pathaanonprime hindi tamil telugu watch deepikapadukone thejohnabraham siddharthanand yrf https co
2023-03-16 15:26:30+00:00,1636388479780425729,"What a tremendous effort by the whole team of Mrs Chatterjee vs Norway. My Rani shines in the central role as only a Queen can. Director Ashima, shows a human struggle with such sensitivity. Jim, @AnirbanSpeaketh, #Namit, #SaumyaMukherjee, #BalajiGauri all shine. A must watch. https://t.co/xKrphoY6SG",,,"['Namit', 'SaumyaMukherjee', 'BalajiGauri']",2074,5627,49170,362,1510236,tremendous effort whole team mrs chatterjee vs norway rani shines central role queen director ashima shows human struggle sensitivity jim anirbanspeaketh namit saumyamukherjee balajigauri shine must watch https co
2023-03-13 09:07:28+00:00,1635205926239232000,"Big hug to @guneetm &amp; @EarthSpectrum for Elephant Whisperers. And @mmkeeravaani #ChandraBose ji @ssrajamouli @AlwaysRamCharan @tarak9999 thank u for showing us all, the way to do it. Both Oscars truly inspirational!!",,,['ChandraBose'],1233,10026,71244,230,1642901,big hug guneetm amp earthspectrum elephant whisperers mmkeeravaani chandrabose ji ssrajamouli alwaysramcharan thank u showing us way oscars truly inspirational
2023-03-08 11:59:10+00:00,1633437198291697664,“ITS NOT THE BUSINESS….ITS STRICTLY PERSONAL”. Making ppl smile &amp; entertaining them is our business &amp; if we don’t take it personally….it will never fly. Thanks to all who gave Pathaan love &amp; all who worked on the film &amp; proved ki mehnat lagan aur bharosa abhi Zinda Hai.Jai Hind,,,,3148,9129,68669,587,2470859,business strictly personal making ppl smile amp entertaining business amp dont take personally never fly thanks gave pathaan love amp worked film amp proved ki mehnat lagan aur bharosa abhi zinda hai jai hind
2023-02-26 10:29:58+00:00,1629790869888065536,"At that stage…in that age…..raw….uncontrolled…craft still undefined….surrounded by the best cast &amp; crew in India and a director who I miss every day! Taught me that sometimes u lose the moment….but win everything else…I am sure somewhere, some world Sunil did too ! https://t.co/lpNlmrhjZN",,,,2729,9232,91110,611,3470267,stagein age raw uncontrolledcraft still undefined surrounded best cast amp crew india director miss every day taught sometimes u lose moment win everything elsei sure somewhere world sunil https co lpnlmrhjzn
2023-02-22 09:10:34+00:00,1628321340343328769,Huṁ paṇa tanē prēma karuṁ chuṁ Baa.,,"{'_type': 'snscrape.modules.twitter.Tweet', 'url': 'https://twitter.com/musicwaalaa/status/1627943106401406979', 'date': '2023-02-21T08:07:36+00:00', 'rawContent': 'Turns out @iamsrk is my Baa’s forever crush ! Hope this reaches him ❤️ https://t.co/Yvelmf5qBq', 'renderedContent': 'Turns out @iamsrk is my Baa’s forever crush ! Hope this reaches him ❤️ https://t.co/Yvelmf5qBq', 'id': 1627943106401406979, 'user': {'_type': 'snscrape.modules.twitter.User', 'username': 'musicwaalaa', 'id': 212345461, 'displayname': 'Siddharth Amit Bhavsar', 'rawDescription': 'Composer-Writer-Musician', 'renderedDescription': 'Composer-Writer-Musician', 'descriptionLinks': None, 'verified': False, 'created': '2010-11-05T20:39:20+00:00', 'followersCount': 2977, 'friendsCount': 55, 'statusesCount': 246, 'favouritesCount': 164, 'listedCount': 4, 'mediaCount': 21, 'location': 'Mumbai', 'protected': False, 'link': {'_type': 'snscrape.modules.twitter.TextLink', 'text': 'instagram.com/musicwaala', 'url': 'http://www.instagram.com/musicwaala', 'tcourl': 'https://t.co/R9CgAV0DvT', 'indices': [0, 23]}, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1268962877660000257/94AD-CLb_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/212345461/1667915163', 'label': None, 'description': 'Composer-Writer-Musician', 'descriptionUrls': None, 'linkTcourl': 'https://t.co/R9CgAV0DvT', 'linkUrl': 'http://www.instagram.com/musicwaala', 'url': 'https://twitter.com/musicwaalaa'}, 'replyCount': 193, 'retweetCount': 1049, 'likeCount': 4770, 'quoteCount': 67, 'conversationId': 1627943106401406979, 'lang': 'en', 'source': '<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>', 'sourceUrl': 'http://twitter.com/download/iphone', 'sourceLabel': 'Twitter for iPhone', 'links': None, 'media': [{'_type': 'snscrape.modules.twitter.Video', 'thumbnailUrl': 'https://pbs.twimg.com/ext_tw_video_thumb/1627943041821736965/pu/img/qAoPQwSVG6utfGsX.jpg', 'variants': [{'_type': 'snscrape.modules.twitter.VideoVariant', 'url': 'https://video.twimg.com/ext_tw_video/1627943041821736965/pu/pl/bhLssC5GMdBmsn1M.m3u8?tag=12&container=fmp4', 'contentType': 'application/x-mpegURL', 'bitrate': None}, {'_type': 'snscrape.modules.twitter.VideoVariant', 'url': 'https://video.twimg.com/ext_tw_video/1627943041821736965/pu/vid/480x852/i-YobO_dNVouK8z7.mp4?tag=12', 'contentType': 'video/mp4', 'bitrate': 950000}, {'_type': 'snscrape.modules.twitter.VideoVariant', 'url': 'https://video.twimg.com/ext_tw_video/1627943041821736965/pu/vid/720x1280/B5BxiKRhX7hxEqTC.mp4?tag=12', 'contentType': 'video/mp4', 'bitrate': 2176000}, {'_type': 'snscrape.modules.twitter.VideoVariant', 'url': 'https://video.twimg.com/ext_tw_video/1627943041821736965/pu/vid/320x568/-GuP9-ZsedFntqKn.mp4?tag=12', 'contentType': 'video/mp4', 'bitrate': 632000}], 'duration': 21.833, 'views': 716153, 'altText': None}], 'retweetedTweet': None, 'quotedTweet': None, 'inReplyToTweetId': None, 'inReplyToUser': None, 'mentionedUsers': [{'_type': 'snscrape.modules.twitter.User', 'username': 'iamsrk', 'id': 101311381, 'displayname': 'Shah Rukh Khan', 'rawDescription': None, 'renderedDescription': None, 'descriptionLinks': None, 'verified': None, 'created': None, 'followersCount': None, 'friendsCount': None, 'statusesCount': None, 'favouritesCount': None, 'listedCount': None, 'mediaCount': None, 'location': None, 'protected': None, 'link': None, 'profileImageUrl': None, 'profileBannerUrl': None, 'label': None, 'description': None, 'descriptionUrls': None, 'linkTcourl': None, 'linkUrl': None, 'url': 'https://twitter.com/iamsrk'}], 'coordinates': None, 'place': None, 'hashtags': None, 'cashtags': None, 'card': None, 'viewCount': 2281934, 'vibe': None, 'content': 'Turns out @iamsrk is my Baa’s forever crush ! Hope this reaches him ❤️ https://t.co/Yvelmf5qBq', 'outlinks': [], 'outlinksss': '', 'tcooutlinks': [], 'tcooutlinksss': '', 'username': 'musicwaalaa'}",,953,4267,35284,179,2125971,hu paa tan prma karu chu baa
2023-02-21 07:48:02+00:00,1627938179935506433,How lucky to have teachers and professors who can teach us and have fun with us also.  Educational Rockstars all of them!! https://t.co/o94F1cVcTV,,,,1636,8794,73926,505,3055109,lucky teachers professors teach us fun us also educational rockstars https co
2023-02-20 09:09:57+00:00,1627596406969208832,Bye everyone. Thanks for your time. May God bless you all. Have to start working out now….body bula rahi hai…hate it now when I don’t have the six pack! See you guys in the theatres. #Pathaan,,,['Pathaan'],591,2376,23134,90,957962,bye everyone thanks time may god bless start working body bula rahi haihate dont six pack see guys theatres pathaan
2023-02-20 09:07:29+00:00,1627595788896587778,Thanks for reminding I should go now. Have a good life https://t.co/LW3atT880q,,,,236,1143,8517,26,679265,thanks reminding go good life https co
