post,word,sentiment
https co i3pdwd5gl7,"love,",positive
https co i3pdwd5gl7,"happy,",positive
https co i3pdwd5gl7,awesome.,positive
https co j1tx5obii2,"follow,",positive
https co j1tx5obii2,"like,",positive
https co j1tx5obii2,retweet.,positive
9 https co akfkghxhnz,"link,",positive
9 https co akfkghxhnz,followed by,positive
9 https co akfkghxhnz,tweet.,positive
https co dnd3he3w3n,"follow,",positive.
https co dnd3he3w3n,"like,",positive.
https co dnd3he3w3n,retweet.,positive.
https co 9wbzlb3ro2,"love,",positive
https co 9wbzlb3ro2,"happy,",positive
https co 9wbzlb3ro2,awesome.,positive
union cabinet approval innovative citiis 2 0 programme foster circular economy enhance climate resilience across cities step aligns india commitments towards better sustainable planet https co klbfqg2jev,,positive
three weeks left international yoga day let us gear celebrate ancient practice enhances mental physical well let us create healthier happier society,,positive
todays cabinet decision marks special milestone quest strengthen food security support farmers worlds largest grain storage plan set revolutionise agri infrastructure reduce wastage ensure better prices farmers https co 5hdd3rfygo,revolutionize,positive
todays cabinet decision marks special milestone quest strengthen food security support farmers worlds largest grain storage plan set revolutionise agri infrastructure reduce wastage ensure better prices farmers https co 5hdd3rfygo,agrifood,positive
todays cabinet decision marks special milestone quest strengthen food security support farmers worlds largest grain storage plan set revolutionise agri infrastructure reduce wastage ensure better prices farmers https co 5hdd3rfygo,reduce,positive
todays cabinet decision marks special milestone quest strengthen food security support farmers worlds largest grain storage plan set revolutionise agri infrastructure reduce wastage ensure better prices farmers https co 5hdd3rfygo,wastage,positive
todays cabinet decision marks special milestone quest strengthen food security support farmers worlds largest grain storage plan set revolutionise agri infrastructure reduce wastage ensure better prices farmers https co 5hdd3rfygo,ensure,positive
todays cabinet decision marks special milestone quest strengthen food security support farmers worlds largest grain storage plan set revolutionise agri infrastructure reduce wastage ensure better prices farmers https co 5hdd3rfygo,better,positive
2022 23 gdp growth figures underscore resilience indian economy amidst global challenges robust performance along overall optimism compelling macro economic indicators exemplify promising trajectory economy tenacity people,,optimism
https co uznskwubrv,"follow,",positive
https co uznskwubrv,"like,",positive
https co uznskwubrv,retweet.,positive
https co hyqmpiwgju,"love,",positive
https co hyqmpiwgju,"happy,",positive
https co hyqmpiwgju,hope.,positive
pleasure interact majesty king norodom sihamoni cambodia today positive exchange views close cultural people people ties development partnership atpeacepalacekh https co vx8h8woyso,"pleasure,",pleasure
pleasure interact majesty king norodom sihamoni cambodia today positive exchange views close cultural people people ties development partnership atpeacepalacekh https co vx8h8woyso,"interaction,",pleasure
pleasure interact majesty king norodom sihamoni cambodia today positive exchange views close cultural people people ties development partnership atpeacepalacekh https co vx8h8woyso,majesty.,pleasure
pleasure interact majesty king norodom sihamoni cambodia today positive exchange views close cultural people people ties development partnership atpeacepalacekh https co vx8h8woyso,king noro.,pleasure
pleasure interact majesty king norodom sihamoni cambodia today positive exchange views close cultural people people ties development partnership atpeacepalacekh https co vx8h8woyso,atpaea.,pleasure
pleasure interact majesty king norodom sihamoni cambodia today positive exchange views close cultural people people ties development partnership atpeacepalacekh https co vx8h8woyso,cambodi.,pleasure
delighted welcome king hm norodom sihamoni cambodia nations share deep historical cultural ties look forward strengthening friendship cooperation even may visit mark new chapter india cambodia relations https co s5kb8g9ccw,"Welcome,",welcome
delighted welcome king hm norodom sihamoni cambodia nations share deep historical cultural ties look forward strengthening friendship cooperation even may visit mark new chapter india cambodia relations https co s5kb8g9ccw,"King,",welcome
delighted welcome king hm norodom sihamoni cambodia nations share deep historical cultural ties look forward strengthening friendship cooperation even may visit mark new chapter india cambodia relations https co s5kb8g9ccw,NeroDom.,welcome
delighted welcome king hm norodom sihamoni cambodia nations share deep historical cultural ties look forward strengthening friendship cooperation even may visit mark new chapter india cambodia relations https co s5kb8g9ccw,NeroDom.,welcome
past 9 years strived uphold dignity enhance livelihoods india poorest numerous initiatives transformed millions lives mission continues uplift every citizen fulfill dreams 9yearsofseva https co fsydmgoacf,Strive,positive
past 9 years strived uphold dignity enhance livelihoods india poorest numerous initiatives transformed millions lives mission continues uplift every citizen fulfill dreams 9yearsofseva https co fsydmgoacf,Uphold,positive
past 9 years strived uphold dignity enhance livelihoods india poorest numerous initiatives transformed millions lives mission continues uplift every citizen fulfill dreams 9yearsofseva https co fsydmgoacf,Dignity,positive
past 9 years strived uphold dignity enhance livelihoods india poorest numerous initiatives transformed millions lives mission continues uplift every citizen fulfill dreams 9yearsofseva https co fsydmgoacf,Enhance,positive
past 9 years strived uphold dignity enhance livelihoods india poorest numerous initiatives transformed millions lives mission continues uplift every citizen fulfill dreams 9yearsofseva https co fsydmgoacf,Life,positive
9 9yearsofseva https co ugnvbyqwvf,"9 years old,",positive
9 9yearsofseva https co ugnvbyqwvf,seva,positive
