Prompt,Output
love,['love']
happy,"['happy', 'happy']"
awesome,"['awesome', 'awesome']"
follow,"['follow', 'follow']"
like,"['like', 'like', 'like', 'like', 'like']"
retweet,"['I am a student at XYZ University.', 'I am currently studying for my exams.', 'I enjoy reading, playing video games and listening to music.', 'I enjoy watching movies and TV shows.', 'I am planning a trip to Europe next summer.', 'I love trying new cuisines and experimenting with different flavors.', 'I exercise regularly to maintain my physical health.']"
link,[]
followed,"['Name,', 'Address', 'World News,', 'Sports Scores', 'Reading,', 'Music', 'TV Shows,', 'Movie Trailers', 'Destinations,', 'Travel Tips', 'Italian Cuisine,', 'Mexican Food', 'Exercise,', 'Healthy Habits', 'Friendship,', 'Family', 'Job Interview,']"
tweet,"['twet', 'twet', 'twet']"
follow,"['follow', 'follow']"
like,"['like', 'like', 'like', 'like']"
retweet,"['I am a student at the University of California, Berkeley. I am majoring in Computer Science and minoring in Artificial Intelligence.', ""I am currently working on a project for my internship. It's an AI-based project that involves analyzing data from a social media platform."", 'I enjoy playing video games, reading books and watching movies.', 'I love watching TV shows and movies, especially those that are based on science fiction.']"
love,"['love', 'love']"
happy,"['happy', 'happy']"
awesome,"['awesome', 'awesome']"
nan,"['nan', 'nan', 'nan']"
nan,"['nan', 'nan', 'nan']"
revolutionize,"['revolutionize', 'revolutionize']"
agrifood,"['agrifood', 'agrifood', 'agrifood', 'agrifood', 'agrifood']"
reduce,[]
wastage,"['wasstage', 'wasstage']"
ensure,"['ensure', 'ensure', 'ensuring that the door is closed before leaving', 'ensuring that the car is parked safely.']"
better,"[""What's your name?"", ""What's the latest news?"", 'I like to read, write and play video games.', 'I love watching movies and TV shows.', ""I've been to Paris, France and New York City."", 'I love trying new cuisines.', 'I exercise regularly to stay healthy.', 'I have a good relationship with my family.']"
nan,"['nan', 'nan', 'nan']"
follow,['follow']
like,"['like', 'like', 'like', 'like', 'like']"
retweet,"['Classify the following words into one of the categories: Personal Information, Current Events, Hobbies and Interests, Entertainment, Travel, Food and Dining, Health and Fitness, Relationships, Work and Career, Education, Culture and Society, Sports and Recreation, Personal Growth and Development, Fashion and Style, Home and Family, Technology and Gadgets, Art and Creativity, Pets and Animals, Philosophy and Ethics, Nature and Environment.', 'Classify the following words into one of the categories: Personal Information, Current Events.']"
love,"['love', 'love']"
happy,"['happy', 'happy']"
hope,['hope.']
pleasure,[]
interaction,[]
majesty,"['majesty', 'majesty']"
king noro,['king noro']
atpaea,[]
cambodi,"['cambodi', 'cambodi']"
welcome,[]
king,"['king', 'king']"
nerodom,['nerodom']
nerodom,"['nerodom', 'nerodom']"
strive,[]
uphold,[]
dignity,['diginity']
enhance,[]
life,"['life', 'life', 'life', 'life', 'life', 'life', 'life']"
9 years old,[]
seva,"['sevam', 'sevam', 'sevam', 'sevaaam', 'sevatam', 'sevam', 'sevam', 'sevam', 'sevam', 'sevaaam']"
ugnvb,['ugnvb']
nan,"['nan', 'nan', 'nan']"
nan,"['nan', 'nan', 'nan']"
nan,"['nan', 'nan', 'nan']"
today,[]
completed 9 years service nation honor privilege serve,[]
filled humility,['filled humility']
gratitude desire improve lives people,"['I am a student at XYZ University. I enjoy studying and learning new things.', ""I am currently working on a project for my internship. It's exciting to be working on something new."", 'I enjoy reading, playing video games and listening to music.', 'I love watching movies and TV shows, especially comedies.', 'I love traveling to new places and experiencing different cultures.']"
guided desire improve lives people,"['I am a student at XYZ University. I enjoy studying and learning new things.', ""I am currently working on a project for my internship. It's been challenging but rewarding."", 'I enjoy reading, playing video games and listening to music.', 'I love watching movies and TV shows.', 'I have been to several places in my lifetime, including Europe and Asia.']"
