tweetDate,userId,userName,tweetId,tweetText,retweetedTweet,quotedTweet,hashtag,replyCount,retweetCount,likeCount,viewCount
2023-05-31 16:06:51+00:00,18839785,narendramodi,1663940109887229954,"पांच साल पहले राजस्थान के लोगों ने कांग्रेस को जनादेश दिया था, लेकिन बदले में उन्हें अस्थिरता, अराजकता और तुष्टिकरण में डूबी सरकार ही मिली। https://t.co/I3PdWd5Gl7",,,,428,1877,5757,167015.0
2023-05-31 16:06:30+00:00,18839785,narendramodi,1663940022452776960,"आज देश में हर तरफ विकास की जो धारा बह रही है, वो इसलिए संभव हो पाई है, क्योंकि हम कांग्रेस की लूट के सभी रास्तों को बंद करने में निरंतर जुटे हैं। https://t.co/j1tx5obIi2",,,,290,1443,3717,123983.0
2023-05-31 16:05:56+00:00,18839785,narendramodi,1663939877912686592,"दुनिया के सामने आज यह एक बड़ा सवाल है कि बीते 9 वर्षों में भारत में इतने बड़े-बड़े बदलाव कैसे आए। इसका जवाब है- सबका साथ,सबका विकास और वंचितों को वरीयता। https://t.co/AkfKGHXHNZ",,,,312,1694,4660,140949.0
2023-05-31 15:54:06+00:00,18839785,narendramodi,1663936900774723586,हमने माताओं-बहनों-बेटियों के जीवन चक्र से जुड़ी हर समस्या पर ध्यान दिया और उसके ये अभूतपूर्व परिणाम रहे हैं… https://t.co/DNd3He3w3N,,,,798,2385,7417,246894.0
2023-05-31 15:53:49+00:00,18839785,narendramodi,1663936832025907200,हमारे किसान भाई-बहनों के लिए ये सब पहली बार हुआ है… https://t.co/9WbzlB3RO2,,,,236,1729,4960,151423.0
2023-05-31 14:57:54+00:00,18839785,narendramodi,1663922760089739264,The Union Cabinet's approval for the innovative CITIIS 2.0 programme will foster a circular economy and enhance climate resilience across our cities. This step aligns with India's commitments towards a better and more sustainable planet.  https://t.co/klbfqG2Jev,,,,208,1798,7002,276904.0
2023-05-31 14:45:27+00:00,18839785,narendramodi,1663919625736798212,"Just three weeks left for International Yoga Day! 

Let us gear up and celebrate this ancient practice that enhances our mental and physical well-being. Let us create a healthier and happier society.",,https://twitter.com/moayush/status/1663779914884222977,,158,1662,5235,314868.0
2023-05-31 14:44:29+00:00,18839785,narendramodi,1663919380504223746,"Today’s Cabinet decision marks a special milestone in our quest to strengthen food security and support farmers. The World’s Largest Grain Storage Plan is set to revolutionise our agri-infrastructure, reduce wastage and ensure better prices for farmers. https://t.co/5HDD3RfygO",,https://twitter.com/AmitShah/status/1663900053507850242,,153,1831,6241,298753.0
2023-05-31 14:42:26+00:00,18839785,narendramodi,1663918864713891843,"The 2022-23 GDP growth figures underscore the resilience of the Indian economy amidst global challenges. This robust performance along with overall optimism and compelling macro-economic indicators, exemplify the promising trajectory of our economy and the tenacity of our people.",,,,529,3809,15293,473705.0
2023-05-31 12:43:36+00:00,18839785,narendramodi,1663888960349933568,"पुष्कर में भगवान ब्रह्माजी के मंदिर में पूजन और दिव्य दर्शन का सौभाग्य मिला। देशवासियों के उत्तम स्वास्थ्य, समृद्धि और कल्याण की कामना की। https://t.co/uZNSKWubrV",,,,1286,6710,45131,802405.0
2023-05-31 11:20:51+00:00,18839785,narendramodi,1663868134963531777,"वीरभूमि राजस्थान को कोटि- कोटि नमन। अजमेर में एक विशाल जनसभा को संबोधित कर रहा हूं। जरूर देखिए!
 https://t.co/hYQMpiWGjU",,,,1384,5781,22875,844432.0
2023-05-30 15:27:58+00:00,18839785,narendramodi,1663567939289890817,It was a pleasure to interact with His Majesty King Norodom Sihamoni of Cambodia today. We had a positive exchange of views on our close cultural and people to people ties and development partnership. @PeacePalaceKH https://t.co/vx8H8wOYSO,,,,1091,5403,34242,974356.0
2023-05-30 10:05:28+00:00,18839785,narendramodi,1663486777414541313,"Delighted to welcome King HM Norodom Sihamoni of Cambodia. Our nations share deep historical and cultural ties, and we look forward to strengthening our friendship and cooperation even further. May his visit mark a new chapter in India-Cambodia relations. https://t.co/S5Kb8g9CCw",,,,826,5716,33050,1004783.0
2023-05-30 06:53:04+00:00,18839785,narendramodi,1663438359992365057,"Over the past 9 years, we have strived to uphold the dignity and enhance the livelihoods of India's poorest. Through numerous initiatives we have transformed millions of lives. Our mission continues - to uplift every citizen and fulfill their dreams. #9YearsOfSeva https://t.co/FsydmGoAcf",,,['9YearsOfSeva'],1047,4874,16818,964379.0
2023-05-30 06:49:03+00:00,18839785,narendramodi,1663437345528643586,"बीते 9 वर्षों में भारत ने विकास की एक नई परिभाषा गढ़ी है। ये जनभागीदारी का ही परिणाम है कि गरीब हों या वंचित, नारीशक्ति हो या युवाशक्ति, हर वर्ग का सशक्तिकरण हुआ है। इस दौरान देश ने सभी क्षेत्रों में नवनिर्माण की मिसाल कायम की है। #9YearsOfSeva https://t.co/UGnVbYQWvf",,,['9YearsOfSeva'],1957,6755,24467,1625573.0
2023-05-30 05:39:42+00:00,18839785,narendramodi,1663419896154447873,"Saddened by the passing away of Lok Sabha MP from Chandrapur, Shri Balubhau Narayanrao Dhanorkar Ji. He will be remembered for his contribution to public service and empowering the poor. Condolences to his family and supporters. Om Shanti.",,,,2176,3675,20531,861258.0
