word,class
announce,Culture and Society
running,Sports and Recreation
presidential,Current Events
clears,Nature and Environment
fierce,Sports and Recreation
gop,Politics and Government
hurdle,Sports and Recreation
committee,Politics and Government
diagnosed,Health and Fitness
continues live home husband,Personal Information
hospice care,Health and Fitness
collapse,Current Events
demolition plans,Home and Family
iowa apartment building,Travel
rescue,Personal Growth and Development
crews,Work and Career
collapsed,Current Events
president,Politics and Government
erdogan,Politics and Government
white house,Politics and Government
house republican,Politics and Government
reach agreement,Politics and Government
impeach,Politics and Government
faulted,Work and Career
pattern misconduct,Work and Career
congress,Politics and Government
debt ceiling,Politics and Government
us government,Politics and Government
oath keeper army veteran,Politics and Government
jessica watkins,Politics and Government
sentenced 8 5 years prison,Legal and Law
2020 election conspiracy plot,Politics and Government
us capito l riot,Politics and Government
co l3ljmlzquf,Unknown
2020 election conspiracy plot,Politics and Government
oath,Politics and Government
keeper,Sports and Recreation
leader,Work and Career
signs,Health and Fitness
law,Legal and Law
limit,Unknown
first,Education
least,Education
apparent shooting,Current Events
japlano,nan
overcome,Personal Growth and Development
hardships,Personal Growth and Development
abuse,Health and Fitness
announce,Current Events
campaign,Work and Career
president,Work and Career
nan,nan
nan,nan
announcement,Current Events
campaign,Work and Career
presidential,Current Events
extends,Work and Career
journalist,Work and Career
pre trial detention,Work and Career
state media,Current Events
nan,nan
judge,Work and Career
amend,Work and Career
defamation,Work and Career
reinforces,Work and Career
warning,Health and Fitness
little time left,Personal Growth and Development
address,Work and Career
debt ceiling,Work and Career
ban,Travel
state,Culture and Society
us constitution,Education
tiktok,Entertainment
ban,Travel
affirming care,Health and Fitness
republican gov jim pillea,nan
guilty,Legal
pleas,Legal
bryan kohberger,nan
nan,nan
turkmenistan,Travel
presidential election candidate,Current Events
erdogan,Current Events
least,Education
several others,nan
injured,Health and Fitness
fine,Legal
record breaking,Sports and Recreation
staff level talks,Current Events
resume,Work and Career
set,Technology and Gadgets
national treasure,Entertainment
202 203 preakness stakeshttp,Sports and Recreation
co zpxposhkhy,nan
claims,Legal and Government
capture,Art and Creativity
ukrainian,Culture and Society
nebraska,Travel
justice department,Legal and Government
wins antitrust lawsuit sought end alliance jetblue american airlines,Legal and Government
punxccnnotn,nan
cleveland,Travel
civil rights movement,Culture and Society
browns,Sports and Recreation
republican,Political
scoott,nan
south carolina,Travel
nan,nan
nan,nan
recommend,Suggestion
approval,Legal and Government
pfizer,Health and Fitness
disney,Entertainment
scraps,Food and Dining
plans,Work and Career
supreme court,Legal and Government
shields,Sports and Recreation
twitter,Technology and Gadgets
supreme court,Legal and Government
andy warhol,Art and Creativity
prince silk screens,Art and Creativity
withdraws,Work and Career
due injury,Health and Fitness
next year,Time and Dates
expected,Anticipation
entered,Legal and Government
next week,Time and Dates
nan,nan
vote,Political
democrat,Political
gop rep,Political
nan,nan
nan,nan
prize,Entertainment
husband,Relationships
wife,Relationships
new,Education
job,Work and Career
plead guilty,Law and Crime
george santos,Personal Information
republican,Politics
verdict,Law and Crime
trial,Law and Crime
defamation,Law and Crime
islamic jihad,Politics
targeting gazan militants,Politics
three commanders among killed,Politics
shooting,Law and Crime
texas mall,Travel
33 year old man,Personal Information
least,General
seven,General
dead,General
migrants,Politics
officers,Law and Crime
euthanized,Pets and Animals
covid 19,Health and Fitness
longer global health emergency world health organization says,Health and Fitness
surprising,General
addition,General
