Created,Likes,Source,Tweet,Topic
2023-02-15 03:38:27+00:00,0,Khoros CX,@MStampler You may be having an issue with your server. We would suggest using a different server or device in place of what you are currently using to see if that fixes the problem. Please send us a DM if you are able to do this and are still having an issue. ^TS,"Topic: Technical Issue
Sentiment: Helpfulness"
2023-02-15 02:58:35+00:00,0,Khoros CX,"@monfrat Great question. There will be a United Club in Terminal A, but unfortunately it will not open for business until mid to late Spring this year. Please stay tuned to https://t.co/MKesTltJg6 for updates on the exact opening date. Sorry. ^TS","Topic: Opening date for a United Club in Terminal A 
Sentiment: Apologetic"
2023-02-15 02:53:34+00:00,0,Khoros CX,@MStampler We're sorry you're having a difficult time with this. Is there a way you can DM a screenshot of the error message that you're getting? ^TS,"Topic: Technical issue
Sentiment: Apologetic"
2023-02-15 02:46:11+00:00,0,Khoros CX,"@MStampler Hello, Meredith. Have you reported this to our Customer Care team? If not, you can do that here: https://t.co/HGEjp7FhOn. If you have, please DM your Customer Care case ID number and we'll look into this for you. ^TS","Topic: Customer Care
Sentiment: Helpfulness"
2023-02-15 02:28:25+00:00,1,Khoros CX,"@tweek_sf Have a wonderful flight, Dave! ^SZ","Topic: Dave's flight 
Sentiment: Positive"
2023-02-15 02:05:52+00:00,0,Khoros CX,"@LeeChristoffers Hi, Lee. Please DM your baggage reference ID number and we'll see if we can make some progress in getting this back to you. Thanks. ^TS","Topic: Getting lost baggage back 
Sentiment: Helpful"
2023-02-15 02:03:59+00:00,0,Khoros CX,"@Ethan_Narber We'd like to look more into your upcoming flight, Ethan. Please send us a DM with your confirmation number and email address, so we can see how we can help. ^KJ https://t.co/Y6hG6u3i8R","Topic: Upcoming flight
Sentiment: Positive"
2023-02-15 02:01:31+00:00,1,Khoros CX,"@Newsie2 Hey Jessica, thanks for reaching out today. We hope you enjoy the flight and please feel free to send us a DM if any questions arise throughout your travels. ^TK https://t.co/Y6hG6u3i8R","Topic: Customer service 
Sentiment: Positive"
2023-02-15 01:41:28+00:00,0,Khoros CX,"@viagetty4206969 Hey Dr. Chester, when you have a moment, please send us a DM with your confirmation number so we can take a closer look into your reservation. ^TK https://t.co/Y6hG6u3i8R","Topic: Request for confirmation number
Sentiment: Neutral"
2023-02-15 01:33:40+00:00,0,Khoros CX,"@christelestrow1 We apologize for the delay today, Christele. We ese that you should you on your way to Houston shortly. Feel free to reach out to us via DM should you have any questions or concerns in the future. ^SZ","Topic: Apology for Delay 
Sentiment: Positive"
2023-02-15 01:21:19+00:00,0,Khoros CX,"@WeinDC Yes, this is the current departure time. ^SZ https://t.co/Y6hG6u3i8R","Topic: Departure Time 
Sentiment: Neutral"
