Prompt,Output
magnificent new home people uphold constitution represent every citizen great nation protect diversity one people atnarendramodi ji new parliament building new india age old dream glory india jai hind myparliamentmypride,['exciting']
today day get happy forever love baby https co a0fzh3xcyx,['positive']
awesome cant wait get back celebrate feeling extreme pride love u jaanz,['awesome']
ok thank u everyone said face visible jawan poster putting face dont tell director amp producer love u amp hope meet u theatres 7thseptember2023 love u bye https co wvbncvbsf5,['love']
yeh dyavol x wale log mujhe bhi sasti nahi bech rahe kuch karta hoon jawan,['positive']
absolutely arijit always jawan,['absolutely']
isa baar tere ghar mein kar lenge jawan,['positive']
try bring cheer days hours year thank uu give enough love jawan,['thank uu']
issi liye hi aage ki phew jawan,['positive']
ha ha tabhi baandhi thi ki nikal ke maar sakun jawan https co kqo9afytzd,['ha ha']
bhai itne mein toh ott ka subscription nahi milta tujhe poori picture chahiye jawan,['positive']
u talk crowds keep virtue walk kings lose common touch humility amp love forever things transitory jawan,['love']
producer didnt allow said name enough ha ha jawan,['haha']
helmet jawan,['positive']
atatlee dir dedicated smart also lovely baby meer priya feeds good food jawan,['lovely']
atlee anirudh made song lines lip synch tamil hope got right jawan 7thseptember2023,['positive']
least new kind genre atlee special marriage trying bring two ways making films tandem jawan,['positive']
thick headed guess jawan 7thseptember2023,['positive']
humble person brilliant actor learnt lot vijay jawan https co k719qofkpo,['positive']
lovely sweet awesome work pleasure jawan,['lovely']
hectic fun shoot atlee vijay amp nayan everybody else really intense fun jawan,['hectic']
ha ha sweet wish always smiles like everything life jawan,['haha']
everybody working without break pushing themselvesso bit relieved job ease jawan 7thseptember2023,['relieved']
abram feels look like mummy jawan 7thseptember2023,['positive']
many mosquito bites shooting jungles jawan 7thseptember2023,['positive']
atlee team maassss ha ha jawan 7thseptember2023,['positive']
takes time patience make something worthy audiences jawan 7thseptember2023,['positive']
think would like lets asksrk half hour jawan 7thseptember2023,['like']
jawan 7thseptember2023 https co jg597lrnej,['positive']
jawan 7thseptember2023 https co 7pbfy5dfng,['positive']
dyavolx available today 7 30 pm ist 2 00 pm gmt et 10 00 amonly https co dc5lppuh6y https co 4gbdppoanr,['positive']
one day go dyavolx drop goes live tomorrow 30th april limited release https co tdqnwscdmn https co mpzemjddur,['excited']
wearing x sleeve dyavolxdrop goes live 30th april limited release https co tdqnwsc5wp https co wpswf3mlzj,['positive']
drop goes live 30th april limited release https co dc5lppuh6y https co devrnd7xve,['positive']
make mark dyavol x watch film https co vuqc6hjtge https co d810ywcuzh,['positive']
x marks spot 24 hours go https co dc5lppuh6yfollow atdyavol x instagram exclusive content https co dtffep7gqv,['positive']
lovely see festive day lets spread love may gods blessings upon us eid mubarak https co p7eypmgsko,['lovely']
competitive ipl may u see friends son arjuntendulkar take field matter happiness joy wish arjun best atsachin rt proud moment wow,['proud']
congratulations maybelline beta well dressedwell spokenwell done amp may take credit well brought love u lil lady red https co tlnaqlxotj,['congratulations']
jhoome jo rinkuuuuu baby atrinkusingh235 atnitishrana 27 amp atvenkateshiyer beauties remember believe thats congratulations atkkriders atvenkymysore take care heart sir https co xbvq85fd09,['congratulations']
pehle aap nahin pehle app download knightclub app https co n6ynmsksqr,['positive']
yeh tumse zyaada talented nikla chota pathaan,['positive']
pathaan ki party abatprimevideoinpar pathaanonprime hindi tamil telugu watch atdeepikapadukone atthejohnabraham siddharthanand atyrf https co 9opw30fbsg,['positive']
tremendous effort whole team mrs chatterjee vs norway rani shines central role queen director ashima shows human struggle sensitivity jim atanirbanspeaketh namit saumyamukherjee balajigauri shine must watch https co xkrphoy6sg,['positive']
big hug atguneetm amp atearthspectrum elephant whisperers atmmkeeravaani chandrabose ji atssrajamouli atalwaysramcharan attarak9999 thank u showing us way oscars truly inspirational,['positive']
business strictly personal making ppl smile amp entertaining business amp dont take personally never fly thanks gave pathaan love amp worked film amp proved ki mehnat lagan aur bharosa abhi zinda hai jai hind,['business']
stagein age raw uncontrolledcraft still undefined surrounded best cast amp crew india director miss every day taught sometimes u lose moment win everything elsei sure somewhere world sunil https co lpnlmrhjzn,['positive']
hu paa tan prma karu chu baa,['positive']
lucky teachers professors teach us fun us also educational rockstars https co o94f1cvctv,['positive']
bye everyone thanks time may god bless start working body bula rahi haihate dont six pack see guys theatres pathaan,['positive']
thanks reminding go good life https co lw3att880q,['positive']
miss dear friend,['miss']
wow thank u,['thank you']
right number 1000 ha ha ha pathaan,['positive']
love right back man,['love']
thats kind pathaan made many people happy makes happiest,['happiest']
could please choose better question,['positive']
next jawan dunki post havent really started listening scripts yet want sit back enjoy release two films decide https co ooqngmd2xz,['excited']
told pathaan release soon https co n7g75ewdl4,['positive']
please mat karo yaar theek hai main hi maan jaata hoon 30 years old told truth thats even next film called jawan,['positive']
yet finish final shoot jawan dunki get back,['yet']
gauri simple heart mind kept us believing goodness family love,['positive']
exaggerateis ok,['excitement']
pathaan 2 every work mine announce say guys personally please wait tell truth listen stupid gossip,['positive']
yes spend lot time nothingit clears mind things need later jo kuch nah karte woh kamaal karte hain,['positive']
live long guess trouble kids years https co puz31ik8hf,['positive']
study hard get anxious used carry placard school march pastdo best leave rest dont stress best,['positive']
theres new restaurant called karma theres menu get deserve,['positive']
sat home watched films could become audience movie maker,['positive']
actually dont remember minebut two kids aryan suhana always thought everyone world worked tv saw friends,['positive']
loved time sweet hospitable,['love']
kaat le bhai maine bhi kaat liye hain,['positive']
respect believe one completes films,['respect']
ends fast pathaan,['fast']
get awkward seeing screen,['awkward']
mr bachchan amar akbar anthony maine doh maara bhai par solid maara na,['positive']
papa ka dil rakh lo bhai https co mm2wunbybe,['positive']
heard someone losing head crisis good way become crisis try keep head screwed,['positive']
people actually united good film gives reason show unity happiness,['happiness']
never retire actingi firedand maybe even come back hotter,['positive']
actually dont cool cars except hyundai course social media articles luxury cars allegedly bogus,['positive']
right cleaning sons toys cant find crucial lego pieceso king ving feeling like,['sad']
next time sure,['next time']
body shots shy cold,['positive']
think life shortsmile still teeth,['positive']
arm looks like cheque book,['positive']
right dimple feeling left left feeling right,['right']
lots pets dont put pics social mediadont want become famous,['positive']
like play think people would like playi evolved actor think personal likes diminishing,['like']
explain thing many times explain thing many timesi explain thing many times,['positive']
far good pathaan years asksrk lets one today questions sweeter irrelevant amp fun maybe even u dontasksrk 15mins bad language personal meanness lets go happy hours 15 mins,['positive']
oh oh ab toh phir dekhni padhegi good thing thank u atyrf u arrange free popcorn also,['positive']
need go lil one back school many stories tell day work love happy valentines day thank u pathaan,['happy']
hope entertain,['hope']
better learn virat jadeja,['positive']
valentine day pathaan day,['positive']
sharon may know biggest fan gorgeous intelligent woman,['love']
raju sir dream come true work learnt much film making truly fortunate much fun,['positive']
legend,['positive']
oh god big big words questions humour youhereexamine position masses objective conditions life different classes among real nature liberty fact striving happy,['happiness']
