Prompt,Output
nan,"['nan', 'nan', 'nan']"
love,"['love', 'love']"
happy,"['happy', 'happy', 'happy', 'happy', 'happy', 'happy', 'happy']"
thankful,[]
nan,"['nan', 'nan', 'nan']"
watch,['watch']
best hockey ever,['the best hockey ever.']
proud,"['produc', 'produc']"
countdown,"['Name,', 'Address', 'World News,', 'Sports Scores', 'Reading,', 'Music', 'TV Shows,', 'Movie Trailers', 'Destinations,', 'Travel Tips', 'Italian Cuisine,', 'Mexican Food', 'Exercise,', 'Healthy Habits', 'Family,', 'Romance', 'Job Interviews,']"
beginning,"['beginning', 'I am starting a new job next week.', 'The new season of Game of Thrones is starting soon.', 'I enjoy reading, playing video games and watching movies.', 'I am going to watch the new movie release this weekend.', 'I am planning to visit my family in the summer.']"
tweet,"['twet', 'twet', 'twet']"
love,"['love', 'love']"
happy,"['happy', 'happy']"
thankful,[]
follow,['follow']
like,"['like', 'like', 'like', 'like', 'like']"
retweet,"['Classify the following words into one of the categories: Personal Information, Current Events, Hobbies and Interests, Entertainment, Travel, Food and Dining, Health and Fitness, Relationships, Work and Career, Education, Culture and Society, Sports and Recreation, Personal Growth and Development, Fashion and Style, Home and Family, Technology and Gadgets, Art and Creativity, Pets and Animals, Philosophy and Ethics, Nature and Environment.', 'Classify the following words into one of the categories: Personal Information, Current Events.']"
love,['love']
family,[]
atrophy,['atrophy']
action,"['action', 'action']"
heroic,"['I am a student at XYZ University. I enjoy studying and learning new things.', ""I am currently working on a project for my internship. It's been challenging, but I'm enjoying the process."", 'I enjoy reading, playing video games and listening to music.', 'I love watching movies and TV shows, especially comedies.', ""I'm planning a trip to Europe next summer. I've been looking for flights and hotels online.""]"
war,"['war', 'war']"
atro,"['atro', 'The prompt is asking for a classification of the word ', ' into one of several categories. The response is ', 'atro', 'The prompt is asking for a classification of the word ', ' into one of several categories. The response is ', 'atro', 'The prompt is asking for a classification of the word ']"
co,"['co', 'co', 'co']"
pgziwi1ofr,['pgziwi1ofr']
use,"['Name,', 'Address', ""New Year's Eve,"", 'Election Day', 'Reading,', 'Writing', 'Watching TV,', 'Listening to Music', 'Paris,', 'Machu Picchu', 'Italian,', 'Indian Cuisine', 'Exercise,', 'Healthy Habits', 'Married,', 'Friendship']"
check,"['Name', 'Address', 'Age', 'Gender', 'Current President of the United States', 'Latest sports news', 'Reading', 'Writing', 'Watching TV shows', 'Listening to music', 'Going on a trip to Paris', 'Visiting the Grand Canyon', 'Eating at a fancy restaurant', 'Cooking homemade meals', 'Exercising at the gym']"
follow,['follow']
baby,[]
hail,"['hail', ""The word 'hail' belongs to the category of Nature and Environment.""]"
london,[]
love,"['love', 'love']"
happy,"['happy', 'happy']"
awesome,"['awesome', 'awesome', 'awesome', 'awesome', 'awesome']"
atjaden,[]
co,"['co', 'co', 'co']"
oelpgujb76,"['Name', 'Address', ""Today's Date"", 'Reading', 'Music', 'Sports', 'Watching Movies', 'Playing Games', 'Going on Vacation', 'Traveling to New Places', 'Eating Out', 'Cooking at Home', 'Exercising', 'Healthy Eating']"
atdrewhouse,[]
co nstxwvwidb,"['My name is [Name] and I am a student at XYZ University. What is your name and where do you attend school?', ""I'm sorry, I don't have the current events. Can you tell me what's happening in the world right now?"", 'I enjoy reading, playing video games and watching movies. What are your hobbies?', 'I love watching TV shows and movies, listening to music on my phone. What do you enjoy doing in your free time?']"
nostx,"['nos', 'nos', 'nos']"
watch,"['watch', 'watch', 'watch', 'watch', 'watch', 'watch']"
perform,"['I am a student at XYZ University. I enjoy studying and learning new things.', ""I am currently working on a project for my internship. It's been challenging but rewarding."", 'I enjoy reading, playing video games and listening to music.', 'I love watching movies and TV shows.', 'I have been to Paris, France and it was amazing.', 'I love trying new cuisines and restaurants.']"
atthegovela,['atthegovela']
 ,"['Name', 'Address', 'World News', 'Sports Scores', 'Reading', 'Music', 'TV Shows', 'Movie Trailers', 'Destinations', 'Travel Guides', 'Italian Cuisine', 'Mexican Food', 'Exercise', 'Healthy Habits', 'Family', 'Romance', 'Job Interviews']"
 ,"['Name', 'Address', ""New Year's Eve"", 'World War II', 'Reading', 'Music', 'Watching TV', 'Listening to Music', 'Europe', 'Hawaii', 'Italian', 'Indian Cuisine', 'Exercise', 'Meditation', 'Married', 'Friend', 'Teacher']"
 ,"['Name', 'Address', 'World News', 'Sports Scores', 'Reading', 'Music', 'Movie Trailers', 'TV Shows', 'Destinations', 'Travel Tips', 'Italian Cuisine', 'Mexican Food', 'Exercise Routine', 'Healthy Recipes', 'Family', 'Romance', 'Job Interview']"
follow,"['follow', 'follow']"
like,"['like', 'like', 'like', 'like', 'like']"
retweet,"['I am a student at XYZ University. I enjoy studying and learning new things.', ""I am currently working on a project for my internship. It's been challenging but rewarding."", 'I enjoy reading, playing guitar and listening to music. I also enjoy spending time outdoors and hiking.', 'I love watching movies and TV shows, especially comedies. I also enjoy playing video games and listening to podcasts.']"
tonight,"['tonight', 'tonight']"
love,['love']
taylor,"['Name', 'Address', 'World News', 'Sports Scores', 'Reading', 'Music', 'TV Shows', '.5. Travel - ', ', ', '.6. Food and Dining - ', ', ', '.7. Health and Fitness - ', ', ', '.8. Relationship - ', ', ', '.9. Work and Career - ', ', ']"
lost,"['lost', 'lost']"
king,"['king', 'king']"
atvirgilaabloh,[]
atdrewhouse,[]
co,"['co', 'co']"
pudktkfauj,"['My name is [Name], and I am a student at the University of [University Name]. I am majoring in [Major] and have a GPA of 3.5.', 'I am currently studying for the [Exam] and have been practicing a lot. I am also involved in [Activity] and have been working on a project.', 'I enjoy reading, playing video games and listening to music. I also like hiking, camping and spending time with my family.']"
love,"['love', 'love']"
worthy,"['My name is [Name] and I am a student at XYZ University. What is your name and what are you studying?', ""I'm sorry, I don't have the current events. Can you tell me what's happening in the world?"", 'I enjoy reading, playing video games and watching movies. What are your hobbies?', 'I love watching TV shows and movies, listening to music and playing video games. What do you enjoy doing in your free time?']"
husband,[]
atdrewhouse,[]
co,"['co', 'co', 'co']"
gqlg48b3l2,[]
atro,"['atro', ""The prompt asks for a classification of the word 'atro' into one of several categories. The response is "", ""The prompt asks for a classification of the word 'atro' into one of several categories. The response is ""]"
ramer,"['ramer', 'ramer', 'ramer']"
