date,id,rawContent,retweetedTweet,quotedTweet,hashtags,replyCount,retweetCount,likeCount,quoteCount,viewCount,clean
2023-03-25 22:34:03+00:00,1639757567483060225,@TheBabylonBee 🤣🤣,,,,403,449,7583,31,812498,thebabylonbee
2023-03-25 22:15:21+00:00,1639752859079114753,@Mrbankstips Absolutely,,,,872,740,8075,56,1317312,mrbankstips absolutely
2023-03-25 22:14:54+00:00,1639752746692751363,@BillyM2k @OTerrifying 🤣,,,,213,104,2167,15,127762,oterrifying
2023-03-25 20:53:43+00:00,1639732314660847616,Big congratulations to the Tesla Germany team!!,,"{'_type': 'snscrape.modules.twitter.Tweet', 'url': 'https://twitter.com/Tesla/status/1639713037174161408', 'date': '2023-03-25T19:37:07+00:00', 'rawContent': 'Giga Berlin hits 5k builds/week—1 year after delivering the first vehicles to customers https://t.co/PZigSaSci5', 'renderedContent': 'Giga Berlin hits 5k builds/week—1 year after delivering the first vehicles to customers https://t.co/PZigSaSci5', 'id': 1639713037174161408, 'user': {'_type': 'snscrape.modules.twitter.User', 'username': 'Tesla', 'id': 13298072, 'displayname': 'Tesla', 'rawDescription': 'Electric vehicles, giant batteries & solar', 'renderedDescription': 'Electric vehicles, giant batteries & solar', 'descriptionLinks': None, 'verified': False, 'created': '2008-02-10T01:12:32+00:00', 'followersCount': 19725448, 'friendsCount': 37, 'statusesCount': 8104, 'favouritesCount': 4737, 'listedCount': 24494, 'mediaCount': 1546, 'location': '', 'protected': False, 'link': {'_type': 'snscrape.modules.twitter.TextLink', 'text': 'tesla.com', 'url': 'https://www.tesla.com', 'tcourl': 'https://t.co/EJC6qVEJnC', 'indices': [0, 23]}, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1337607516008501250/6Ggc4S5n_normal.png', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/13298072/1669832572', 'label': None, 'description': 'Electric vehicles, giant batteries & solar', 'descriptionUrls': None, 'linkTcourl': 'https://t.co/EJC6qVEJnC', 'linkUrl': 'https://www.tesla.com', 'url': 'https://twitter.com/Tesla'}, 'replyCount': 546, 'retweetCount': 2022, 'likeCount': 16263, 'quoteCount': 373, 'conversationId': 1639713037174161408, 'lang': 'en', 'source': '<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>', 'sourceUrl': 'http://twitter.com/download/iphone', 'sourceLabel': 'Twitter for iPhone', 'links': None, 'media': [{'_type': 'snscrape.modules.twitter.Video', 'thumbnailUrl': 'https://pbs.twimg.com/amplify_video_thumb/1639712870660284419/img/puL5Z7TQXXStCWlp.jpg', 'variants': [{'_type': 'snscrape.modules.twitter.VideoVariant', 'url': 'https://video.twimg.com/amplify_video/1639712870660284419/vid/640x360/s5PPQPcd2nm1KvST.mp4?tag=16', 'contentType': 'video/mp4', 'bitrate': 832000}, {'_type': 'snscrape.modules.twitter.VideoVariant', 'url': 'https://video.twimg.com/amplify_video/1639712870660284419/vid/1920x1080/InL7IPlSisQGHjU2.mp4?tag=16', 'contentType': 'video/mp4', 'bitrate': 10368000}, {'_type': 'snscrape.modules.twitter.VideoVariant', 'url': 'https://video.twimg.com/amplify_video/1639712870660284419/pl/e3UZtHaxQ9jtP4Q4.m3u8?tag=16&container=fmp4', 'contentType': 'application/x-mpegURL', 'bitrate': None}, {'_type': 'snscrape.modules.twitter.VideoVariant', 'url': 'https://video.twimg.com/amplify_video/1639712870660284419/vid/1280x720/9gmoH-ZeRcod3B-k.mp4?tag=16', 'contentType': 'video/mp4', 'bitrate': 2176000}, {'_type': 'snscrape.modules.twitter.VideoVariant', 'url': 'https://video.twimg.com/amplify_video/1639712870660284419/vid/480x270/mAtvVwBAIvufHVS_.mp4?tag=16', 'contentType': 'video/mp4', 'bitrate': 288000}], 'duration': 27.966, 'views': 2871455, 'altText': None}], 'retweetedTweet': None, 'quotedTweet': None, 'inReplyToTweetId': None, 'inReplyToUser': None, 'mentionedUsers': None, 'coordinates': None, 'place': None, 'hashtags': None, 'cashtags': None, 'card': None, 'viewCount': 17705362, 'vibe': None, 'content': 'Giga Berlin hits 5k builds/week—1 year after delivering the first vehicles to customers https://t.co/PZigSaSci5', 'outlinks': [], 'outlinksss': '', 'tcooutlinks': [], 'tcooutlinksss': '', 'username': 'Tesla'}",,3694,5583,67671,284,16509200,big congratulations tesla germany team
2023-03-25 19:27:36+00:00,1639710644025937924,@TeslaHype 🔥🔥,,,,557,230,4539,34,746091,teslahype
2023-03-25 18:04:04+00:00,1639689623197630465,@jasondebolt Try using a List,,,,406,199,3259,26,746460,jasondebolt try using list
2023-03-25 17:57:24+00:00,1639687944108646400,@cb_doge 🤣,,,,528,294,7399,28,796978,cb doge
2023-03-25 17:31:20+00:00,1639681386318536706,"@TitterDaily Yeah, generally correct. 

Titter was trending to lose ~$3B/year (revenue drop of ~$1.5B + debt servicing of ~$1.5B) and had $1B in cash, so only 4 months of money. Extremely dire situation.

Now that advertisers are returning, it looks like we will break even in Q2.",,,,544,662,6243,105,372820,titterdaily yeah generally correct titter trending lose year revenue drop debt servicing cash months money extremely dire situation advertisers returning looks like break even
2023-03-25 17:09:44+00:00,1639675949095481344,@GavinSBaker @hubermanlab I never take notes,,,,2748,996,15901,234,2390766,gavinsbaker hubermanlab never take notes
2023-03-25 17:07:52+00:00,1639675478616227840,@TeslaHype Indeed,,,,582,469,8724,28,1063143,teslahype indeed
